50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.474327,,,,,,,,,,,da02851b-fdfe-4082-8900-c619a5a18c61,2763,,"[34.5, 44.4]",3920419,79,,,,,0.86148417,,Right Foot,,,,"[44.8, 56.4]",Ground Pass,,15.814234,,,Azzedine Ounahi,46258.0,,,,,,2,Regular Play,Sofyan Amrabat,5234.0,Center Defensive Midfield,129,Morocco,788,['5060af05-cf27-4028-b425-8c870316b574'],35,,,,,,,,,,,,,,,,,Morocco,788,00:34:35.223,Pass,
,,,,,,,,,,,,,,,,,1.452805,,,,,,,,,,,9deec7aa-8c45-473a-9efc-dbb5bc4e9862,2766,,"[77.3, 67.7]",3920419,79,,,,,0.67474097,,Right Foot,,,,"[84.3, 73.3]",Ground Pass,,8.964374,,,Achraf Hakimi Mouh,5245.0,,,,,,2,Regular Play,Azzedine Ounahi,46258.0,Right Center Midfield,129,Morocco,788,['9533478f-c6c9-4dd9-bc52-936654a9fff2'],40,,,,,,,,,,,,,,,,,Morocco,788,00:34:40.997,Pass,
,,,,,,,,,,,,,,,,,1.449047,,,,,,,,,,,a5c4d07e-ecb8-41a7-95c2-a6460a6f1464,2769,,"[89.0, 73.7]",3920419,79,,,,,-0.74422294,,Right Foot,,,,"[102.9, 60.9]",Ground Pass,,18.895767,,,Azzedine Ounahi,46258.0,,,,,,2,Regular Play,Achraf Hakimi Mouh,5245.0,Right Back,129,Morocco,788,['830a8a2b-6ba1-4261-915c-5d5517d82891'],43,,,,,,,,,,,,,,,,,Morocco,788,00:34:43.157,Pass,
,,,,,,,,,,,,,,,,,0.308274,,,,,,,,,,,29b0c286-452d-492c-9837-4ca866adac24,2773,,"[113.4, 60.7]",3920419,79,,,,,-0.80078155,,Right Foot,,,,"[119.8, 54.1]",Ground Pass,,9.193476,Out,,,,,,,,,2,Regular Play,Azzedine Ounahi,46258.0,Right Center Midfield,129,Morocco,788,,47,,,,,,,,,,,,,,,,,Morocco,788,00:34:47.444,Pass,
,,,,,,,,,,,,,,,,,0.944266,,,,,,,,,,,460d3aff-481a-4a30-b478-a8474200b0d9,2774,,"[3.5, 45.5]",3920419,80,,True,,,0.25950047,,Right Foot,,,,"[26.1, 51.5]",Ground Pass,,23.3829,,,Stopilla Sunzu,23203.0,,,,,Goal Kick,2,From Goal Kick,Tresford Lawrence Mulenga,389156.0,Goalkeeper,130,Zambia,4963,['442a56d5-00a5-48cf-b26f-ec6b59a5d025'],7,,,,,,,,,,,,,,,,,Zambia,4963,00:35:07.093,Pass,
,,,,,,,,,,,,,,,,,1.622486,,,,,,,,,,,32df72dc-fe73-4096-b22f-d205a827e010,2776,,"[26.1, 54.1]",3920419,80,,True,,,-1.3654009,,Right Foot,,,,"[30.6, 32.5]",Ground Pass,,22.06377,,,Frankie Musonda,47979.0,,,,,,2,From Goal Kick,Stopilla Sunzu,23203.0,Right Center Back,130,Zambia,4963,['b6f54aab-79ff-40ab-bc64-98c0b982e923'],8,,,,,,,,,,,,,,,,,Zambia,4963,00:35:08.090,Pass,
,,,,,,,,,,,,,,,,,1.794848,,,,,,,,,,,82fefdc7-3077-49d3-abe9-c08f413cb773,2778,,"[36.4, 30.5]",3920419,80,,,,,-1.1967955,,Right Foot,,,,"[43.7, 11.9]",Ground Pass,,19.981241,,,Lubambo Musonda,23420.0,,,,,,2,From Goal Kick,Frankie Musonda,47979.0,Left Center Back,130,Zambia,4963,['9a2bc80c-d643-4146-a780-49862595ad59'],10,,,,,,,,,,,,,,,,,Zambia,4963,00:35:10.856,Pass,
,,,,,,,,,,,,,,,,,0.869314,,,,,,,,,,,fcec3ba3-8488-4ec2-a04c-884cf78bd4cc,2781,,"[50.3, 11.9]",3920419,80,,,,,-0.2934357,,Right Foot,,,,"[64.2, 7.7]",Ground Pass,,14.520675,,,Lameck Banda,44751.0,,,,,,2,From Goal Kick,Lubambo Musonda,23420.0,Left Back,130,Zambia,4963,['31d5510f-8a8a-47b9-938d-8f47a4220e63'],13,,,,,,,,,,,,,,,,,Zambia,4963,00:35:13.220,Pass,
,,,,,,,,,,,,,,,,,0.868492,,,,,,,,,,,0ce82a02-7914-43a6-871a-9ed26beaf43e,2789,,"[72.1, 73.7]",3920419,80,,,,,0.15660188,,Right Foot,,,,"[81.6, 75.2]",Ground Pass,,9.617692,,,Achraf Hakimi Mouh,5245.0,,,,,,2,From Counter,Azzedine Ounahi,46258.0,Right Center Midfield,131,Morocco,788,['73902f20-a077-4681-96ac-f9f6069644ea'],19,,,,,,,,,,,,,,,,,Morocco,788,00:35:19.221,Pass,
,,,,,,,,,,,,,,,,,1.28969,,,,,,,,,,,0633c0a1-167c-44d0-9d5b-615fe6008e10,2792,,"[82.6, 75.2]",3920419,80,,,,,-1.5399419,,Right Foot,,,,"[83.1, 59.0]",Ground Pass,,16.207714,,,Amine Adli,33401.0,,,,,,2,From Counter,Achraf Hakimi Mouh,5245.0,Right Back,131,Morocco,788,['abd29c40-cfad-42d7-848f-7a54740a6321'],20,,,,,,,,,,,,,,,,,Morocco,788,00:35:20.596,Pass,
