50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.961202,,,,,,,,,04ecbd2d-c850-47b5-b541-e19a817f2f27,18,,"[24.7, 58.9]",3920397,0,,,,-1.7387886,,Right Foot,,,"[18.9, 24.7]",,Ground Pass,,34.688328,,,,Manconi Soriano Mané,30104.0,,,,,,1,From Kick Off,Marcelo Amado Djaló Taritolay,25056.0,Right Center Back,2,Guinea-Bissau,4894,['4bff58c9-9993-48d0-a403-bf9288bb8fd9'],8,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:08.958,Pass,
,,,,,,,,,,,,,,,,,,0.965649,,,,,,,,,2d4ed8d6-d565-42ec-8da1-9f3e7aab32c2,21,,"[19.5, 24.5]",3920397,0,,,,-0.24216442,,Left Foot,,,"[44.6, 18.3]",,Ground Pass,,25.8544,,,,Mama Samba Baldé,12064.0,,,,,,1,From Kick Off,Manconi Soriano Mané,30104.0,Left Center Back,2,Guinea-Bissau,4894,['df61f93d-350e-4981-a9c6-6cb76113559a'],12,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:12.634,Pass,
,,,,,,,,,,,,,,,,,,1.267541,,,,,,,,,84d301b8-147b-4df5-a03e-67211c828f35,34,,"[111.0, 5.8]",3920397,0,,,,3.1415927,,Right Foot,,,"[98.1, 5.8]",,Ground Pass,,12.9,,,,Fali Candé,41052.0,,,,,,1,From Kick Off,Mama Samba Baldé,12064.0,Left Wing,2,Guinea-Bissau,4894,['128d5733-0d34-411a-b7e2-d02a4c26e5f8'],23,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:23.675,Pass,
,,,,,,,,,,,,,,,,,,0.848829,,,,,,,,,5687982f-157f-4ac3-870d-21627b3dd672,38,,"[97.4, 5.6]",3920397,0,,,,1.9233495,,Right Foot,,,"[93.5, 16.2]",,Ground Pass,,11.294689,,,,Moreto Moro Cassamã,24909.0,,,,,,1,From Kick Off,Fali Candé,41052.0,Left Back,2,Guinea-Bissau,4894,['273a4df5-8846-4025-aea1-ef0ab2e7f836'],24,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:24.982,Pass,
,,,,,,,,,,,,,,,,,,0.797299,,,,,,,,,5fce29ab-726e-4fe9-9325-6025a0b5f1dc,41,,"[97.5, 10.1]",3920397,0,,,,-1.0954534,,Left Foot,,,"[101.0, 3.3]",,Ground Pass,,7.6478753,,,,Mama Samba Baldé,12064.0,,,,,,1,From Kick Off,Moreto Moro Cassamã,24909.0,Left Center Midfield,2,Guinea-Bissau,4894,['1991aa58-e3ae-4675-bbe7-2440c9d67512'],27,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:27.134,Pass,
,,,,,,,,,,,,,,,,,,0.861224,,,,,,,,,3dbca328-6cd2-4c8f-a444-89ff66e01087,45,,"[101.4, 3.5]",3920397,0,,,,-3.1240506,,Right Foot,,,"[90.0, 3.3]",,Ground Pass,,11.401754,,,,Fali Candé,41052.0,,,,,,1,From Kick Off,Mama Samba Baldé,12064.0,Left Wing,2,Guinea-Bissau,4894,['60b1546e-dfe9-4892-99a8-9f68fd22422d'],27,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:27.998,Pass,
,,,,,,,,,,,,,,,,,,0.983646,,,,,,,,,8f2755dc-5cad-47f2-bc47-9341faca0a64,48,,"[90.0, 3.3]",3920397,0,,,,2.3667204,,Left Foot,,,"[80.4, 12.7]",,Ground Pass,,13.435773,,,,Janio Bikel Figueiredo Silva,36813.0,,,,,,1,From Kick Off,Fali Candé,41052.0,Left Back,2,Guinea-Bissau,4894,['3aca15f4-cf7c-4d8d-a7b8-5860af20eae5'],29,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:29.570,Pass,
,,,,,,,,,,,,,,,,,,1.418535,,,,,,,,,aa7d3ef2-d592-4151-8a33-cde9b57793b8,52,,"[71.8, 11.8]",3920397,0,,,,2.9562447,,Right Foot,,,"[57.4, 14.5]",,Ground Pass,,14.650939,,,,Manconi Soriano Mané,30104.0,,,,,,1,From Kick Off,Janio Bikel Figueiredo Silva,36813.0,Center Defensive Midfield,2,Guinea-Bissau,4894,['8e3521ce-a38c-4f62-a8fc-d584844f04f7'],32,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:32.600,Pass,
,,,,,,,,,,,,,,,,,,1.103435,,,,,,,,,69b39e69-5b9b-470e-b571-201775560185,55,,"[57.4, 14.5]",3920397,0,,,,1.6993355,,Right Foot,,,"[53.6, 43.9]",,Low Pass,,29.644562,,,,Marcelo Amado Djaló Taritolay,25056.0,,,,,,1,From Kick Off,Manconi Soriano Mané,30104.0,Left Center Back,2,Guinea-Bissau,4894,['52916189-7b6c-4517-9c51-9a03bfe61602'],34,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:34.459,Pass,
,,,,,,,,,,,,,,,,,,1.328716,,,,,,,,,a4b98f93-80d8-4be7-a89f-4e959ee2bfe4,58,,"[53.6, 43.9]",3920397,0,,,,-1.7972127,,Right Foot,,,"[49.2, 24.8]",,Ground Pass,,19.600256,,,,Manconi Soriano Mané,30104.0,,,,,,1,From Kick Off,Marcelo Amado Djaló Taritolay,25056.0,Right Center Back,2,Guinea-Bissau,4894,['6bf29b38-1b5e-4e5c-a7e3-5176f79761d6'],37,,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:37.123,Pass,
