50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.105139,,,,,,,,,,,,,,,d20498ed-a5f2-4526-9559-2f734b3f81d4,17,,"[64.2, 0.1]",3920410,0,,,,0.2203036,,,,,,"[90.1, 5.9]",,High Pass,,26.541477,,,,Antoine Semenyo,9286.0,,,,,Throw-in,1,From Throw In,Gideon Mensah,23615.0,Left Back,3,Ghana,4885,['8184adf2-7bb6-4eb2-b8d0-46f02a38e7a4'],14,,,,,,,,,,,,,,,,Ghana,4885,00:00:14.950,Pass,
,,,,,,,,,,,,,,,,,2.052008,,,,,,,,,,,,,,,f967f83d-441d-4875-95ee-86909ed0aa86,19,,"[90.1, 6.1]",3920410,0,,,,1.5042281,,Head,,,,"[91.2, 22.6]",,High Pass,,16.536627,,Incomplete,,Mohammed Kudus,17033.0,,,,,,1,From Throw In,Antoine Semenyo,9286.0,Center Forward,3,Ghana,4885,"['4233196e-c9fc-4705-8408-c20d2ad4a281', '32de2139-8cf1-4c3c-ac29-e78a11b70da7']",16,,,,,,,,,,,,,,,,Ghana,4885,00:00:16.055,Pass,
,,,,,,,,,,,,,,,,,0.540057,,,,,,,,,,,,,,,a6c424d6-1417-42c8-aade-f71ea3da9734,27,,"[88.2, 20.7]",3920410,0,,,,0.7123576,0cecb954-7ee5-4c5b-994a-f803f47b1041,Right Foot,,,,"[99.2, 30.2]",,Ground Pass,,14.534442,,,,Antoine Semenyo,9286.0,True,,,,,1,From Throw In,Jordan Ayew,3450.0,Left Wing,3,Ghana,4885,['ac9761bd-3984-4f86-8fb9-36a7519175c4'],22,,,,,,,,,,,,,,,,Ghana,4885,00:00:22.896,Pass,
,,,,,,,,,,,,,,,,,1.183178,,,,,,,,,,,,,,,a3358370-63fc-4254-951c-90e020e13308,33,,"[120.0, 80.0]",3920410,1,,,,-1.7533063,,Right Foot,,,,"[114.5, 50.2]",,High Pass,,30.3033,,Incomplete,True,Gideon Mensah,23615.0,,,Outswinging,,Corner,1,From Corner,Jordan Ayew,3450.0,Left Wing,4,Ghana,4885,"['e5bc1f2f-d5b7-4c8b-b058-a8fcfe217589', 'f83dba24-a8de-4d20-b1a0-a19cd66a9fa5']",28,,,,,,,,,,,,,,,,Ghana,4885,00:01:28.735,Pass,
,,,,,,,,,,,,,,,,,0.832913,,,,,,,,,,,,,,,a12979bd-5efd-4822-84b5-6bf4530b5d9d,39,,"[92.5, 67.2]",3920410,1,,,,-0.9034902,,Right Foot,,,,"[105.5, 50.7]",,Low Pass,,21.00595,,Incomplete,,Antoine Semenyo,9286.0,,,,,,1,From Corner,Majeed Ashimeru,30693.0,Right Defensive Midfield,4,Ghana,4885,"['31430dd5-9251-4d29-9126-4c8fdad86239', 'b8779227-5739-47b3-b812-eee680346a68']",32,,,,,,,,,,,,,,,,Ghana,4885,00:01:32.992,Pass,
,,,,,,,,,,,,,,,,,2.319278,,,,,,,,,,,,,,,64dd41ab-7058-4894-86a4-3a9bb56705a1,44,,"[95.3, 7.6]",3920410,1,,,,1.2345761,,Right Foot,True,,,"[109.0, 46.8]",,High Pass,,41.52505,,Incomplete,,Antoine Semenyo,9286.0,,,,,,1,From Corner,Mohammed Kudus,17033.0,Center Attacking Midfield,4,Ghana,4885,"['29a74fe7-3f43-4eee-a43c-2e3c27adc49f', '2568a674-604c-4c66-a3e3-7d79b55ad1d6']",40,,,,,,,,,,,,,,,,Ghana,4885,00:01:40.429,Pass,
,,,,,,,,,,,,,,,,,1.962344,,,,,,,,,,,,,,,1aa1ad8a-2383-47fb-ba53-4ba53c73824d,49,,"[7.2, 36.6]",3920410,1,True,,,-0.84048396,,Keeper Arm,,,,"[38.9, 1.2]",,High Pass,,47.518944,,,,Witiness Chimoio João Quembo,10865.0,,,,,,1,From Corner,Ivane Carminio Francisco Urrubal,161718.0,Goalkeeper,4,Ghana,4885,['386dc820-e7c9-4ec4-ba98-1aee24449c69'],47,,,,,,,,,,,,,,,,Mozambique,4978,00:01:47.878,Pass,
,,,,,,,,,,,,,,,,,1.576179,,,,,,,,,,,,,,,60fc6ebe-8b54-46ef-9da6-9e5ce10e80c3,52,,"[80.8, 80.0]",3920410,2,,,,-3.00111,,,,,,"[61.0, 77.2]",,Low Pass,,19.997,,,,Alexander Djiku,2989.0,,,,,Throw-in,1,From Throw In,Denis Odoi,12259.0,Right Back,5,Ghana,4885,['a71465bb-7614-4060-bf22-ab16d7aa8a2f'],26,,,,,,,,,,,,,,,,Ghana,4885,00:02:26.384,Pass,
,,,,,,,,,,,,,,,,,2.070704,,,,,,,,,,,,,,,0b68be36-76d2-4720-9c46-dc6207f5b0e2,55,,"[57.3, 75.7]",3920410,2,,,,-1.9166123,,Right Foot,,,,"[47.5, 48.5]",,Ground Pass,,28.911589,,,,Mohamed Salisu,30519.0,,,,,,1,From Throw In,Alexander Djiku,2989.0,Right Center Back,5,Ghana,4885,['80e3fea9-47cc-4a0f-a078-94a9b8593bf1'],28,,,,,,,,,,,,,,,,Ghana,4885,00:02:28.698,Pass,
,,,,,,,,,,,,,,,,,2.22528,,,,,,,,,,,,,,,aa54c579-333a-4ab3-b688-31dc2a2a08cf,59,,"[42.9, 44.1]",3920410,2,,,,-2.9028983,,Right Foot,,,,"[12.9, 36.8]",,Ground Pass,,30.875395,,,,Richard Ofori Antwi,68757.0,,,,,,1,From Throw In,Mohamed Salisu,30519.0,Left Center Back,5,Ghana,4885,"['57e66a94-73f1-41ef-96ca-9688161f5186', '3bffd007-6353-4c56-a274-4762d3260aa4']",32,,,,,,,,,,,,,,,,Ghana,4885,00:02:32.675,Pass,True
