50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.333983,,,,,,,,,,,,,9eb6b7c8-9b7e-47e4-ae67-ea6fd53858e3,18,,"[85.3, 49.9]",3920409,0,,,True,-0.028769039,f363d2aa-5743-4684-9924-2cedfce49c02,,,"[99.2, 49.5]",High Pass,,13.905754,,,Victor James Osimhen,11277.0,True,,,,,1,From Kick Off,Oluwasemilogo Adesewo Ibidapo Ajayi,3923.0,Right Center Back,2,Nigeria,775,"['9868780f-5f5e-42e7-9a86-a13a63dbaa5c', '5ba944ae-8063-4b53-86a3-585ca09086d8']",12,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:12.045,Pass,True
,,,,,,,,,,,,,,,,,,,1.327528,,,,,,,,,,,,,c129d255-6469-4b44-ba04-0dfa9c0fbfa2,24,,"[20.0, 48.1]",3920409,0,,,,0.96770865,,Right Foot,,"[27.3, 58.7]",Ground Pass,,12.870509,,,Famana Quizera,46312.0,,,,,Recovery,1,From Kick Off,Janio Bikel Figueiredo Silva,36813.0,Left Defensive Midfield,2,Nigeria,775,['406bd50a-ea22-4dc1-a0f7-abdee66531cc'],16,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:16.427,Pass,
,,,,,,,,,,,,,,,,,,,2.386128,,,,,,,,,,,,,be35037f-afe3-4663-962f-19ebb945936e,28,,"[26.1, 56.0]",3920409,0,,,,-1.3030943,,Left Foot,,"[30.9, 38.5]",Ground Pass,,18.146349,Incomplete,,Carlos Mendes Gomes,12175.0,,,,,,1,From Kick Off,Famana Quizera,46312.0,Right Wing,2,Nigeria,775,"['926d9f78-97ba-4d02-9ba7-e1bc08db6f3f', 'c1b81ae2-bf11-4b29-9936-53fc7fd5688f', '7b43e6cd-a72f-43a2-a40a-afb7171773cd']",18,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:18.801,Pass,True
,,,,,,,,,,,,,,,,,,,0.880102,,,,,,,,,,,,,53079606-a58b-401f-8fee-974ef725f86f,33,,"[90.7, 44.9]",3920409,0,,,,-0.022218565,,Left Foot,,"[99.7, 44.7]",Ground Pass,,9.002222,,,Victor James Osimhen,11277.0,,,,,,1,From Kick Off,Samuel Chimerenka Chukwueze,16335.0,Right Attacking Midfield,2,Nigeria,775,['b56e2c02-53f0-4f98-8615-136cef1af2ae'],21,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:21.840,Pass,
,,,,,,,,,,,,,,,,,,,1.91554,,,,,,,,,,,,,b1e3f068-1ef7-49c3-b88f-acbf9106aeb1,37,,"[98.6, 45.3]",3920409,0,,,,1.5525057,,Right Foot,,"[98.9, 61.7]",Ground Pass,,16.402744,,,Bright Osayi-Samuel,3806.0,,,,,,1,From Kick Off,Victor James Osimhen,11277.0,Center Forward,2,Nigeria,775,['811f4ab8-5bca-430e-9f2b-6d728232971e'],23,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:23.131,Pass,
,,,,,,,,,,,,,,,,,,,1.385604,,,,,,,,,,,,,bd8c02b1-be82-48c2-8314-7d8b51c05ebb,40,,"[100.0, 63.3]",3920409,0,,,,-2.659514,,Right Foot,,"[91.4, 58.8]",Ground Pass,,9.706183,,,Frank Onyeka,24467.0,,,,,,1,From Kick Off,Bright Osayi-Samuel,3806.0,Right Wing Back,2,Nigeria,775,['a8c07385-021b-4be4-94ab-963b4e780980'],26,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:26.324,Pass,
,,,,,,,,,,,,,,,,,,,4.564033,,,,,,,,,,,,,d5c728c0-a3d0-4fba-ab8b-60cee38d9e7d,42,,"[91.4, 58.8]",3920409,0,,,,-1.1895921,,Right Foot,,"[111.2, 9.4]",High Pass,,53.2203,,,Temitayo Olufisayo Olaoluwa Aina,11492.0,,True,,,,1,From Kick Off,Frank Onyeka,24467.0,Right Defensive Midfield,2,Nigeria,775,['2fa76bc5-30ed-43f3-b283-70e0096576f9'],27,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:27.710,Pass,
,,,,,,,,,,,,,,,,,,,2.060914,,,,,,,,,,,,,3b2f584a-50a1-4a08-af5a-d4aeda3025c2,45,,"[111.2, 9.4]",3920409,0,,,,2.733961,,Right Foot,,"[89.2, 18.9]",Ground Pass,,23.963514,Incomplete,,Joe Aribo,3856.0,,,,,,1,From Kick Off,Temitayo Olufisayo Olaoluwa Aina,11492.0,Left Wing Back,2,Nigeria,775,"['8c3d09aa-39a3-4243-aa8a-3e8f46b2d092', '086dc750-c401-4f23-9f9b-954b36e1e2ef']",33,,,,,,,,,,,,,,,,,,Nigeria,775,00:00:33.855,Pass,
,,,,,,,,,,,,,,,,,,,0.879225,,,,,,,,,,,,,e7f9adb2-fe5a-466f-be68-83500bac651d,49,,"[22.6, 66.6]",3920409,0,,,,2.6405792,,Left Foot,,"[14.2, 71.2]",Ground Pass,,9.577056,,,Houboulang Mendes,9361.0,,,,,,1,From Kick Off,Zinho Gano,20840.0,Center Forward,2,Nigeria,775,['3c5b5d37-3196-403b-b8e8-47e258c46c20'],37,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:37.349,Pass,
,,,,,,,,,,,,,,,,,,,0.909403,,,,,,,,,,,,,be6a4fa5-4b70-44c4-8e74-167db25c3eac,53,,"[15.6, 66.0]",3920409,0,,,,-0.63502675,,Left Foot,,"[25.1, 59.0]",Ground Pass,,11.800424,Incomplete,,Fernando de Lacerda Gomes,363738.0,,,,,,1,From Kick Off,Houboulang Mendes,9361.0,Right Back,2,Nigeria,775,"['588a39eb-3c4b-4d63-b0d0-3e9ef867c3aa', '504878a9-0e92-48c9-a24e-9fc870111bdd', 'b49109bf-bafb-4715-80cc-6162d9fae379']",38,,,,,,,,,,,,,,,,,,Guinea-Bissau,4894,00:00:38.855,Pass,True
