50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93e4c6cd-d46a-44ff-8746-f965d19c5aa5,3166,,,"[89.7, 6.7]",3920412,96,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sadio Mané,3629.0,Left Midfield,180,Guinea,4892,['1630dda9-b570-421a-b0e7-fd818dfa9035'],4,,,,,,,,,,,,,,,,,Senegal,787,00:51:04.750,Ball Receipt*,
,,,,,"[50.8, 44.1]",,,,,,,,,,,,0.787273,,,,,,,,,,,,5026ffc6-b64c-44e4-b24e-4628a4c62df6,7,,,"[52.0, 44.5]",3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Pape Matar Sarr,50498.0,Right Center Midfield,2,Senegal,787,"['0f3edc66-d864-4d99-bef6-6354fc4e9421', 'f23bcc43-8096-444a-947b-23bdfc1fecf9']",2,,,,,,,,,,,,,,,,,Senegal,787,00:00:02.008,Carry,
,,,,,"[35.8, 17.8]",,,,,,,,,,,,0.936692,,,,,,,,,,,,40df24ff-16c4-4227-a596-4cf8c11d389d,10,,,"[37.7, 19.0]",3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Left Center Back,2,Senegal,787,"['86e8103e-4710-4234-ab53-26a289105be4', '295be0ab-f425-4826-b172-93a462f2d581']",4,,,,,,,,,,,,,,,,,Senegal,787,00:00:04.507,Carry,
,,,,,"[39.9, 24.2]",,,,,,,,,,,,0.119997,,,,,,,,,,,,d069c928-3d49-4bd8-93c1-365f409167bb,13,,,"[40.3, 24.6]",3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Nampalys Mendy,4506.0,Left Center Midfield,2,Senegal,787,"['fa2eecff-5b4e-4230-ba13-772138bbfd09', '7738153b-1154-4d41-8632-70df80d323ea']",6,,,,,,,,,,,,,,,,,Senegal,787,00:00:06.207,Carry,
,,,,,"[30.2, 32.1]",,,,,,,,,,,,0.818204,,,,,,,,,,,,09e93d4f-3a17-4113-8755-c9f038e24a28,16,,,"[30.2, 25.3]",3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Abdoulaye Seck,25759.0,Right Center Back,2,Senegal,787,"['851249b9-a9fe-41ed-b486-2753d7deea4e', '52ab34e6-cb08-4333-909d-c228c7f978c3']",7,,,,,,,,,,,,,,,,,Senegal,787,00:00:07.829,Carry,
,,,,,"[36.8, 58.1]",,,,,,,,,,,,1.745521,,,,,,,,,,,,ae755b43-81ec-4449-bb61-33f118df81a4,19,,,"[36.5, 63.0]",3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Pape Gueye,21026.0,Center Defensive Midfield,2,Senegal,787,"['5608ef8c-d7bb-4637-8e20-359064dac509', 'dfc87486-7038-40b8-a9d7-c65252c3e3a9']",10,,,,,,,,,,,,,,,,,Senegal,787,00:00:10.242,Carry,
,,,,,"[40.7, 19.3]",,,,,,,,,,,,2.242689,,,,,,,,,,,,bb97aaca-3102-4f09-8256-68ba2ad8b60f,22,,,"[41.4, 17.4]",3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Left Center Back,2,Senegal,787,"['bd466f92-9637-4d02-b5c3-0968db3cd171', 'e6e0ffba-a373-4e57-b560-40ab6c8daf8f']",14,,,,,,,,,,,,,,,,,Senegal,787,00:00:14.040,Carry,
,,,,,"[39.5, 40.0]",,,,,,,,,,,,1.820297,,,,,,,,,,,,87be566a-79fd-498d-8aea-69de54ef995d,25,,,"[37.3, 32.5]",3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Abdoulaye Seck,25759.0,Right Center Back,2,Senegal,787,"['6b6f9b3c-7517-4392-b2ba-1ead0febc0f6', 'c896d2f3-42ce-468e-816b-8a8b8a45f4e6']",17,,,,,,,,,,,,,,,,,Senegal,787,00:00:17.837,Carry,
,,,,,"[57.9, 62.3]",,,,,,,,,,,,1.770204,,,,,,,,,,,,bd9ea78b-5020-45e5-a683-bd82336f3574,28,,,"[53.1, 55.5]",3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Pape Matar Sarr,50498.0,Right Center Midfield,2,Senegal,787,"['6c53dd40-2688-41ad-ad7f-ccac64094231', 'aa1b95f0-0f21-469b-a7b9-e045d0b7c55f']",21,,,,,,,,,,,,,,,,,Senegal,787,00:00:21.159,Carry,
,,,,,"[71.9, 75.7]",,,,,,,,,,,,1.240434,,,,,,,,,,,,99e7fbf9-2fd1-4d70-8f0a-3769ef5f62d6,31,,,"[75.6, 76.4]",3920412,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Krépin Diatta,20758.0,Right Back,2,Senegal,787,"['7844bcbb-e723-49f1-b86f-e52440682555', '1bb512a5-74ac-4b8f-83f1-171f9e088b89']",24,,,,,,,,,,,,,,,,,Senegal,787,00:00:24.043,Carry,
