50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,021aa828-3f40-4547-9324-dfa2e413069d,17,,,"[22.4, 21.4]",3920390,0,,,,-1.0266385,,Left Foot,,,,"[31.9, 5.7]",,Ground Pass,,18.350477,,,,Rayan Aït Nouri,12111.0,,,,,,,1,From Kick Off,Ramy Bensebaini,3191.0,Left Center Back,2,Algeria,4898,['b0aaf47f-bc66-49f4-bdf6-ed21c68d77fc'],11,,,,,,,,,,,,,,,,Algeria,4898,00:00:11.988,Pass,
,,,,,,,,,,,,,,,,,,1.599998,,,,,,,,,,,,,,,260e7ef6-e40c-466b-90ba-13d7ccbbf711,20,,,"[33.1, 8.3]",3920390,0,,,,2.714074,,Left Foot,,,,"[16.2, 16.0]",,Ground Pass,,18.571484,,,,Ramy Bensebaini,3191.0,,,,,,,1,From Kick Off,Rayan Aït Nouri,12111.0,Left Back,2,Algeria,4898,['723400e4-3424-4f3a-b484-6877eaf1b55b'],15,,,,,,,,,,,,,,,,Algeria,4898,00:00:15.438,Pass,
,,,,,,,,,,,,,,,,,,1.287983,,,,,,,,,,,,,,,f0b5e34b-9ddc-4933-ba8b-bb2497eab72a,22,,,"[14.7, 16.0]",3920390,0,,,,2.1988845,,Left Foot,,,,"[2.5, 32.8]",,Ground Pass,,20.762466,,,,Anthony Louis Mandréa,41381.0,,,,,,,1,From Kick Off,Ramy Bensebaini,3191.0,Left Center Back,2,Algeria,4898,['c6d1c92b-2bcc-473e-84f3-119e0abbb28b'],17,,,,,,,,,,,,,,,,Algeria,4898,00:00:17.038,Pass,
,,,,,,,,,,,,,,,,,,3.216454,,,,,,,,,,,,,,,02a05b0a-805b-4ef3-86a3-73964606ed37,26,,,"[6.4, 37.8]",3920390,0,,,,0.36770874,,Right Foot,,,,"[56.5, 57.1]",,High Pass,,53.68892,,Incomplete,,Riyad Mahrez,3814.0,,,,,,,1,From Kick Off,Anthony Louis Mandréa,41381.0,Goalkeeper,2,Algeria,4898,"['7db3233c-f790-4092-a116-000263761704', 'b8bf751a-e43f-471b-8106-d14678f52044', '3f44771f-1a49-41d8-a7ac-4039e6054eee']",20,,,,,,,,,,,,,,,,Algeria,4898,00:00:20.394,Pass,True
,,,,,,,,,,,,,,,,,,2.212062,,,,,,,,,,,,,,,3f44771f-1a49-41d8-a7ac-4039e6054eee,28,,,"[63.6, 23.0]",3920390,0,,,,0.29467785,,Head,,,,"[94.9, 32.5]",,High Pass,,32.709938,,Incomplete,,Zito André Sebastião Luvumbo,90913.0,,,,,,Recovery,1,From Kick Off,Joaquim Marcos Cunga Balanga,270407.0,Left Center Back,2,Algeria,4898,"['26323834-c19e-47f1-80a9-1c01051bcdc0', 'b7e7cfda-7f8c-436c-adf3-8e5e4203fc61', '02a05b0a-805b-4ef3-86a3-73964606ed37']",23,,,,,,,,,,,,,,,,Angola,4901,00:00:23.610,Pass,
,,,,,,,,,,,,,,,,,,1.649373,,,,,,,,,,,,,,,b7e7cfda-7f8c-436c-adf3-8e5e4203fc61,30,,,"[25.2, 47.6]",3920390,0,,,,-0.68960685,,Head,,,,"[40.6, 34.9]",,High Pass,,19.961212,,,,Ismael Bennacer,11515.0,,,,,,Recovery,1,From Kick Off,Aïssa Mandi,6648.0,Right Center Back,2,Algeria,4898,"['bdc318ba-3f75-4466-b193-1fae1cae05d0', '3f44771f-1a49-41d8-a7ac-4039e6054eee']",25,,,,,,,,,,,,,,,,Algeria,4898,00:00:25.822,Pass,
,,,,,,,,,,,,,,,,,,1.441908,,,,,,,,,,,,,,,2f345625-799a-44c6-bdd5-a86996661a75,32,,,"[40.8, 34.9]",3920390,0,,,,-2.4342961,,Head,,,,"[28.4, 24.3]",,Low Pass,,16.313185,,,,Rayan Aït Nouri,12111.0,,,,,,,1,From Kick Off,Ismael Bennacer,11515.0,Left Center Midfield,2,Algeria,4898,['a2bb8dc5-0bb9-474c-9599-61e7a2d26c4f'],27,,,,,,,,,,,,,,,,Algeria,4898,00:00:27.552,Pass,
,,,,,,,,,,,,,,,,,,1.545653,,,,,,,,,,,,,,,a359ce8a-fe73-4931-96bb-81c04c644d73,36,,,"[28.6, 22.9]",3920390,0,,,,0.0,,Right Foot,,,,"[55.2, 22.9]",,High Pass,,26.6,,Incomplete,,Mohamed Youcef Belaïli,103464.0,,,,,,,1,From Kick Off,Rayan Aït Nouri,12111.0,Left Back,2,Algeria,4898,"['fa5a13da-69ef-4693-b178-1054c1674ad9', '11dcbf87-96ec-495f-81e7-0579e1749370']",29,,,,,,,,,,,,,,,,Algeria,4898,00:00:29.601,Pass,
,,,,,,,,,,,,,,,,,,3.29418,,,,,,,,,,,,,,,fa5a13da-69ef-4693-b178-1054c1674ad9,38,,,"[64.9, 57.2]",3920390,0,,,,-0.08865588,,Left Foot,,,,"[91.9, 54.8]",,High Pass,,27.106457,,Incomplete,,Zito André Sebastião Luvumbo,90913.0,,,,,,Recovery,1,From Kick Off,Jonathan Buatu Mananga,10573.0,Right Center Back,2,Algeria,4898,"['dadeebed-7e7d-4ce2-ac95-aa573e26901d', 'a359ce8a-fe73-4931-96bb-81c04c644d73', 'c6a585bf-7b38-428a-a356-4f8526e77bdd']",31,,,,,,,,,,,,,,,,Angola,4901,00:00:31.146,Pass,
,,,,,,,,,,,,,,,,,,1.521355,,,,,,,,,,,,,,,c6a585bf-7b38-428a-a356-4f8526e77bdd,41,,,"[28.2, 25.3]",3920390,0,,,True,-0.083548896,,,,,,"[48.5, 23.6]",,High Pass,,20.371058,,,,Mohamed Youcef Belaïli,103464.0,,,,,,Recovery,1,From Kick Off,Ramy Bensebaini,3191.0,Left Center Back,2,Algeria,4898,"['b4c5b953-73d6-40cc-8406-eeadfc23eaed', 'fa5a13da-69ef-4693-b178-1054c1674ad9', '8da8d3f4-f302-4798-b884-29d5a8a4b64f']",34,,,,,,,,,,,,,,,,Algeria,4898,00:00:34.440,Pass,True
