50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.585841,,,,,,,,,,0abc76bb-7a95-40c4-87a2-b3463449309c,18,,,"[8.0, 42.1]",3920400,0,,,,-0.6066051,,Right Foot,,,"[57.0, 8.1]",,High Pass,,59.64059,,,Ismail Jakobs,32915.0,,,,,,1,From Kick Off,Edouard Mendy,7379.0,Goalkeeper,2,Senegal,787,['aeb0074e-75ff-41a2-805b-95f5da89a6d6'],11,,,,,,,,,,,,,,,,,,Senegal,787,00:00:11.420,Pass,
,,,,,,,,,,,,,,,,,0.969573,,,,,,,,,,8c448f0f-a252-4081-a56f-099976127643,21,,,"[58.9, 8.1]",3920400,0,,,,0.55241895,,Left Foot,,,"[66.2, 12.6]",,Ground Pass,,8.575546,Incomplete,,Sadio Mané,3629.0,,,,,,1,From Kick Off,Ismail Jakobs,32915.0,Left Back,2,Senegal,787,"['14052314-0db8-411a-bf29-5028fdff250e', '78434507-3bd4-4d7a-abc9-418ada95c562']",14,,,,,,,,,,,,,,,,,,Senegal,787,00:00:14.165,Pass,
,,,,,,,,,,,,,,,,,2.094883,,,,,,,,,,14052314-0db8-411a-bf29-5028fdff250e,23,,,"[53.9, 67.5]",3920400,0,,,,-0.6178657,,Right Foot,,,"[69.8, 56.2]",,Low Pass,,19.506409,Incomplete,,André-Frank Zambo Anguissa,3141.0,,,,,Recovery,1,From Kick Off,Enzo Gianni Tchato Mbiayi,135043.0,Right Back,2,Senegal,787,"['8c448f0f-a252-4081-a56f-099976127643', '05498ffc-43a7-4afe-aeb0-90431f1e717f', '3478767f-1fd3-42bf-a33b-69946845a6dd']",15,,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:15.135,Pass,
,,,,,,,,,,,,,,,,,4.251062,,,,,,,,,,05498ffc-43a7-4afe-aeb0-90431f1e717f,26,,,"[50.3, 23.9]",3920400,0,,,,-0.49756673,,Right Foot,,,"[89.7, 2.5]",,High Pass,,44.836594,Unknown,,Sadio Mané,3629.0,,,,,Recovery,1,From Kick Off,Pape Matar Sarr,50498.0,Right Center Midfield,2,Senegal,787,"['93e54292-8ab9-4bc2-ba12-802a711117ad', '03a2d831-8976-40d1-bf50-52138a524850', '14052314-0db8-411a-bf29-5028fdff250e']",17,,,,,,,,,,,,,,,,,,Senegal,787,00:00:17.230,Pass,True
,,,,,,,,,,,,,,,,,2.076469,,,,,,,,,,ac264c6d-522c-4c33-9598-ec0041308416,31,,,"[30.8, 75.7]",3920400,0,True,,,-1.2565644,,Right Foot,,,"[34.7, 63.7]",,Ground Pass,,12.617845,,,Yvan Neyou Noupa,43073.0,,,,,Free Kick,1,From Free Kick,Enzo Gianni Tchato Mbiayi,135043.0,Right Back,3,Cameroon,2722,['eef5e476-a2c1-4c36-b949-7c50a7d1c61c'],37,,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:37.167,Pass,
,,,,,,,,,,,,,,,,,2.32471,,,,,,,,,,d5fbd52c-2f4c-49ca-ab84-c341a30add0d,33,,,"[33.0, 60.3]",3920400,0,True,,,-0.069547094,,Right Foot,,,"[97.6, 55.8]",,High Pass,,64.756546,Incomplete,,,,,,,,,1,From Free Kick,Yvan Neyou Noupa,43073.0,Center Defensive Midfield,3,Cameroon,2722,['142e83c8-b3de-4297-94ce-4b26e622b1a5'],40,,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:40.651,Pass,
,,,,,,,,,,,,,,,,,0.858553,,,,,,,,,,4f12d9f5-6963-4a04-bb1d-99de3ff82cd6,49,,,"[103.6, 75.2]",3920400,1,,,,-1.343107,,Right Foot,,,"[109.3, 50.6]",,Low Pass,,25.251732,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Georges-Kévin Nkoudou Mbida,3639.0,Left Midfield,4,Cameroon,2722,['57c2927d-30fe-4def-bd8e-265b7a840400'],37,,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:37.176,Pass,
,,,,,,,,,,,,,,,,,1.157191,,,,,,,,,,f35e9475-0b44-461d-9a8d-719e62e2a0e0,51,,,"[78.5, 53.9]",3920400,1,,,,0.34555557,,Head,,,"[86.0, 56.6]",,Low Pass,,7.971198,,,Olivier Michel Kemen,7355.0,,,,,Recovery,1,From Free Kick,Nouhou Tolo,13454.0,Left Back,4,Cameroon,2722,['60412e59-c447-49e0-a6e7-947e365db8fc'],42,,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:42.054,Pass,
,,,,,,,,,,,,,,,,,3.137441,,,,,,,,,,9d346ba0-bc1e-4529-97ce-9f7718cb873e,55,,,"[88.2, 53.2]",3920400,1,,,,-0.009949921,,Right Foot,,,"[108.3, 53.0]",,High Pass,,20.100994,Incomplete,,,,,,,,,1,From Free Kick,Olivier Michel Kemen,7355.0,Right Center Midfield,4,Cameroon,2722,['d6b26e1a-6539-4db1-aa57-be434d581623'],43,,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:43.270,Pass,
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,7b5c567e-f0f7-4bb1-a42a-d56e78c69825,58,,,"[11.2, 24.7]",3920400,1,,,,-0.9025069,,Keeper Arm,,,"[26.2, 5.7]",,Ground Pass,,24.207438,,,Ismail Jakobs,32915.0,,,,,,1,Regular Play,Edouard Mendy,7379.0,Goalkeeper,5,Senegal,787,['aec1df1d-b9d9-4aed-9168-4120ac3edce4'],47,,,,,,,,,,,,,,,,,,Senegal,787,00:01:47.222,Pass,
