50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.112725,,,,,,,,,,,,,,b89b0cc8-6318-423b-b97f-69c48c7c626a,17,,,"[22.7, 17.3]",3920407,0,,,,-0.86576164,,Right Foot,,,,"[36.4, 1.2]",,Ground Pass,,21.140009,,,Aubrey Maphosa Modiba,65733.0,,,,,,1,From Kick Off,Mothobi Mvala,65732.0,Left Center Back,2,South Africa,4976,['85230cbf-1cb5-4375-b40c-db50dcd601bf'],11,,,,,,,,,,,,,,,,,South Africa,4976,00:00:11.438,Pass,
,,,,,,,,,,,,,,,,1.421887,,,,,,,,,,,,,,364187f2-89ad-4498-afca-69db47021f3b,20,,,"[36.4, 1.2]",3920407,0,,,,0.35264578,,Left Foot,,,,"[63.3, 11.1]",,High Pass,,28.663914,,,Themba Zwane,65726.0,,,,,,1,From Kick Off,Aubrey Maphosa Modiba,65733.0,Left Back,2,South Africa,4976,['7b02c0f3-32c7-4385-b98d-0bc44108527e'],13,,,,,,,,,,,,,,,,,South Africa,4976,00:00:13.486,Pass,
,,,,,,,,,,,,,,,,0.580201,,,,,,,,,,,,,,1507e5ce-e8d8-4aab-885f-49106dbe334d,22,,,"[63.3, 11.1]",3920407,0,,,,0.80667156,,Head,,,,"[72.5, 20.7]",,Low Pass,,13.296617,,,Evidence Makgopa,65853.0,,,,,,1,From Kick Off,Themba Zwane,65726.0,Center Attacking Midfield,2,South Africa,4976,['97381453-0243-4e6d-b3d8-007a800c39dc'],14,,,,,,,,,,,,,,,,,South Africa,4976,00:00:14.940,Pass,
,,,,,,,,,,,,,,,,0.977966,,,,,,,,,,,,,,5d2f773f-4e56-4eb0-9bdd-e6defc6be4b5,26,,,"[70.7, 12.4]",3920407,0,,,,2.4393358,,Right Foot,,,,"[62.9, 19.0]",,Low Pass,,10.217632,,,Sphephelo S''Miso Sithole,42527.0,,,,,,1,From Kick Off,Evidence Makgopa,65853.0,Center Forward,2,South Africa,4976,['a6bc9b1d-a614-4210-a2b6-6f87c372b3a1'],18,,,,,,,,,,,,,,,,,South Africa,4976,00:00:18.848,Pass,
,,,,,,,,,,,,,,,,0.873651,,,,,,,,,,,,,,22da9c16-1ba7-47cc-853a-da38f9628c22,30,,,"[63.7, 19.2]",3920407,0,,,,0.8562471,,Right Foot,,,,"[70.9, 27.5]",,Ground Pass,,10.9877205,,Incomplete,Teboho Mokoena,66716.0,,,,,,1,From Kick Off,Sphephelo S''Miso Sithole,42527.0,Left Defensive Midfield,2,South Africa,4976,"['ab70a0bd-e039-459e-a149-e140c39d7817', '2fd3e142-6974-4212-a65e-91b54d6679ab', 'deed707b-0e1e-4184-b53f-3e75cbea331b']",19,,,,,,,,,,,,,,,,,South Africa,4976,00:00:19.944,Pass,True
,,,,,,,,,,,,,,,,0.86505,,,,,,,,,,,,,,6d0c26cc-027c-4456-9679-82b21eb9cbf1,34,,,"[48.6, 52.8]",3920407,0,,,,1.377369,,Left Foot,,,,"[50.5, 62.5]",,Ground Pass,,9.884331,,,Petrus Shitembi,125333.0,,,,,,1,Regular Play,Aprocious Petrus,136406.0,Center Defensive Midfield,3,Namibia,4980,['b2082cff-6fdc-4330-8d62-7f68db9cdc8f'],21,,,,,,,,,,,,,,,,,Namibia,4980,00:00:21.640,Pass,
,,,,,,,,,,,,,,,,0.882312,,,,,,,,,,,,,,44703ec6-6ed2-41ec-9338-839d2d72186e,37,,,"[50.5, 62.5]",3920407,0,,,,-2.0607536,,Right Foot,,,,"[48.1, 58.0]",,Ground Pass,,5.1,,,Aprocious Petrus,136406.0,,,,,,1,Regular Play,Petrus Shitembi,125333.0,Right Center Midfield,3,Namibia,4980,['c9354af5-e351-44f3-b2aa-05bf1af26535'],22,,,,,,,,,,,,,,,,,Namibia,4980,00:00:22.593,Pass,
,,,,,,,,,,,,,,,,0.691224,,,,,,,,,,,,,,cd2ffb9b-ba28-4ceb-8cb3-690d696491e6,41,,,"[50.3, 60.0]",3920407,0,,,,0.67319536,,Left Foot,,,,"[58.2, 66.3]",,Ground Pass,,10.104454,,,Petrus Shitembi,125333.0,,,,,,1,Regular Play,Aprocious Petrus,136406.0,Center Defensive Midfield,3,Namibia,4980,['0094dd53-692d-40c3-9708-2f15e8dafca5'],24,,,,,,,,,,,,,,,,,Namibia,4980,00:00:24.311,Pass,
,,,,,,,,,,,,,,,,1.226272,,,,,,,,,,,,,,0d94c520-bb21-44c0-939e-b62718691381,45,,,"[61.8, 69.1]",3920407,0,,,,-0.48689923,,Right Foot,,,,"[80.5, 59.2]",,Low Pass,,21.158922,,Incomplete,Prins Menelik Tjiueza,103803.0,,,,,,1,Regular Play,Petrus Shitembi,125333.0,Right Center Midfield,3,Namibia,4980,"['8aec5e52-e1eb-4b5b-997d-3a83d23e4189', 'c89996bd-d8e1-4b4a-b494-cd7c8162fe47', '3dec62a9-bb2f-4bae-adec-8355c778a905']",25,,,,,,,,,,,,,,,,,Namibia,4980,00:00:25.913,Pass,True
,,,,,,,,,,,,,,,,0.634672,,,,,,,,,,,,,,8aec5e52-e1eb-4b5b-997d-3a83d23e4189,47,,,"[39.6, 20.9]",3920407,0,,,,-0.83437854,,Left Foot,,,,"[49.3, 10.2]",,Low Pass,,14.442299,,,Sphephelo S''Miso Sithole,42527.0,,,,,Recovery,1,Regular Play,Mothobi Mvala,65732.0,Left Center Back,3,Namibia,4980,"['88b7e9fb-7bff-43c6-a670-60f1e392a7ff', '0d94c520-bb21-44c0-939e-b62718691381']",27,,,,,,,,,,,,,,,,,South Africa,4976,00:00:27.139,Pass,
