50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.324102,,,,,,,,,,,,,,baede229-7b26-4eaf-88f3-74ad02372d11,1063,,"[89.7, 15.9]",3922243,34,,,,0.0,,Right Foot,,,"[91.9, 15.9]",,Ground Pass,,2.2,Incomplete,,Selim Amallah,23774.0,,,,,,1,Regular Play,Abdessamad Ezzalzouli,149714.0,Left Wing,50,Morocco,788,"['a133bea6-7524-42d6-af99-422cdf143166', '35d6cabd-1f51-486d-86cf-c04b4b68f493', '00a0fcaa-0c9b-4059-a6a7-74708ca02301']",5,,,,,,,,,,,,,,,,,Morocco,788,00:34:05.199,Pass,True
,,,,,,,,,,,,,,1.851741,,,,,,,,,,,,,,f63409bb-307e-4876-938e-3a1102ede5ba,1069,,"[20.5, 69.1]",3922243,34,True,,,-0.26625204,,Right Foot,,,"[29.3, 66.7]",,Ground Pass,,9.121404,,,Themba Zwane,65726.0,,,,,Free Kick,1,From Free Kick,Gomolemo Grant Kekana,70093.0,Right Center Back,51,South Africa,4976,['d6857791-fc97-477f-8a9a-6fb08c5a2f44'],26,,,,,,,,,,,,,,,,,South Africa,4976,00:34:26.013,Pass,
,,,,,,,,,,,,,,0.952494,,,,,,,,,,,,,,fc289e43-4591-4827-9f08-2ff1b52b4d5e,1071,,"[49.8, 68.3]",3922243,34,,,,2.0111923,,Right Foot,,,"[45.7, 77.0]",,Ground Pass,,9.617692,,,Khuliso Johnson Mudau,65719.0,,,,,,1,From Free Kick,Themba Zwane,65726.0,Left Center Forward,51,South Africa,4976,['12f36db3-beb8-441e-96f6-655ca11ba16b'],34,,,,,,,,,,,,,,,,,South Africa,4976,00:34:34.667,Pass,
,,,,,,,,,,,,,,0.943563,,,,,,,,,,,,,,bb38a040-4f48-46a1-83cd-5c578800c7f3,1074,,"[46.7, 76.4]",3922243,34,,,,-1.259426,,Right Foot,,,"[49.5, 67.7]",,Ground Pass,,9.139475,,,Themba Zwane,65726.0,,,,,,1,From Free Kick,Khuliso Johnson Mudau,65719.0,Right Back,51,South Africa,4976,['3813a9c1-01a1-4a96-b790-fae68c81fc72'],38,,,,,,,,,,,,,,,,,South Africa,4976,00:34:38.126,Pass,
,,,,,,,,,,,,,,1.237333,,,,,,,,,,,,,,d0442c0b-e17d-4a40-b444-5d3f3a013e70,1077,,"[49.5, 68.1]",3922243,34,,,,2.7807558,,Right Foot,,,"[38.9, 72.1]",,Ground Pass,,11.329607,,,Gomolemo Grant Kekana,70093.0,,,,,,1,From Free Kick,Themba Zwane,65726.0,Left Center Forward,51,South Africa,4976,['e8a9b4ba-e808-4ff6-a474-3b6dcf1e9598'],39,,,,,,,,,,,,,,,,,South Africa,4976,00:34:39.229,Pass,
,,,,,,,,,,,,,,2.842482,,,,,,,,,,,,,,af5df8c3-eafe-461b-9339-2ef41581086e,1080,,"[42.0, 65.7]",3922243,34,,,,-1.51164,,Right Foot,,,"[44.6, 21.8]",,Ground Pass,,43.976925,,,Mothobi Mvala,65732.0,,True,,,,1,From Free Kick,Gomolemo Grant Kekana,70093.0,Right Center Back,51,South Africa,4976,['262ecfcc-f5f2-4688-9e49-7d57a4ecc534'],42,,,,,,,,,,,,,,,,,South Africa,4976,00:34:42.834,Pass,
,,,,,,,,,,,,,,1.1509,,,,,,,,,,,,,,6543a0f8-95d0-4e3a-b8e7-aa6217c5504b,1084,,"[60.6, 18.9]",3922243,34,,,,0.6783707,,Left Foot,,,"[80.7, 35.1]",,Low Pass,,25.815693,,,Themba Zwane,65726.0,,,,,,1,From Free Kick,Mothobi Mvala,65732.0,Left Center Back,51,South Africa,4976,"['2bd706b7-8c4d-4ebe-ad2c-3867cbfbb0e9', 'dcbf9b15-f8ad-4563-b23b-61fafe5cc1a5']",50,,,,,,,,,,,,,,,,,South Africa,4976,00:34:50.044,Pass,True
,,,,,,,,,,,,,,1.047039,,,,,,,,,,,,,,29fd3295-de52-49b3-9b82-c51fd26a6417,1087,,"[81.1, 35.6]",3922243,34,,,,1.7876699,,Right Foot,,,"[78.5, 47.4]",,Ground Pass,,12.083046,,,Teboho Mokoena,66716.0,,,,,,1,From Free Kick,Themba Zwane,65726.0,Left Center Forward,51,South Africa,4976,['50197c37-b5cf-483c-9349-e5dc39a58f52'],55,,,,,,,,,,,,,,,,,South Africa,4976,00:34:55.375,Pass,
,,,,,,,,,,,,,,1.055119,,,,,,,,,,,,,,17662eee-b5d9-4507-a8ef-12007207e1ea,1091,,"[78.7, 47.4]",3922243,34,,,,-1.9936502,,Right Foot,,,"[74.2, 37.4]",,Ground Pass,,10.965857,,,Sphephelo S''Miso Sithole,42527.0,,,,,,1,From Free Kick,Teboho Mokoena,66716.0,Right Defensive Midfield,51,South Africa,4976,"['3adf9734-58a0-445c-ab5b-dc0050c3f79a', 'c7b79394-9f33-4380-94bb-af348e390fed']",57,,,,,,,,,,,,,,,,,South Africa,4976,00:34:57.184,Pass,True
,,,,,,,,,,,,,,1.860794,,,,,,,,,,,,,,b3e47e4a-2372-4ac8-96dc-48ffcd88b360,1094,,"[74.4, 49.1]",3922243,35,,,,1.0683751,,Right Foot,,,"[89.4, 76.4]",,Ground Pass,,31.149479,,,Khuliso Johnson Mudau,65719.0,,,,,,1,From Free Kick,Sphephelo S''Miso Sithole,42527.0,Left Defensive Midfield,51,South Africa,4976,['1fa69efc-7f5a-4f35-b418-e36c1a763fb8'],1,,,,,,,,,,,,,,,,,South Africa,4976,00:35:01.700,Pass,
