ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,"[53.7, 20.4]",,,,,,,,,,,1.766237,,,,,,,,,,,,b7538b09-205a-42df-8b08-3d80db4b47aa,1028,,"[55.1, 16.5]",3920417,34,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Yves Bissouma,4385.0,Left Defensive Midfield,66,Mali,4930,"['f9107720-c3f6-44ed-a8ba-88362c2917aa', '3c94bdec-2a5c-4544-8cfa-ffab11f15d80']",28,,,,,,,,,,,,,,,,,,Mali,4930,00:34:28.258,Carry,
,,"[60.6, 67.4]",,,,,,,,,,,4.056045,,,,,,,,,,,,89c7d6e9-e208-49f7-8204-29ff6465a4b9,1031,,"[51.2, 69.8]",3920417,34,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Hamari Traoré,3248.0,Right Back,66,Mali,4930,"['da7147a1-2271-4dc9-8b7a-83d87421069b', '3ae6c613-d517-47e4-bc6d-eb0d844b88db']",32,,,,,,,,,,,,,,,,,,Mali,4930,00:34:32.473,Carry,
,,"[71.1, 58.8]",,,,,,,,,,,0.34857202,,,,,,,,,,,,05918ae3-65dd-4a77-932a-2f4bdb911274,1035,,"[72.5, 58.5]",3920417,34,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lassine Sinayoko,105182.0,Left Center Forward,66,Mali,4930,"['355b8ceb-a873-41f7-a64b-fdbe2ee41d39', '948497e1-c15c-4391-a206-b97f767ab11b', 'b447e8f0-b509-412e-937f-9c4c676721c0']",37,,,,,,,,,,,,,,,,,,Mali,4930,00:34:37.693,Carry,True
,,"[69.7, 58.7]",,,,,,,,,,,2.325876,,,,,,,,,,,,b13a2f20-12e8-416f-8a01-27578403d018,1038,,"[69.8, 73.5]",3920417,34,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Fousseni Diabaté,3710.0,Right Midfield,66,Mali,4930,"['415dc567-f0c9-44d8-83e8-cb619721a2fc', 'fef139eb-5f32-4fcd-84bb-3d547c2de72d', '2751866c-8a0d-489d-8ecc-51a126cfa7a4']",39,,,,,,,,,,,,,,,,,,Mali,4930,00:34:39.261,Carry,True
,,"[63.1, 46.1]",,,,,,,,,,,5.178709,,,,,,,,,,,,ee84d568-9d36-45e6-9d86-a12643c4c738,1047,,"[60.9, 43.6]",3920417,34,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Peter Shalulile,65723.0,Center Forward,67,Namibia,4980,"['a376b2a1-2114-44f1-977b-ec7f1be4e943', '1de7646f-64a0-4db6-a195-63141059b9b5', '0f51d584-7efe-439b-8a29-fee55a80ecbd']",44,,,,,,,,,,,,,,,,,,Namibia,4980,00:34:44.126,Carry,True
,,"[115.9, 18.1]",,,,,,,,,,,0.126533,,,,,,,,,,,,3a208bc2-680f-4fd9-b2f8-ed048d300bf3,1053,,"[114.5, 20.6]",3920417,35,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Riaan Hanamub,65555.0,Left Back,68,Namibia,4980,"['e19131d0-66fc-4a17-a7f7-9ebde496bccd', 'b696a078-5854-4b20-8e20-c46982237308']",49,,,,,,,,,,,,,,,,,,Namibia,4980,00:35:49.207,Carry,
,,"[6.9, 39.9]",,,,,,,,,,,0.661266,,,,,,,,,,,,39ae8007-4ecb-4790-882f-44f8a5cae9ce,1057,,"[6.2, 41.3]",3920417,35,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sikou Niakate,7295.0,Left Center Back,68,Namibia,4980,"['0d76d69e-b77c-458c-bb9d-dc05ce98b697', 'c655f743-3c89-4263-be7e-77b39ce51d81', '5f91cbca-eeb3-42ae-b9ab-3290a540577d']",50,,,,,,,,,,,,,,,,,,Mali,4930,00:35:50.854,Carry,True
,,"[26.5, 11.4]",,,,,,,,,,,1.222199,,,,,,,,,,,,82e70bec-aa3c-4782-b813-f63bf904cb6f,1069,,"[28.1, 15.5]",3920417,37,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Riaan Hanamub,65555.0,Left Back,70,Mali,4930,"['c9957402-7a75-48c5-bb20-e632fae2e169', 'a0b04d2e-a28f-4e88-976c-c3f3a4c66d1a']",27,,,,,,,,,,,,,,,,,,Namibia,4980,00:37:27.176,Carry,
,,"[61.1, 70.6]",,,,,,,,,,,2.251333,,,,,,,,,,,,6fb0ac45-d827-452f-bb6c-fc862a77f2e3,1073,,"[56.7, 68.4]",3920417,37,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Hamari Traoré,3248.0,Right Back,70,Mali,4930,"['424732cc-979c-4800-94e4-9d5d89cad368', '97d09560-badb-4344-9270-d72beaa25b23']",29,,,,,,,,,,,,,,,,,,Mali,4930,00:37:29.977,Carry,
,,"[61.2, 16.2]",,,,,,,,,,,1.09083,,,,,,,,,,,,7ff4b737-6ac2-4c0a-acb5-2f1e5b8df110,1079,,"[61.7, 10.4]",3920417,37,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sikou Niakate,7295.0,Left Center Back,71,Mali,4930,"['9aecf4d9-6a5e-4220-a20a-0c8de9e16ce8', '55db879a-9936-4427-bd28-4a0f771d9b9d']",51,,,,,,,,,,,,,,,,,,Mali,4930,00:37:51.679,Carry,
,,"[48.1, 50.7]",,,,,,,,,,,1.177801,,,,,,,,,,,,881fa38a-4930-4c83-bbd3-ce2e4b7a53f1,1082,,"[50.8, 45.2]",3920417,37,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Boubakar Kouyate,23331.0,Right Center Back,71,Mali,4930,"['a1032934-7d4f-4b19-aa3f-e5f6dba7f39f', '11f43471-37ed-4e70-a352-145897747175']",54,,,,,,,,,,,,,,,,,,Mali,4930,00:37:54.602,Carry,
,,"[54.0, 69.9]",,,,,,,,,,,1.096969,,,,,,,,,,,,c0003a50-9b6d-4577-aebd-83675bb0dc66,1085,,"[55.3, 67.7]",3920417,37,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Hamari Traoré,3248.0,Right Back,71,Mali,4930,"['2aa0183e-44fe-474e-b058-3a12a60d69a7', '6c674285-4257-4b4d-8e63-99a44f9be39b']",56,,,,,,,,,,,,,,,,,,Mali,4930,00:37:56.945,Carry,
,,"[64.4, 60.2]",,,,,,,,,,,1.523968,,,,,,,,,,,,d2279a62-0a85-4ae5-a2c8-0330a8b2e2b2,1088,,"[64.2, 57.3]",3920417,37,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aliou Dieng,67714.0,Right Defensive Midfield,71,Mali,4930,"['c1b607f2-12aa-4e30-9bb0-7f26e28a6c20', 'c5fdea11-1f9b-4b15-a1ec-abfe1c4e4153']",59,,,,,,,,,,,,,,,,,,Mali,4930,00:37:59.011,Carry,
,,"[57.0, 68.5]",,,,,,,,,,,0.678316,,,,,,,,,,,,ba229712-ff7b-4292-814b-0a338b3bb45c,1091,,"[55.8, 66.3]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Hamari Traoré,3248.0,Right Back,71,Mali,4930,"['4c3384c3-ff43-4ed7-9a67-94ad5ca13cc6', '4900c5ae-35c1-45c0-b0a6-1a7cee0657ff']",1,,,,,,,,,,,,,,,,,,Mali,4930,00:38:01.574,Carry,
,,"[46.6, 57.1]",,,,,,,,,,,1.710621,,,,,,,,,,,,f3c3392c-9f9b-43b1-9e57-74006af74abe,1094,,"[44.2, 59.5]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Boubakar Kouyate,23331.0,Right Center Back,71,Mali,4930,"['c477525d-365c-46fe-9bfe-d111fa7d22fd', '5061af4b-9a5e-49c0-944b-32558c6b8b9a']",3,,,,,,,,,,,,,,,,,,Mali,4930,00:38:03.520,Carry,
,,"[90.9, 60.3]",,,,,,,,,,,5.353822,,,,,,,,,,,,02caf9fb-dead-4090-8878-e3eb10934148,1098,,"[54.2, 66.7]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Muzeu Bethuel,389319.0,Right Midfield,71,Mali,4930,"['7c122234-a62f-4f91-8f89-9b60d3775612', '6d53c23e-9c4a-40a8-8866-ba7f6a124018']",7,,,,,,,,,,,,,,,,,,Namibia,4980,00:38:07.673,Carry,
,,"[37.6, 22.3]",,,,,,,,,,,3.754777,,,,,,,,,,,,63b7f0f9-2ac4-4dfe-9803-9b5f9379c1cf,1101,,"[29.2, 19.8]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Yves Bissouma,4385.0,Left Defensive Midfield,71,Mali,4930,"['79fe90d6-574a-4734-bb1e-9f6d82d70aca', 'c4c7fe9f-e349-4929-9b43-c67be82110b3', '0dd8636d-ab2b-454b-b49d-bee7ce3a86ba']",13,,,,,,,,,,,,,,,,,,Mali,4930,00:38:13.027,Carry,True
,,"[28.6, 8.7]",,,,,,,,,,,0.225497,,,,,,,,,,,,fd06be1e-d2f6-42e1-9f22-0a50fbaf54e4,1105,,"[28.6, 8.7]",3920417,38,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Moussa Diarra,32952.0,Left Back,71,Mali,4930,"['c85636f1-cc96-4897-9c11-0c964e4efa8a', 'daf9e461-7c7c-45eb-bae1-bb24f35500e4']",18,,,,,,,,,,,,,,,,,,Mali,4930,00:38:18.334,Carry,
