50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.0814,,,,,,,,,,,,,79f31f37-4f39-4bd1-b5d6-4ad5e3dbf6d9,17,,,"[28.4, 22.0]",3920405,0,,,,1.6359215,,Left Foot,,,"[26.3, 54.2]",,Ground Pass,,32.268406,,,,,Nayef Aguerd,12149.0,,,,,,1,From Kick Off,Romain Saïss,5219.0,Left Center Back,2,Morocco,788,['4f7bab0d-37fe-4f87-b304-f0d31e5919d8'],9,,,,,,,,,,,,,,,,,Morocco,788,00:00:09.787,Pass,
,,,,,,,,,,,,,,,,2.016922,,,,,,,,,,,,,87f68386-da63-4663-806c-57f09b94c7d5,20,,,"[35.4, 54.9]",3920405,0,,,,-1.7792059,,Left Foot,,,"[28.4, 21.8]",,Ground Pass,,33.832085,,,,,Romain Saïss,5219.0,,,,,,1,From Kick Off,Nayef Aguerd,12149.0,Right Center Back,2,Morocco,788,['17e0f8ec-51b6-4a2f-b73f-530a7e18b2e0'],16,,,,,,,,,,,,,,,,,Morocco,788,00:00:16.269,Pass,
,,,,,,,,,,,,,,,,1.244862,,,,,,,,,,,,,992e58b8-bd9f-463d-8ad0-61166f3bca9e,23,,,"[38.8, 18.2]",3920405,0,,,,-0.91841096,,Right Foot,,,"[51.1, 2.1]",,Ground Pass,,20.2608,,,,,Mohamed Chibi,143165.0,,,,,,1,From Kick Off,Romain Saïss,5219.0,Left Center Back,2,Morocco,788,['15aca62e-f390-46be-aafc-0b6a45c38a86'],20,,,,,,,,,,,,,,,,,Morocco,788,00:00:20.677,Pass,
,,,,,,,,,,,,,,,,2.615804,,,,,,,,,,,,,c58b7b32-0c68-493e-9e0d-5c08e1e547cc,26,,,"[49.7, 4.3]",3920405,0,,,,2.4181185,,Right Foot,,,"[16.3, 33.8]",,Ground Pass,,44.562428,,,,,Yassine Bounou,6785.0,,,,,,1,From Kick Off,Mohamed Chibi,143165.0,Left Back,2,Morocco,788,['403a6bb4-faa3-4fd9-87e3-dd8c6b812251'],24,,,,,,,,,,,,,,,,,Morocco,788,00:00:24.195,Pass,
,,,,,,,,,,,,,,,,1.464497,,,,,,,,,,,,,9d0b37c8-4759-4c83-9a7d-62e4fd6f0aa4,29,,,"[17.5, 39.3]",3920405,0,,,,0.8179448,,Right Foot,,,"[27.9, 50.4]",,Ground Pass,,15.210852,,,,,Nayef Aguerd,12149.0,,,,,,1,From Kick Off,Yassine Bounou,6785.0,Goalkeeper,2,Morocco,788,['4ae7c670-9c08-4c1d-bce9-77f1d5b418b3'],28,,,,,,,,,,,,,,,,,Morocco,788,00:00:28.310,Pass,
,,,,,,,,,,,,,,,,1.129775,,,,,,,,,,,,,907becb6-1490-483e-9406-1f4161cd5b14,32,,,"[35.5, 54.4]",3920405,0,,,,0.12526657,,Left Foot,,,"[49.0, 56.1]",,Ground Pass,,13.606616,,,,,Azzedine Ounahi,46258.0,,,,,,1,From Kick Off,Nayef Aguerd,12149.0,Right Center Back,2,Morocco,788,['5eae3112-03e6-42a6-a023-90b73e2175dc'],31,,,,,,,,,,,,,,,,,Morocco,788,00:00:31.821,Pass,
,,,,,,,,,,,,,,,,1.028691,,,,,,,,,,,,,5395c8f5-75ed-47ed-89b0-1183481275c4,35,,,"[49.0, 56.1]",3920405,0,,,,-3.0845118,,Right Foot,,,"[35.0, 55.3]",,Ground Pass,,14.022839,,,,,Nayef Aguerd,12149.0,,,,,,1,From Kick Off,Azzedine Ounahi,46258.0,Right Center Midfield,2,Morocco,788,['e8197f65-74f2-4369-8846-c6facb2242c4'],32,,,,,,,,,,,,,,,,,Morocco,788,00:00:32.987,Pass,
,,,,,,,,,,,,,,,,1.1579,,,,,,,,,,,,,0763cfbc-5887-4f27-9288-01bb0f2ece98,38,,,"[35.4, 57.0]",3920405,0,,,,1.2266743,,Left Foot,,,"[41.6, 74.3]",,Ground Pass,,18.377432,,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Kick Off,Nayef Aguerd,12149.0,Right Center Back,2,Morocco,788,['9412b0ce-fd77-4eda-9469-37e2bef71ef4'],34,,,,,,,,,,,,,,,,,Morocco,788,00:00:34.580,Pass,
,,,,,,,,,,,,,,,,1.324571,,,,,,,,,,,,,53140549-df8a-4300-92a1-5de9738735dc,41,,,"[41.8, 74.3]",3920405,0,,,,-2.0100586,,Right Foot,,,"[34.0, 57.7]",,Ground Pass,,18.341211,,,,,Nayef Aguerd,12149.0,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Back,2,Morocco,788,['8c116252-46e1-46a9-9a10-c672da484a59'],37,,,,,,,,,,,,,,,,,Morocco,788,00:00:37.293,Pass,
,,,,,,,,,,,,,,,,1.181081,,,,,,,,,,,,,38d7763e-c533-47e4-9b27-5e9a94656256,44,,,"[35.7, 56.0]",3920405,0,,,,0.47116625,,Left Foot,,,"[72.8, 74.9]",,High Pass,,41.63676,,,Incomplete,,Youssef En-Nesyri,6301.0,,,,,,1,From Kick Off,Nayef Aguerd,12149.0,Right Center Back,2,Morocco,788,"['166b1ee4-a4fa-4a54-915d-867f65b51227', '95b2c356-7b6a-4497-861c-ed3324951781']",40,,,,,,,,,,,,,,,,,Morocco,788,00:00:40.641,Pass,
