50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.839523,,,,,,,,,,70ada2e4-d49f-442f-902a-98ec05245f12,17,,"[29.4, 69.0]",3920406,0,,,,,-2.1689405,,Right Foot,,,,"[21.7, 57.7]",,Ground Pass,,13.674063,,,Aishi Manula,103262.0,,,,,,1,From Kick Off,Haji Mnoga,51494.0,Right Back,2,Tanzania,4953,['2db570c7-58a4-408c-bb78-461f1a9e2f81'],9,,,,,,,,,,,,,,,,,Tanzania,4953,00:00:09.408,Pass,
,,,,,,,,,,,,,,,,,3.299425,,,,,,,,,,9492c3f7-4864-4221-b5d0-80772cd76ae9,21,,"[9.5, 46.3]",3920406,0,,,,,0.032246884,,Right Foot,,,,"[65.3, 48.1]",,High Pass,,55.829025,Incomplete,,Faisal Salum Abdalla,103268.0,,,,,,1,From Kick Off,Aishi Manula,103262.0,Goalkeeper,2,Tanzania,4953,"['30807488-3805-45cd-b5e8-1063b3cc0528', '80d9af91-52be-4dfa-9fff-5fdc98b8191f']",12,,,,,,,,,,,,,,,,,Tanzania,4953,00:00:12.487,Pass,
,,,,,,,,,,,,,,,,,1.612474,,,,,,,,,,80d9af91-52be-4dfa-9fff-5fdc98b8191f,24,,"[54.8, 32.0]",3920406,0,,,,True,-2.4651365,,,,,,"[47.7, 26.3]",,Low Pass,,9.104943,,,Roderick Kabwe,68505.0,,,,,Recovery,1,From Kick Off,Kelvin Kapumbu,151066.0,Center Defensive Midfield,2,Tanzania,4953,"['9492c3f7-4864-4221-b5d0-80772cd76ae9', '48f451d9-585b-4ab3-b236-7dc54e51071e', '641c4187-4971-4e86-bf25-806052246b26']",15,,,,,,,,,,,,,,,,,Zambia,4963,00:00:15.786,Pass,True
,,,,,,,,,,,,,,,,,2.138298,,,,,,,,,,23de242b-7bfe-4355-868b-2a85adac7f71,27,,"[43.0, 24.1]",3920406,0,,,,,0.056487463,,Left Foot,,,,"[76.6, 26.0]",,High Pass,,33.65368,Incomplete,,Patson Daka,8785.0,,,,,,1,From Kick Off,Roderick Kabwe,68505.0,Left Back,2,Tanzania,4953,"['9d7fd843-6c94-4c52-8fe7-ab5e86520714', 'bcc325c8-3f05-4dc1-b2bc-af9ea0bf11c6']",17,,,,,,,,,,,,,,,,,Zambia,4963,00:00:17.682,Pass,
,,,,,,,,,,,,,,,,,1.031268,,,,,,,,,,9d7fd843-6c94-4c52-8fe7-ab5e86520714,29,,"[43.5, 54.1]",3920406,0,,,,,-0.12002334,,Right Foot,,,,"[63.4, 51.7]",,Ground Pass,,20.0442,,,Faisal Salum Abdalla,103268.0,,,,,Recovery,1,From Kick Off,Bakari Nondo Mwamnyeto,103269.0,Right Center Back,2,Tanzania,4953,"['23de242b-7bfe-4355-868b-2a85adac7f71', '55b95595-e1c7-47ec-9710-16c8910906cc']",19,,,,,,,,,,,,,,,,,Tanzania,4953,00:00:19.821,Pass,
,,,,,,,,,,,,,,,,,0.642285,,,,,,,,,,9f3156fd-56c3-49cb-b680-c965fd72a0c6,33,,"[62.1, 51.7]",3920406,0,,,,,3.083406,,Right Foot,,,,"[51.8, 52.3]",,Ground Pass,,10.317461,,,Himid Mao Mkami,86067.0,,,,,,1,From Kick Off,Faisal Salum Abdalla,103268.0,Center Attacking Midfield,2,Tanzania,4953,['5a123b62-0373-4128-b31f-2344a002aa8d'],21,,,,,,,,,,,,,,,,,Tanzania,4953,00:00:21.860,Pass,
,,,,,,,,,,,,,,,,,2.574784,,,,,,,,,,b42178fb-d89a-41ef-81ee-705202a8c1f4,36,,"[53.1, 52.6]",3920406,0,,,,,-1.0151399,,Right Foot,,,,"[72.1, 22.0]",,Ground Pass,,36.018883,Incomplete,,Denis Kibu,145622.0,,,,,,1,From Kick Off,Himid Mao Mkami,86067.0,Right Defensive Midfield,2,Tanzania,4953,"['bbe22d02-9a82-4cb9-8af1-36d59a8defc5', '2d79ea41-f92e-4c3a-9dae-e2397aec2698']",23,,,,,,,,,,,,,,,,,Tanzania,4953,00:00:23.307,Pass,
,,,,,,,,,,,,,,,,,1.073993,,,,,,,,,,a6ff5289-7693-4b89-8bc6-5b5fd290341e,40,,"[52.7, 62.2]",3920406,0,,,,,0.8850668,,Right Foot,,,,"[64.4, 76.5]",,Ground Pass,,18.47647,,,Fashion Sakala,23708.0,,,,,,1,Regular Play,Benedict Chepeshi,108280.0,Right Back,3,Zambia,4963,['453fe157-09be-44c9-aa45-0877451f2797'],27,,,,,,,,,,,,,,,,,Zambia,4963,00:00:27.519,Pass,
,,,,,,,,,,,,,,,,,1.313258,,,,,,,,,,c56f94c0-a948-4f1a-a280-32428e5a88c8,43,,"[64.4, 76.5]",3920406,0,,,,,-2.8831377,,Right Foot,,,,"[55.7, 74.2]",,Ground Pass,,8.998889,,,Benedict Chepeshi,108280.0,,,,,,1,Regular Play,Fashion Sakala,23708.0,Right Midfield,3,Zambia,4963,['390acf18-449d-4f93-8090-785a5aa85583'],30,,,,,,,,,,,,,,,,,Zambia,4963,00:00:30.751,Pass,
,,,,,,,,,,,,,,,,,0.717835,,,,,,,,,,d006e533-be07-4fbb-8dfc-22ab52235455,46,,"[55.7, 72.7]",3920406,0,,,,,-1.4636137,,Right Foot,,,,"[57.4, 56.9]",,Ground Pass,,15.891192,,,Kelvin Kapumbu,151066.0,,,,,,1,Regular Play,Benedict Chepeshi,108280.0,Right Back,3,Zambia,4963,['9368cf61-1184-4093-8f41-bb1815c94a48'],33,,,,,,,,,,,,,,,,,Zambia,4963,00:00:33.147,Pass,
,,,,,,,,,,,,,,,,,1.568115,,,,,,,,,,e77337f1-0ecf-4ebe-9c3d-8d4b62a81aec,49,,"[57.4, 56.9]",3920406,0,,,,,2.0344439,,Right Foot,,,,"[50.7, 70.3]",,Ground Pass,,14.981655,,,Benedict Chepeshi,108280.0,,,,,,1,Regular Play,Kelvin Kapumbu,151066.0,Center Defensive Midfield,3,Zambia,4963,['ad8afa5a-e8d6-4e91-bff9-49f3f88aed50'],34,,,,,,,,,,,,,,,,,Zambia,4963,00:00:34.061,Pass,
,,,,,,,,,,,,,,,,,4.947399,,,,,,,,,,53a2dd0f-d497-456f-92a8-bc871d7fcbee,53,,"[48.6, 72.0]",3920406,0,,,,,-2.4895098,,Right Foot,,,,"[9.7, 42.3]",,Ground Pass,,48.941803,,,Tresford Lawrence Mulenga,389156.0,,,,,,1,Regular Play,Benedict Chepeshi,108280.0,Right Back,3,Zambia,4963,['150758b9-43cd-44e5-a37a-56c0a2dceab7'],36,,,,,,,,,,,,,,,,,Zambia,4963,00:00:36.358,Pass,
,,,,,,,,,,,,,,,,,1.857137,,,,,,,,,,cf374291-269b-44f3-ade4-8d4d70ad8600,56,,"[9.9, 37.6]",3920406,0,,,,,-0.8269079,,Left Foot,,,,"[24.9, 21.3]",,Ground Pass,,22.151524,,,Frankie Musonda,47979.0,,,,,,1,Regular Play,Tresford Lawrence Mulenga,389156.0,Goalkeeper,3,Zambia,4963,['b3d27d03-23bb-4016-a009-80e286934d38'],41,,,,,,,,,,,,,,,,,Zambia,4963,00:00:41.636,Pass,
,,,,,,,,,,,,,,,,,1.241857,,,,,,,,,,18b90a65-06b4-496f-af1b-be3dce3d6d44,59,,"[27.2, 24.6]",3920406,0,,,,,1.0733349,,Right Foot,,,,"[37.3, 43.2]",,Ground Pass,,21.165302,,,Kelvin Kapumbu,151066.0,,,,,,1,Regular Play,Frankie Musonda,47979.0,Left Center Back,3,Zambia,4963,['b2310cbc-b8c5-4227-9985-6fc2721acb04'],45,,,,,,,,,,,,,,,,,Zambia,4963,00:00:45.307,Pass,
,,,,,,,,,,,,,,,,,0.981474,,,,,,,,,,8449a4f0-4bb4-4871-a3b0-6e7ff9e327c9,62,,"[36.2, 50.0]",3920406,0,,,,,0.55921054,,Right Foot,,,,"[50.9, 59.2]",,Ground Pass,,17.341568,,,Kings Kangwa,44402.0,,,,,,1,Regular Play,Kelvin Kapumbu,151066.0,Center Defensive Midfield,3,Zambia,4963,['ceb5e434-27a2-412a-9582-198ae2e3c4a8'],48,,,,,,,,,,,,,,,,,Zambia,4963,00:00:48.316,Pass,
,,,,,,,,,,,,,,,,,1.371729,,,,,,,,,,b6cadb56-5400-4c6e-88e8-6e97729ebb89,65,,"[50.1, 62.8]",3920406,0,,,,,2.4227626,,Right Foot,,,,"[37.3, 74.0]",,Ground Pass,,17.008234,,,Benedict Chepeshi,108280.0,,,,,,1,Regular Play,Kings Kangwa,44402.0,Right Center Midfield,3,Zambia,4963,['89be5784-b3df-46ea-87c6-36ad1e215e06'],50,,,,,,,,,,,,,,,,,Zambia,4963,00:00:50.077,Pass,
,,,,,,,,,,,,,,,,,0.608196,,,,,,,,,,cb5c74cb-3df4-424a-8230-9224ad3438d4,68,,"[37.3, 75.2]",3920406,0,,,,,-1.012197,,Right Foot,,,,"[41.8, 68.0]",,Ground Pass,,8.490583,,,Kings Kangwa,44402.0,,,,,,1,Regular Play,Benedict Chepeshi,108280.0,Right Back,3,Zambia,4963,['3764c00e-331b-4403-a90e-33e094e3027d'],51,,,,,,,,,,,,,,,,,Zambia,4963,00:00:51.900,Pass,
,,,,,,,,,,,,,,,,,0.844053,,,,,,,,,,fb9a4077-56f2-43e5-8780-a59c725c93ce,71,,"[44.7, 68.8]",3920406,0,,,,,-0.7629804,,Right Foot,,,,"[56.1, 57.9]",,Ground Pass,,15.772445,,,Patson Daka,8785.0,,,,,,1,Regular Play,Kings Kangwa,44402.0,Right Center Midfield,3,Zambia,4963,['8137c530-b791-4cb1-b8c2-33e614858088'],54,,,,,,,,,,,,,,,,,Zambia,4963,00:00:54.375,Pass,
,,,,,,,,,,,,,,,,,1.329282,,,,,,,,,,fee6d6dc-aa52-4e74-a887-789222f700ff,75,,"[57.8, 57.9]",3920406,0,,,,,-2.6476512,,Right Foot,,,,"[43.5, 50.2]",,Ground Pass,,16.241306,,,Kelvin Kapumbu,151066.0,,,,,,1,Regular Play,Patson Daka,8785.0,Center Forward,3,Zambia,4963,"['917c69d5-1595-4dfc-8406-c6771f9afd0f', 'd06941fd-2457-4bd2-933c-4bca5b679752']",56,,,,,,,,,,,,,,,,,Zambia,4963,00:00:56.061,Pass,True
,,,,,,,,,,,,,,,,,1.878176,,,,,,,,,,9334dc22-6f57-4118-95c0-8f5675d37b47,78,,"[57.2, 44.2]",3920406,1,,,,,-1.2001673,,Right Foot,,,,"[71.5, 7.4]",,High Pass,,39.480755,,,Roderick Kabwe,68505.0,,,,,,1,Regular Play,Kelvin Kapumbu,151066.0,Center Defensive Midfield,3,Zambia,4963,['38f80e38-0d4c-4ce7-9d6e-728bcc37e079'],0,,,,,,,,,,,,,,,,,Zambia,4963,00:01:00.281,Pass,
,,,,,,,,,,,,,,,,,0.686229,,,,,,,,,,64f3e257-ca1c-45b6-afea-d9673f6ef3a3,81,,"[82.8, 7.4]",3920406,1,,,,,-0.038076825,,Left Foot,,,,"[93.3, 7.0]",,Ground Pass,,10.507616,,,Lameck Banda,44751.0,,,,,,1,Regular Play,Roderick Kabwe,68505.0,Left Back,3,Zambia,4963,['57539ba6-374c-48ce-aa13-ad77ddae414b'],4,,,,,,,,,,,,,,,,,Zambia,4963,00:01:04.539,Pass,
,,,,,,,,,,,,,,,,,0.541326,,,,,,,,,,1d241ae0-4c44-4700-8560-887f50718b85,84,,"[92.9, 6.6]",3920406,1,,,,,1.7776703,,Right Foot,,,,"[91.2, 14.7]",,Ground Pass,,8.276473,,,Emmanuel Justine Rabby Banda,23260.0,,,,,,1,Regular Play,Lameck Banda,44751.0,Left Midfield,3,Zambia,4963,['f229fcff-b6f5-4d8d-8f89-de6ba6ac1547'],5,,,,,,,,,,,,,,,,,Zambia,4963,00:01:05.280,Pass,
,,,,,,,,,,,,,,,,,2.454386,,,,,,,,,,eee2137c-c211-4d15-ac9c-5734d1b6e703,87,,"[92.2, 15.4]",3920406,1,,,,,-0.36024415,,Right Foot,,,,"[114.5, 7.0]",,Ground Pass,,23.829603,,,Lameck Banda,44751.0,,,,,,1,Regular Play,Emmanuel Justine Rabby Banda,23260.0,Left Center Midfield,3,Zambia,4963,['3ff66712-9e38-43f5-b087-d91a612d5334'],5,,,,,,,,,,,,,,,,,Zambia,4963,00:01:05.823,Pass,
,,,,,,,,,,,,,,,,,1.551062,,,,,,,,,,09ef7a70-cd30-4dfa-84cb-becb4453869f,93,,"[109.8, 8.5]",3920406,2,,,,,1.3924781,,Right Foot,True,,,"[116.0, 42.9]",,High Pass,,34.954254,Incomplete,,Stopilla Sunzu,23203.0,,,,,Free Kick,1,From Free Kick,Kings Kangwa,44402.0,Right Center Midfield,4,Zambia,4963,"['8ebbd73d-4076-4464-9b93-df0bf595a747', '5598ea61-80cf-46d2-a28d-788f83d935d4']",13,,,,,,,,,,,,,,,,,Zambia,4963,00:02:13.751,Pass,
,,,,,,,,,,,,,,,,,1.662922,,,,,,,,,,0347e76c-b619-4b93-8261-9b459bdf3192,96,,"[102.5, 9.2]",3920406,2,,,,,2.6463463,,Right Foot,,,,"[88.8, 16.6]",,Ground Pass,,15.570806,,,Lameck Banda,44751.0,,,,,Recovery,1,From Free Kick,Kings Kangwa,44402.0,Right Center Midfield,4,Zambia,4963,['dc2559ba-1bc9-4119-b99b-08f6790d564e'],17,,,,,,,,,,,,,,,,,Zambia,4963,00:02:17.827,Pass,
,,,,,,,,,,,,,,,,,0.719358,,,,,,,,,,695fdbaa-6e88-484f-9339-95cdff9311ff,100,,"[93.9, 13.9]",3920406,2,,,,,1.3684747,,Right Foot,,,,"[96.3, 25.6]",,Ground Pass,,11.943618,,,Patson Daka,8785.0,,,,,,1,From Free Kick,Lameck Banda,44751.0,Left Midfield,4,Zambia,4963,['619c64f1-a7ea-49da-85b3-2854ff26633c'],25,,,,,,,,,,,,,,,,,Zambia,4963,00:02:25.141,Pass,
,,,,,,,,,,,,,,,,,0.357544,,,,,,,,,,234bb348-dcdd-4d07-893a-0c97f2eb6cbd,103,,"[95.9, 24.6]",3920406,2,,,,,-0.07878396,,Right Foot,,,,"[99.7, 24.3]",,Ground Pass,,3.8118236,Incomplete,,Lameck Banda,44751.0,,,,,,1,From Free Kick,Patson Daka,8785.0,Center Forward,4,Zambia,4963,"['e3ef5d06-8514-46c2-aab7-a5ebd558b0c2', '30c86ad4-eff7-4a90-8bb8-e3be18c3873c']",26,,,,,,,,,,,,,,,,,Zambia,4963,00:02:26.227,Pass,
,,,,,,,,,,,,,,,,,2.948587,,,,,,,,,,03d62dac-65fb-4584-98e0-5e5894b50e76,108,,"[20.0, 55.1]",3920406,2,,,,,0.1798535,,Right Foot,,,,"[49.7, 60.5]",,High Pass,,30.186918,Incomplete,,,,,,,,Recovery,1,From Free Kick,Haji Mnoga,51494.0,Right Back,4,Zambia,4963,"['63d25180-523d-48f6-9588-e669b2b2b210', 'c18f88f1-2e37-4de4-9b1c-665cb259a968']",27,,,,,,,,,,,,,,,,,Tanzania,4953,00:02:27.625,Pass,True
,,,,,,,,,,,,,,,,,2.394899,,,,,,,,,,c18f88f1-2e37-4de4-9b1c-665cb259a968,110,,"[70.4, 19.6]",3920406,2,,,,,0.63715535,,Left Foot,,,,"[100.8, 42.1]",,High Pass,,37.820763,Incomplete,,Patson Daka,8785.0,,,,,Recovery,1,From Free Kick,Roderick Kabwe,68505.0,Left Back,4,Zambia,4963,"['32bb9486-6116-4b31-a7d5-38442b2a5596', '03d62dac-65fb-4584-98e0-5e5894b50e76', 'ec955d0a-008a-4849-8a1b-2caec14f0147', '1bf0e0b8-2929-41a9-aefa-f1d32e108656']",30,,,,,,,,,,,,,,,,,Zambia,4963,00:02:30.574,Pass,True
