50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,2.225212,,,,,,,,,,,,,a9a1cd71-13e9-4c27-8571-78b6fd37881d,982,,"[21.5, 70.4]",3922242,32,,,,,-0.3934058,,Right Foot,,,"[57.4, 55.5]",,High Pass,,38.869267,,Incomplete,,Ismaïla Sarr,2941.0,,,,,,1,From Goal Kick,Kalidou Koulibaly,5675.0,Right Center Back,50,Senegal,787,"['063dfa67-9c4c-4e3b-8c36-f47a04bb6073', '462eace2-e62b-4bd8-87e9-6b7ce8e8750b']",33,,,,,,,,,,,,,,,,,Senegal,787,00:32:33.120,Pass,
,,,,,,,,,,,,,,,,,,,2.669977,,,,,,,,,,,,,462eace2-e62b-4bd8-87e9-6b7ce8e8750b,984,,"[62.7, 24.6]",3922242,32,,,,,-1.6803559,,Right Foot,,,"[60.5, 4.6]",,Low Pass,,20.120636,,,,Ghislain Konan,10039.0,,,,,Recovery,1,Regular Play,Obite Evan Ndicka,7713.0,Left Center Back,51,Côte d'Ivoire,3374,"['a9a1cd71-13e9-4c27-8571-78b6fd37881d', '151c4ccc-5734-4028-92c1-835999559e39']",35,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:32:35.346,Pass,
,,,,,,,,,,,,,,,,,,,0.93341,,,,,,,,,,,,,30f856e1-7983-4106-81ca-231f2f3f220e,987,,"[60.5, 4.6]",3922242,32,,,,,2.1939957,,Left Foot,,,"[53.6, 14.2]",,Ground Pass,,11.822436,,,,Obite Evan Ndicka,7713.0,,,,,,1,Regular Play,Ghislain Konan,10039.0,Left Back,51,Côte d'Ivoire,3374,['67e1e873-4496-45bc-bae1-fb657ee115f9'],38,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:32:38.181,Pass,
,,,,,,,,,,,,,,,,,,,0.302328,,,,,,,,,,,,,e12ca105-0367-4304-8a3d-65ca9782ad7e,990,,"[53.8, 13.5]",3922242,32,,,,,0.5123895,,Left Foot,,,"[55.4, 14.4]",,Ground Pass,,1.835756,,Incomplete,,Jean Michaël Seri,3359.0,,,,,,1,Regular Play,Obite Evan Ndicka,7713.0,Left Center Back,51,Côte d'Ivoire,3374,"['37c79437-fe34-4e1f-8a22-484c0f3edec6', '7027ecbe-6ade-4c59-a125-e70886f7baba']",39,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:32:39.420,Pass,
,,,,,,,,,,,,,,,,,,,0.814992,,,,,,,,,,,,,a5e43efd-6670-4a25-9c6f-8afca4943276,993,,"[60.8, 64.8]",3922242,32,,,,,1.2490457,,Right Foot,,,"[61.6, 67.2]",,Ground Pass,,2.529822,,,,Ismaïla Sarr,2941.0,,,,,Recovery,1,Regular Play,Pape Matar Sarr,50498.0,Right Defensive Midfield,52,Senegal,787,['b66b53c2-0a6d-4ac7-9675-8d0126be55a2'],40,,,,,,,,,,,,,,,,,Senegal,787,00:32:40.319,Pass,
,,,,,,,,,,,,,,,,,,,0.30595,,,,,,,,,,,,,248bbd75-9f78-4aa4-845d-e8929a98fd58,997,,"[62.9, 72.6]",3922242,32,,,,,-2.0189414,,Right Foot,,,"[60.4, 67.4]",,Ground Pass,,5.7697487,,,,Habibou Mouhamadou Diallo,18516.0,,,,,,1,Regular Play,Ismaïla Sarr,2941.0,Right Wing,52,Senegal,787,['446e2768-49bb-406b-a7c9-64ae681ed3c8'],41,,,,,,,,,,,,,,,,,Senegal,787,00:32:41.432,Pass,
,,,,,,,,,,,,,,,,,,,1.103618,,,,,,,,,,,,,320b3e19-72a7-448f-96fc-78bd8c10090a,1001,,"[58.8, 66.4]",3922242,32,,,,,2.0588293,,Right Foot,,,"[54.5, 74.5]",,Ground Pass,,9.170606,,,,Krépin Diatta,20758.0,,,,,,1,Regular Play,Habibou Mouhamadou Diallo,18516.0,Center Forward,52,Senegal,787,"['17cd39f8-c907-4c84-addd-c4b3fe9f66a8', '2302640e-6dac-4cce-9810-c85f34a331aa']",42,,,,,,,,,,,,,,,,,Senegal,787,00:32:42.419,Pass,True
,,,,,,,,,,,,,,,,,,,0.687325,,,,,,,,,,,,,e6cce2cb-b486-460a-9b42-81459f222496,1004,,"[59.2, 75.0]",3922242,32,,,,,-1.4396846,,Right Foot,,,"[60.4, 65.9]",,Ground Pass,,9.17878,,,,Habibou Mouhamadou Diallo,18516.0,,,,,,1,Regular Play,Krépin Diatta,20758.0,Right Wing Back,52,Senegal,787,['29a9a8ab-9640-407a-b188-6704631531e6'],44,,,,,,,,,,,,,,,,,Senegal,787,00:32:44.702,Pass,
,,,,,,,,,,,,,,,,,,,1.130261,,,,,,,,,,,,,14c30f8e-dea4-40ab-a806-295de8dac13e,1006,,"[62.0, 65.9]",3922242,32,,,,,0.08377294,,Right Foot,,,"[75.1, 67.0]",,Low Pass,,13.146102,,,,Ismaïla Sarr,2941.0,,,,,,1,Regular Play,Habibou Mouhamadou Diallo,18516.0,Center Forward,52,Senegal,787,['d5c8d90b-94fe-4415-af76-e5842f2856f4'],45,,,,,,,,,,,,,,,,,Senegal,787,00:32:45.390,Pass,
,,,,,,,,,,,,,,,,,,,2.537274,,,,,,,,,,,,,0973ec3e-e05d-4d05-a021-b4ac722ed590,1013,,"[37.0, 20.6]",3922242,32,,,,,0.6464758,,Right Foot,,,"[69.2, 44.9]",,High Pass,,40.34018,,Incomplete,,Jean-Philippe Krasso,43072.0,,,,,,1,Regular Play,Obite Evan Ndicka,7713.0,Left Center Back,52,Senegal,787,"['533a6dd0-ee8f-480d-ba0c-c98eb3710764', 'c73958bb-8173-4ed4-b9ad-ebb80005a040', 'da5e5200-0aa8-476e-a2df-72c31471ca3d']",48,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:32:48.239,Pass,True
