50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.885192,,,,,,,,,,,fb3b9ced-8c11-48a9-bdbd-6360c6ab03ec,1585,,"[15.2, 74.8]",3920408,57,,True,,,-0.6337334,,Right Foot,,,"[54.8, 45.7]",,Ground Pass,,49.142345,,Unknown,,,,,,,,,Free Kick,2,From Free Kick,Carlos Akapo Martínez,17618.0,Right Back,104,Equatorial Guinea,4992,,49,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:12:49.894,Pass,
,,,,,,,,,,,,,,,,,1.679999,,,,,,,,,,,084e128d-0069-4d18-9122-7cc6eb60f788,1588,,"[65.9, 33.7]",3920408,58,,,,,1.6804864,,Left Foot,,,"[63.4, 56.4]",,Ground Pass,,22.83725,,,,Wilfried Stephane Singo,36539.0,,,,,,Free Kick,2,From Free Kick,Ibrahim Sangaré,3017.0,Right Center Midfield,105,Côte d'Ivoire,3374,['b9b57891-d677-42aa-b533-03b4711bea3f'],4,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:13:04.112,Pass,
,,,,,,,,,,,,,,,,,1.599999,,,,,,,,,,,4a98b8d2-58b8-47b0-b5dc-4c1e6e4c7539,1591,,"[65.1, 58.1]",3920408,58,,,,,0.5481235,,Right Foot,,,"[84.1, 69.7]",,Ground Pass,,22.261177,,,,Oumar Diakité,212489.0,,,,,,,2,From Free Kick,Wilfried Stephane Singo,36539.0,Right Back,105,Côte d'Ivoire,3374,['5a3fea55-924e-4feb-ab22-1a04b787b373'],6,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:13:06.443,Pass,
,,,,,,,,,,,,,,,,,1.828422,,,,,,,,,,,7323eb9b-42a8-470d-a04e-efe4170943d4,1602,,"[5.2, 37.4]",3920408,58,,True,,,0.49329993,,Right Foot,,,"[79.6, 77.4]",,High Pass,,84.47106,,,,Emilio Nsue López,13581.0,,,True,,,Goal Kick,2,From Goal Kick,Jesús Lázaro Owono Ngua Akeng,105765.0,Goalkeeper,106,Equatorial Guinea,4992,['6e85cb62-d15d-4fd8-866e-9d7fefb9f912'],40,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:13:40.312,Pass,
,,,,,,,,,,,,,,,,,1.679999,,,,,,,,,,,c45c4633-ed8b-42e4-9c8c-5c74118d8d1b,1605,,"[46.5, 0.1]",3920408,58,,True,,,2.9319527,,,,,"[32.4, 3.1]",,Low Pass,,14.415617,,,,Obite Evan Ndicka,7713.0,,,,,,Throw-in,2,From Throw In,Ghislain Konan,10039.0,Left Back,107,Côte d'Ivoire,3374,['43d01a19-c551-4abd-84f6-76a3336f3a62'],48,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:13:48.899,Pass,
,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,5aa2b371-e235-4435-b648-cc3898d286a8,1607,,"[32.4, 3.1]",3920408,58,,,,,2.269796,,Left Foot,,,"[26.6, 10.0]",,Ground Pass,,9.013878,,,,Willy Boly,9933.0,,,,,,,2,From Throw In,Obite Evan Ndicka,7713.0,Left Center Back,107,Côte d'Ivoire,3374,['0cacd688-391c-4e89-bba0-7ec90ef7297e'],50,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:13:50.822,Pass,
,,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,1f39dc13-dc50-48bc-8c6f-c9fa1dc33b54,1610,,"[26.2, 21.3]",3920408,58,,,,,-0.7338973,,Right Foot,,,"[36.4, 12.1]",,Ground Pass,,13.736084,,,,Obite Evan Ndicka,7713.0,,,,,,,2,From Throw In,Willy Boly,9933.0,Right Center Back,107,Côte d'Ivoire,3374,['0c42adca-d0cf-4e03-93d1-260993212ab1'],55,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:13:55.142,Pass,
,,,,,,,,,,,,,,,,,2.31999,,,,,,,,,,,2483c8a7-1064-4b07-8fa8-7abbe65b6acf,1613,,"[48.2, 6.1]",3920408,58,,,,,-0.009592032,,Left Foot,,,"[89.9, 5.7]",,High Pass,,41.70192,,,,Christian Kouamé,12496.0,,,,,,,2,From Throw In,Obite Evan Ndicka,7713.0,Left Center Back,107,Côte d'Ivoire,3374,['6b5036e6-7517-4567-9d3d-30b678c4d622'],58,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:13:58.142,Pass,
,,,,,,,,,,,,,,,,,2.039998,,,,,,,,,,,5023461a-0ef0-4a4e-9968-4d3e4fac2d1c,1616,,"[89.7, 6.4]",3920408,59,,,,True,-0.57133746,,,,,"[99.5, 0.1]",,Low Pass,,11.650322,,Out,,Ghislain Konan,10039.0,,,,,,,2,From Throw In,Christian Kouamé,12496.0,Left Wing,107,Côte d'Ivoire,3374,"['bec5ac1c-1517-4e51-865a-888880d11e41', 'a8420ea7-14f0-4cc2-93c1-c9d971191952']",0,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:14:00.513,Pass,True
,,,,,,,,,,,,,,,,,2.115124,,,,,,,,,,,c4e4b71d-0630-48ff-ba3f-152e306946d7,1618,,"[22.5, 80.0]",3920408,59,,,,,-0.16086212,,,,,"[49.0, 75.7]",,High Pass,,26.846601,,Unknown,,Emilio Nsue López,13581.0,,,,,,Throw-in,2,From Throw In,Carlos Akapo Martínez,17618.0,Right Back,108,Equatorial Guinea,4992,['b79c0280-f79f-4f40-97cd-02a70b052696'],21,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:14:21.603,Pass,
