50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.640635,,,,,,,,,,,d2dcfee3-0346-4ebf-9877-722b4754694f,696,,,"[49.0, 63.8]",3920387,18,,,,-1.0888581,,Head,,,"[52.4, 57.3]",,Low Pass,,7.33553,,,,Majeed Ashimeru,30693.0,,,,,Recovery,1,From Throw In,Iddrisu Baba Mohammed,24087.0,Right Defensive Midfield,30,Ghana,4885,"['29df5086-de8f-454a-9f92-e5e7a507738d', '8b39f522-ff02-490c-a000-cfc1830151e5']",22,,,,,,,,,,,,,,,,,Ghana,4885,00:18:22.238,Pass,
,,,,,,,,,,,,,,,,,3.845194,,,,,,,,,,,8f50cb2f-142f-433d-919d-69e9e02da847,699,,,"[52.4, 57.3]",3920387,18,,,,-2.1990113,,Left Foot,,,"[30.1, 26.6]",,Ground Pass,,37.94443,,,,Mohamed Salisu,30519.0,,,,,,1,From Throw In,Majeed Ashimeru,30693.0,Left Defensive Midfield,30,Ghana,4885,['5c24c305-c876-4e30-972d-9bd57d5b0124'],23,,,,,,,,,,,,,,,,,Ghana,4885,00:18:23.486,Pass,
,,,,,,,,,,,,,,,,,1.587791,,,,,,,,,,,228d082d-c847-4ee1-a9ea-c345b9f174da,702,,,"[29.3, 26.1]",3920387,18,,,,-0.7853982,,Left Foot,,,"[41.9, 13.5]",,Ground Pass,,17.819092,,,,Gideon Mensah,23615.0,,,,,,1,From Throw In,Mohamed Salisu,30519.0,Left Center Back,30,Ghana,4885,['c120bda0-42f4-47c5-84ac-6b77e0427372'],27,,,,,,,,,,,,,,,,,Ghana,4885,00:18:27.371,Pass,
,,,,,,,,,,,,,,,,,0.933521,,,,,,,,,,,891bb44e-e7c5-4461-8baa-d5c33d5a8ff8,705,,,"[49.8, 13.4]",3920387,18,,,,1.2895641,,Left Foot,,,"[52.4, 22.4]",,Ground Pass,,9.368031,,,,Iddrisu Baba Mohammed,24087.0,,,,,,1,From Throw In,Gideon Mensah,23615.0,Left Back,30,Ghana,4885,['01cd1cda-e2f5-40c8-a885-8f15be199c24'],31,,,,,,,,,,,,,,,,,Ghana,4885,00:18:31.946,Pass,
,,,,,,,,,,,,,,,,,1.143838,,,,,,,,,,,bcc1df7d-50a1-4d3c-a5e2-0bea4b83777b,708,,,"[52.4, 22.4]",3920387,18,,,,-1.9999748,,Right Foot,,,"[47.0, 10.6]",,Ground Pass,,12.976903,,,,Gideon Mensah,23615.0,,,,,,1,From Throw In,Iddrisu Baba Mohammed,24087.0,Right Defensive Midfield,30,Ghana,4885,['5f059012-fccc-4a1e-9b9a-fdbe5059fda0'],32,,,,,,,,,,,,,,,,,Ghana,4885,00:18:32.927,Pass,
,,,,,,,,,,,,,,,,,0.685113,,,,,,,,,,,d101de39-93c7-4780-8b0c-9e28c418aecd,711,,,"[47.0, 10.5]",3920387,18,,,,2.1808703,,Left Foot,,,"[39.8, 20.8]",,Ground Pass,,12.56702,,,,Mohamed Salisu,30519.0,,,,,,1,From Throw In,Gideon Mensah,23615.0,Left Back,30,Ghana,4885,['fa63a85f-8386-4169-b75d-85cfb2b6f382'],35,,,,,,,,,,,,,,,,,Ghana,4885,00:18:35.587,Pass,
,,,,,,,,,,,,,,,,,1.470325,,,,,,,,,,,bb5aea31-e5fb-415e-9e61-2c0eef78ab04,714,,,"[39.3, 24.2]",3920387,18,,,,1.5505289,,Left Foot,,,"[39.9, 53.8]",,Ground Pass,,29.606081,,,,Alexander Djiku,2989.0,,,,,,1,From Throw In,Mohamed Salisu,30519.0,Left Center Back,30,Ghana,4885,['84b2a197-4378-4f89-9b0d-3ee48f32997f'],37,,,,,,,,,,,,,,,,,Ghana,4885,00:18:37.841,Pass,
,,,,,,,,,,,,,,,,,1.16151,,,,,,,,,,,3886da32-7d2d-42e2-b744-e26e75ea261b,717,,,"[39.8, 54.1]",3920387,18,,,,1.3061827,,Right Foot,,,"[44.0, 69.6]",,Ground Pass,,16.058954,,,,Denis Odoi,12259.0,,,,,,1,From Throw In,Alexander Djiku,2989.0,Right Center Back,30,Ghana,4885,['f8fc972e-31c7-4030-859f-6357d3a8fe71'],40,,,,,,,,,,,,,,,,,Ghana,4885,00:18:40.397,Pass,
,,,,,,,,,,,,,,,,,1.600545,,,,,,,,,,,b3916eb3-954a-4256-bfc4-272932959e6d,721,,,"[45.1, 70.0]",3920387,18,,,,-2.3337264,,Right Foot,,,"[27.7, 51.8]",,Ground Pass,,25.179358,,,,Alexander Djiku,2989.0,,,,,,1,From Throw In,Denis Odoi,12259.0,Right Back,30,Ghana,4885,"['b3377811-2683-4dbb-bc8f-341fa003fe84', '1259429e-41bc-40a1-af35-c2036f49b6b5']",42,,,,,,,,,,,,,,,,,Ghana,4885,00:18:42.493,Pass,True
,,,,,,,,,,,,,,,,,2.008001,,,,,,,,,,,07ddb92a-6e44-42d4-b5e6-c9e40d08ac66,724,,,"[28.3, 52.2]",3920387,18,,,,-2.2505288,,Right Foot,,,"[16.5, 37.6]",,Ground Pass,,18.77232,,,,Richard Ofori Antwi,68757.0,,,,,,1,From Throw In,Alexander Djiku,2989.0,Right Center Back,30,Ghana,4885,['8c864d4d-24fd-4410-bc80-711e24ce11d1'],44,,,,,,,,,,,,,,,,,Ghana,4885,00:18:44.754,Pass,
