50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c0619a0a-69c4-49cc-bcc7-0db9dc4c2070,3975,,,,3922658,120,,,,,,,,,,,,,,,,,,,,,,,,,5,From Goal Kick,,,,227,South Africa,4976,['69a6fbb2-384c-42db-b793-67365d55bfff'],0,,,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,69a6fbb2-384c-42db-b793-67365d55bfff,3976,,,,3922658,120,,,,,,,,,,,,,,,,,,,,,,,,,5,From Goal Kick,,,,227,South Africa,4976,['c0619a0a-69c4-49cc-bcc7-0db9dc4c2070'],0,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.527252,,,,,,,,,,,,2d36a16e-0ace-4db7-8918-02cf7d975134,5,,,"[60.0, 40.0]",3922658,0,,,,,-2.8549352,,Right Foot,,,,"[33.2, 32.1]",Ground Pass,,27.940115,,,,Roberto Lopes,36271.0,,,,,Kick Off,1,From Kick Off,Jovane Eduardo Borges Cabral,10598.0,Center Forward,2,Cape Verde Islands,4924,['bfd2ab41-a652-472d-ae5f-69ae95cdbcc2'],0,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.725,Pass,
,,,,,,,,,,,,,,,1.186047,,,,,,,,,,,,dd7d4500-8ff2-41a9-8661-c275746b9da3,8,,,"[33.6, 32.1]",3922658,0,,,,,1.156969,,Right Foot,,,,"[40.1, 46.9]",Ground Pass,,16.164467,,,,Logan Costa,45557.0,,,,,,1,From Kick Off,Roberto Lopes,36271.0,Left Center Back,2,Cape Verde Islands,4924,['a2cd9385-7979-43c1-9e37-1b8175f63abf'],2,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:02.993,Pass,
,,,,,,,,,,,,,,,1.189202,,,,,,,,,,,,052fd2a1-c5eb-4ae6-8ecf-2dfe8dfca862,11,,,"[40.3, 47.1]",3922658,0,,,,,0.18374453,,Right Foot,,,,"[51.6, 49.2]",Ground Pass,,11.493477,,,,Kenny Rocha Santos,23301.0,,,,,,1,From Kick Off,Logan Costa,45557.0,Right Center Back,2,Cape Verde Islands,4924,['3cf23bd9-254d-4308-ac00-623d36c78021'],6,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:06.017,Pass,
,,,,,,,,,,,,,,,2.255917,,,,,,,,,,,,af089508-477f-4412-9a4d-75d2a2b61605,14,,,"[48.4, 46.6]",3922658,0,,,,,-1.8517224,,Right Foot,,,,"[42.6, 26.5]",Ground Pass,,20.920086,,,,Roberto Lopes,36271.0,,,,,,1,From Kick Off,Kenny Rocha Santos,23301.0,Right Center Midfield,2,Cape Verde Islands,4924,['7defa4c1-f798-4119-8017-f4157ee0ac10'],8,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:08.047,Pass,
,,,,,,,,,,,,,,,0.911862,,,,,,,,,,,,02007307-3325-4e2d-b3fa-34111ea3bc1c,18,,,"[54.6, 20.9]",3922658,0,,,,,0.1264405,,Right Foot,,,,"[66.4, 22.4]",Ground Pass,,11.894957,,,,Jamiro Gregory Monteiro Alvarenga,7753.0,,,,,,1,From Kick Off,Roberto Lopes,36271.0,Left Center Back,2,Cape Verde Islands,4924,"['a882ad25-5400-4f6a-88ed-3ee377b53fc4', '25ced6ce-288b-47e3-8e54-48ca9a82c99a']",14,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:14.304,Pass,True
,,,,,,,,,,,,,,,3.101078,,,,,,,,,,,,8683406a-7353-4b2f-a8a5-df4f1c655e57,22,,,"[65.9, 22.0]",3922658,0,,,,,2.25817,,Right Foot,,,,"[30.6, 65.0]",High Pass,,55.633533,,,,Logan Costa,45557.0,,True,,,,1,From Kick Off,Jamiro Gregory Monteiro Alvarenga,7753.0,Left Center Midfield,2,Cape Verde Islands,4924,"['0c7366f2-0d67-4ef6-a740-6d7f44f4a330', 'b1bf5d9b-0ab9-4ca4-8904-da56d0257a00']",15,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:15.252,Pass,True
,,,,,,,,,,,,,,,1.289411,,,,,,,,,,,,67f59d88-8820-475b-a6fa-22ba4d48c6b6,25,,,"[31.1, 64.7]",3922658,0,,,,,0.72067386,,Right Foot,,,,"[42.6, 74.8]",Ground Pass,,15.305554,,,,Steven Moreira,7197.0,,,,,,1,From Kick Off,Logan Costa,45557.0,Right Center Back,2,Cape Verde Islands,4924,['6a1f9410-a959-49ce-911a-d72b267aa3ac'],18,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:18.691,Pass,
,,,,,,,,,,,,,,,1.427456,,,,,,,,,,,,4e51cd94-7c9b-4e67-b16d-087708364f1c,29,,,"[50.3, 74.4]",3922658,0,,,,,-0.014491739,,Right Foot,,,,"[84.8, 73.9]",Ground Pass,,34.503624,,Incomplete,,Ryan Isaac Mendes da Graça,40485.0,,,,,,1,From Kick Off,Steven Moreira,7197.0,Right Back,2,Cape Verde Islands,4924,"['0a903bbd-c0ab-4b46-8a4a-0084e0841116', '0f1735c5-8804-4f1f-a907-03c83643e9e0', 'df8666e0-72e5-486b-b2d9-39e1a27b418e']",22,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:22.267,Pass,True
,,,,,,,,,,,,,,,2.302919,,,,,,,,,,,,742cc3c5-caa1-461b-8531-72b4bd9cacd2,33,,,"[32.3, 5.1]",3922658,0,,,,,0.39126346,,Left Foot,,,,"[70.6, 20.9]",High Pass,,41.431026,,Incomplete,,Evidence Makgopa,65853.0,,,,,,1,From Kick Off,Aubrey Maphosa Modiba,65733.0,Left Back,2,Cape Verde Islands,4924,"['45512edf-5654-4bd3-801e-86976f464883', '58fa498d-ad93-4971-a0db-a56165ce33f3']",25,,,,,,,,,,,,,,,,,,,South Africa,4976,00:00:25.778,Pass,
,,,,,,,,,,,,,,,1.54352,,,,,,,,,,,,d4f9134e-703f-499b-98b2-45f399ace278,38,,,"[49.9, 57.5]",3922658,0,,,,,-0.9975892,,Right Foot,,,,"[62.1, 38.6]",Ground Pass,,22.495556,,,,Kevin Lenini Gonçalves Pereira de Pina,132800.0,,,,,,1,From Kick Off,Logan Costa,45557.0,Right Center Back,2,Cape Verde Islands,4924,"['00bb0f5d-ca60-4639-8ce0-ddfdf30b1d6c', '27fc998a-bc71-4fc1-9bba-82e3d00d5884']",29,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:29.503,Pass,True
,,,,,,,,,,,,,,,1.949554,,,,,,,,,,,,f5246472-70ab-4f79-99fb-8f7f67fad90e,41,,,"[61.9, 34.8]",3922658,0,,,,,-2.0240004,,Right Foot,,,,"[54.4, 19.4]",Ground Pass,,17.129215,,,,João Paulo Moreira Fernandes,133038.0,,,,,,1,From Kick Off,Kevin Lenini Gonçalves Pereira de Pina,132800.0,Center Defensive Midfield,2,Cape Verde Islands,4924,['69baa41d-51d0-492c-b556-7371ed2e8108'],31,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:31.613,Pass,
,,,,,,,,,,,,,,,1.395887,,,,,,,,,,,,793971cd-ad28-49c2-8c4d-a5908d544369,44,,,"[51.6, 19.4]",3922658,0,,,,,2.2926962,,Left Foot,,,,"[43.5, 28.6]",Ground Pass,,12.25765,,,,Roberto Lopes,36271.0,,,,,,1,From Kick Off,João Paulo Moreira Fernandes,133038.0,Left Back,2,Cape Verde Islands,4924,['6b01b05a-1153-415b-91ca-571103872e24'],35,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:35.046,Pass,
,,,,,,,,,,,,,,,1.014027,,,,,,,,,,,,d10da0c5-5ab4-44e7-b930-aaf804332af1,47,,,"[43.5, 27.7]",3922658,0,,,,,-1.340892,,Right Foot,,,,"[49.0, 4.2]",Ground Pass,,24.135036,,,,João Paulo Moreira Fernandes,133038.0,,,,,,1,From Kick Off,Roberto Lopes,36271.0,Left Center Back,2,Cape Verde Islands,4924,['886b13ce-0d21-4da7-91f9-d3bbefd11ab4'],38,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:38.049,Pass,
,,,,,,,,,,,,,,,0.835958,,,,,,,,,,,,33620d22-2f8b-4b08-bcee-255f413cfc5d,50,,,"[49.5, 6.8]",3922658,0,,,,,1.2238795,,Left Foot,,,,"[54.2, 19.8]",Ground Pass,,13.82353,,,,Jamiro Gregory Monteiro Alvarenga,7753.0,,,,,,1,From Kick Off,João Paulo Moreira Fernandes,133038.0,Left Back,2,Cape Verde Islands,4924,['4dbbfdda-fa85-4f39-95d2-80ce870c20a5'],40,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:40.218,Pass,
,,,,,,,,,,,,,,,1.247305,,,,,,,,,,,,1240726e-da3e-48bd-ba0c-bfded057a545,54,,,"[50.3, 19.4]",3922658,0,,,,,2.5183933,,Right Foot,,,,"[34.3, 30.9]",Ground Pass,,19.70406,,,,Roberto Lopes,36271.0,,,,,,1,From Kick Off,Jamiro Gregory Monteiro Alvarenga,7753.0,Left Center Midfield,2,Cape Verde Islands,4924,"['359d8b83-c8d9-4b1e-8167-55ed79e95a0e', 'ac42a14a-fc0b-4f02-a464-80d4557f9571']",43,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:43.064,Pass,True
,,,,,,,,,,,,,,,1.451568,,,,,,,,,,,,c8177bb7-dfbe-4273-8699-e7c0a7fa130a,57,,,"[40.9, 28.8]",3922658,0,,,,,0.39922076,,Left Foot,,,,"[53.7, 34.2]",Ground Pass,,13.892444,,,,Jamiro Gregory Monteiro Alvarenga,7753.0,,,,,,1,From Kick Off,Roberto Lopes,36271.0,Left Center Back,2,Cape Verde Islands,4924,['c99f7c05-5829-46c2-8561-09f2cfd64c87'],49,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:49.254,Pass,
,,,,,,,,,,,,,,,1.316391,,,,,,,,,,,,3f6e8122-679a-43e6-b12e-b21fa12aa7c4,59,,,"[53.7, 34.2]",3922658,0,,,,,-2.1084712,,Left Foot,,,,"[44.1, 18.1]",Ground Pass,,18.744865,,,,Roberto Lopes,36271.0,,,,,,1,From Kick Off,Jamiro Gregory Monteiro Alvarenga,7753.0,Left Center Midfield,2,Cape Verde Islands,4924,['80a06713-4b09-4310-9322-67bde57a5128'],50,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:50.705,Pass,
,,,,,,,,,,,,,,,4.799957,,,,,,,,,,,,1257537e-4239-4e2c-9503-c775cafcecf4,62,,,"[48.6, 19.4]",3922658,0,,,,,-0.20552546,,Right Foot,,,,"[110.0, 6.6]",High Pass,,62.720013,,Incomplete,,Jovane Eduardo Borges Cabral,10598.0,,,,,,1,From Kick Off,Roberto Lopes,36271.0,Left Center Back,2,Cape Verde Islands,4924,"['d454ae4e-a894-4a7e-9e38-05b42f2efd55', '03e90655-6f0e-4a6a-b07c-915c63898d04']",53,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:53.875,Pass,
,,,,,,,,,,,,,,,2.006609,,,,,,,,,,,,d7302614-f7c3-429c-b6b6-ac5d48bfe005,66,,,"[96.3, 0.1]",3922658,1,,True,,,2.9364,,,,,,"[76.6, 4.2]",Low Pass,,20.122128,,,,Jamiro Gregory Monteiro Alvarenga,7753.0,,,,,Throw-in,1,From Throw In,João Paulo Moreira Fernandes,133038.0,Left Back,3,Cape Verde Islands,4924,['9f59d719-66f2-439b-866f-a1ef95129d14'],4,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:01:04.642,Pass,
,,,,,,,,,,,,,,,0.852852,,,,,,,,,,,,44c3c6c7-8d6e-41f5-a028-ffb328da4f33,68,,,"[76.6, 4.2]",3922658,1,,,,,-0.2730087,,Right Foot,,,,"[84.1, 2.1]",Ground Pass,,7.788453,,,,João Paulo Moreira Fernandes,133038.0,,,,,,1,From Throw In,Jamiro Gregory Monteiro Alvarenga,7753.0,Left Center Midfield,3,Cape Verde Islands,4924,['a508c375-65ff-497c-95b3-eab0dc0fd345'],7,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:01:07.860,Pass,
,,,,,,,,,,,,,,,1.30306,,,,,,,,,,,,d9851c19-4e68-4e7c-8572-9549ac3c1888,71,,,"[84.3, 2.1]",3922658,1,,,,,2.9407957,,Left Foot,,,,"[73.0, 4.4]",Ground Pass,,11.531695,,,,Jamiro Gregory Monteiro Alvarenga,7753.0,,,,,,1,From Throw In,João Paulo Moreira Fernandes,133038.0,Left Back,3,Cape Verde Islands,4924,['b9ff75f6-21e5-4708-bde3-a9d63e12101d'],9,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:01:09.756,Pass,
,,,,,,,,,,,,,,,1.229403,,,,,,,,,,,,e0acc55e-d821-4d1e-b033-318a548ff5db,75,,,"[68.5, 3.8]",3922658,1,,,,,1.5707964,f1a6c734-ae17-446c-bd6b-1f0cbdeb3676,Right Foot,,,,"[68.5, 25.8]",Ground Pass,,22.0,,,,Kevin Lenini Gonçalves Pereira de Pina,132800.0,True,,,,,1,From Throw In,Jamiro Gregory Monteiro Alvarenga,7753.0,Left Center Midfield,3,Cape Verde Islands,4924,['8b5965fa-d263-41f0-a44e-c2512d2dfd57'],11,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:01:11.857,Pass,
