bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,1d5b2bc7-7f09-4fc4-b8a5-78a80c3349f5,1610,,"[79.1, 71.5]",3922321,45,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Deivi Miguel Vieira,389328.0,Right Wing,84,Angola,4901,['ec9aa157-d18a-4d00-a355-58379fd74a4a'],18,,,,,,,,,,,,,,,,,Angola,4901,00:00:18.652,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfdf025e-a736-42c4-b83d-6a6aa928b653,1612,,"[42.5, 16.3]",3922321,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alex Iwobi,3647.0,Left Defensive Midfield,85,Nigeria,775,['97352b9c-e2d5-49bd-ba9b-a334cf4373b8'],20,,,,,,,,,,,,,,,,,Nigeria,775,00:00:20.172,Ball Receipt*,
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,bad74cc6-5635-45fc-9c92-b8bb73b7925b,1615,,"[43.9, 33.9]",3922321,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Frank Onyeka,24467.0,Right Defensive Midfield,85,Nigeria,775,['ba33338c-ea11-4f25-870e-56badd8c8e0b'],20,,,,,,,,,,,,,,,,,Nigeria,775,00:00:20.652,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2603f90d-f440-48ce-90fc-deb3c43d8fd6,1619,,"[31.4, 41.8]",3922321,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,William Troost-Ekong,5455.0,Center Back,86,Nigeria,775,['b0aa8f46-d2e5-461e-8ff5-58c3dd9f5deb'],41,,,,,,,,,,,,,,,,,Nigeria,775,00:00:41.026,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,75787f78-c003-41e9-b1fc-e30f230b8f00,1621,,"[42.7, 40.4]",3922321,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Frank Onyeka,24467.0,Right Defensive Midfield,86,Nigeria,775,['f05807a7-1c57-4942-9b4e-bcbd6f0b592f'],42,,,,,,,,,,,,,,,,,Nigeria,775,00:00:42.066,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,f452278a-e662-4999-a141-8903cf5d076b,1625,,"[33.3, 21.9]",3922321,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Calvin Bassey Ughelumba,43779.0,Left Center Back,86,Nigeria,775,['95d42496-5654-4a2d-ae7c-a163802c5a6e'],44,,,,,,,,,,,,,,,,,Nigeria,775,00:00:44.866,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,74397ddd-0ba0-4af4-bf46-2b0d45baddc2,1629,,"[59.1, 23.3]",3922321,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Ademola Lookman,3447.0,Right Attacking Midfield,86,Nigeria,775,['c3bdcf24-c421-4ce4-88b1-98c6c2f9422f'],47,,,,,,,,,,,,,,,,,Nigeria,775,00:00:47.994,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,74c28177-fd25-4425-a159-dab9a7f36871,1635,,"[73.3, 67.2]",3922321,46,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Temitayo Olufisayo Olaoluwa Aina,11492.0,Right Wing Back,87,Nigeria,775,['3c4ed31f-95b9-4813-9f0f-aae90c7559a2'],2,,,,,,,,,,,,,,,,,Nigeria,775,00:01:02.353,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,929af718-6d00-488a-949c-1c83be388b05,1638,,"[77.6, 58.9]",3922321,46,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Moses Daddy-Ajala Simon,18163.0,Left Attacking Midfield,87,Nigeria,775,['0d1f5291-bb8d-4698-8c63-34936d444576'],3,,,,,,,,,,,,,,,,,Nigeria,775,00:01:03.353,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2b951927-69eb-41f8-b3e0-5b259ad1a144,1644,,"[97.2, 63.7]",3922321,46,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Oluwasemilogo Adesewo Ibidapo Ajayi,3923.0,Right Center Back,88,Nigeria,775,['a8c5c6c0-aae5-402d-86b2-9cc26b418efc'],17,,,,,,,,,,,,,,,,,Nigeria,775,00:01:17.000,Ball Receipt*,
