50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.279684,,,,,,,,,,,,96550111-a489-435b-9fc1-16dbd10e8d8d,17,,"[27.0, 19.2]",3922237,0,,,,-0.8234421,,Right Foot,,,"[40.9, 4.2]",,Ground Pass,,20.450184,,,,Augusto de Jesus Corte Real Carneiro,135851.0,,,,,,1,From Kick Off,Jonathan Buatu Mananga,10573.0,Left Center Back,2,Angola,4901,['d76f151c-7b90-4507-b147-56840c5d895d'],12,,,,,,,,,,,,,,,,,,Angola,4901,00:00:12.574,Pass,
,,,,,,,,,,,,,,,,,0.93058,,,,,,,,,,,,f4c2f1f6-82ca-4047-940f-97b58efb07c3,20,,"[42.0, 4.4]",3922237,0,,,,1.6411927,,Left Foot,,,"[40.9, 20.0]",,Ground Pass,,15.638734,,,,Manuel Luís da Silva Cafumana,31016.0,,,,,,1,From Kick Off,Augusto de Jesus Corte Real Carneiro,135851.0,Left Back,2,Angola,4901,['f00dce03-7c9b-4c5c-b879-5c573deff7aa'],15,,,,,,,,,,,,,,,,,,Angola,4901,00:00:15.143,Pass,
,,,,,,,,,,,,,,,,,0.885883,,,,,,,,,,,,dd4e0601-2a45-435f-80fb-8d23a32660cb,23,,"[46.5, 12.8]",3922237,0,,,,-1.3511822,,Right Foot,,,"[49.0, 1.6]",,Ground Pass,,11.475626,,,,Augusto de Jesus Corte Real Carneiro,135851.0,,,,,,1,From Kick Off,Manuel Luís da Silva Cafumana,31016.0,Center Defensive Midfield,2,Angola,4901,['6171f9a7-4b10-47bd-a562-f13b1691da1c'],18,,,,,,,,,,,,,,,,,,Angola,4901,00:00:18.484,Pass,
,,,,,,,,,,,,,,,,,0.799999,,,,,,,,,,,,e5da1937-1c2a-480f-9a77-3a685875da59,27,,"[49.8, 4.9]",3922237,0,,,,2.9746225,,Left Foot,,,"[40.9, 6.4]",,Ground Pass,,9.025519,,,,Manuel Luís da Silva Cafumana,31016.0,,,,,,1,From Kick Off,Augusto de Jesus Corte Real Carneiro,135851.0,Left Back,2,Angola,4901,"['03659d36-b7f6-46a7-a7b2-82633cabe50f', 'e34dbd85-f42e-4842-88d6-fa5beaa5d393']",21,,,,,,,,,,,,,,,,,,Angola,4901,00:00:21.289,Pass,True
,,,,,,,,,,,,,,,,,2.054961,,,,,,,,,,,,1562fa72-c849-42f2-9f77-2c11ce43ad08,30,,"[36.7, 12.8]",3922237,0,,,,1.7604657,,Right Foot,,,"[30.0, 47.7]",,Ground Pass,,35.537304,,,,Kialonda Gaspar,103208.0,,,,,,1,From Kick Off,Manuel Luís da Silva Cafumana,31016.0,Center Defensive Midfield,2,Angola,4901,['d40d8774-1786-45e6-8115-90930074a036'],24,,,,,,,,,,,,,,,,,,Angola,4901,00:00:24.788,Pass,
,,,,,,,,,,,,,,,,,1.645197,,,,,,,,,,,,aa25de7d-b594-4fcc-9ef6-f020b9231ab5,33,,"[35.9, 52.8]",3922237,0,,,,-1.5639704,,Right Foot,,,"[36.1, 23.5]",,Ground Pass,,29.300682,,,,Jonathan Buatu Mananga,10573.0,,,,,,1,From Kick Off,Kialonda Gaspar,103208.0,Right Center Back,2,Angola,4901,['5e7589fa-06fd-4786-9cae-f66c4548a907'],31,,,,,,,,,,,,,,,,,,Angola,4901,00:00:31.448,Pass,
,,,,,,,,,,,,,,,,,1.285254,,,,,,,,,,,,3b2653c1-de5e-4eea-985c-a1d82cae2e7b,37,,"[38.6, 14.1]",3922237,0,,,,-0.6831914,,Right Foot,,,"[51.5, 3.6]",,Ground Pass,,16.633099,,,,Augusto de Jesus Corte Real Carneiro,135851.0,,,,,,1,From Kick Off,Jonathan Buatu Mananga,10573.0,Left Center Back,2,Angola,4901,"['fe758642-70ae-4a37-9a12-6939d766c759', '5478b6df-5ec1-49b3-88d2-be0a56cd89f9']",35,,,,,,,,,,,,,,,,,,Angola,4901,00:00:35.067,Pass,True
,,,,,,,,,,,,,,,,,1.955787,,,,,,,,,,,,108d6525-db0e-45a1-806c-383329c3e696,41,,"[54.8, 2.2]",3922237,0,,,,0.08314123,,Left Foot,,,"[87.2, 4.9]",,Low Pass,,32.512306,,Incomplete,,Valdomiro Tualungo Paulo Lameiras,30626.0,,,,,,1,From Kick Off,Augusto de Jesus Corte Real Carneiro,135851.0,Left Back,2,Angola,4901,"['52bc031c-8cec-4678-8585-d14189ca67e5', '8c30151a-ecb9-4aad-9b22-f5673af68e2f', '788037d6-fdc0-4325-9a81-735ea60dcab8']",37,,,,,,,,,,,,,,,,,,Angola,4901,00:00:37.829,Pass,True
,,,,,,,,,,,,,,,,,0.824304,,,,,,,,,,,,52bc031c-8cec-4678-8585-d14189ca67e5,44,,"[32.9, 75.2]",3922237,0,,,,-0.6166481,,Right Foot,,,"[40.8, 69.6]",,Ground Pass,,9.683491,,,,Aprocious Petrus,136406.0,,,,,Recovery,1,From Kick Off,Ivan Kamberipa,103799.0,Right Back,2,Angola,4901,"['257e2fde-c849-491e-9e4d-797200198c28', '108d6525-db0e-45a1-806c-383329c3e696', '20e5b7ef-552b-4f76-a524-584fd6fa5517']",39,,,,,,,,,,,,,,,,,,Namibia,4980,00:00:39.784,Pass,True
,,,,,,,,,,,,,,,,,0.993567,,,,,,,,,,,,8a114061-1c1a-4f17-b604-052724487909,48,,"[83.7, 8.9]",3922237,0,,,,1.3811827,,Left Foot,,,"[85.6, 18.8]",,Low Pass,,10.080674,,,,Cristóvão Paciência Mabululo,128881.0,,,,,Recovery,1,From Kick Off,Valdomiro Tualungo Paulo Lameiras,30626.0,Left Center Midfield,2,Angola,4901,['6a26ea79-7a0b-4c49-9e8a-a2cd2bc5178f'],41,,,,,,,,,,,,,,,,,,Angola,4901,00:00:41.523,Pass,
,,,,,,,,,,,,,,,,,0.724098,,,,,,,,,,,,20768cdd-57c6-455f-8701-a7272954d560,50,,"[85.7, 19.2]",3922237,0,,,,3.0648208,,Left Foot,,,"[83.1, 19.4]",,Low Pass,,2.607681,,,,Jacinto Muondo Dala,10577.0,,,,,,1,From Kick Off,Cristóvão Paciência Mabululo,128881.0,Center Forward,2,Angola,4901,['98cb7525-2df5-4bce-a6d3-d7d94cd814a9'],42,,,,,,,,,,,,,,,,,,Angola,4901,00:00:42.517,Pass,
,,,,,,,,,,,,,,,,,1.285653,,,,,,,,,,,,484db708-a211-49b2-a04b-7de42211f76d,53,,"[85.0, 19.5]",3922237,0,,,,1.9784279,,Right Foot,,,"[81.2, 28.3]",,Ground Pass,,9.585405,,,,Alfredo Kulembe Ribeiro,10844.0,,,,,,1,From Kick Off,Jacinto Muondo Dala,10577.0,Left Wing,2,Angola,4901,['023c64e6-f256-4768-b1b6-e52f24d145db'],44,,,,,,,,,,,,,,,,,,Angola,4901,00:00:44.460,Pass,
,,,,,,,,,,,,,,,,,1.304989,,,,,,,,,,,,fac622fb-fa6b-4d0a-be0d-1acd94b7256e,57,,"[81.4, 29.9]",3922237,0,,,,1.494291,,Right Foot,,,"[83.6, 58.6]",,Ground Pass,,28.784197,,,,Eddie Marcos Melo Afonso,145058.0,,,,,,1,From Kick Off,Alfredo Kulembe Ribeiro,10844.0,Right Center Midfield,2,Angola,4901,"['e262d0d7-07c8-49fa-9623-99d7239a8e59', '6a421ffe-8502-46f4-a908-3ed9e3c70477']",46,,,,,,,,,,,,,,,,,,Angola,4901,00:00:46.623,Pass,True
,,,,,,,,,,,,,,,,,1.250481,,,,,,,,,,,,df4d948b-20ec-49d9-a71e-ec5f0a987a3a,60,,"[82.6, 58.5]",3922237,0,,,,0.7819852,,Right Foot,,,"[97.3, 73.1]",,Ground Pass,,20.71835,,,,Deivi Miguel Vieira,389328.0,,,,,,1,From Kick Off,Eddie Marcos Melo Afonso,145058.0,Right Back,2,Angola,4901,['98be153a-307a-401c-9541-5fe0d7b2c911'],48,,,,,,,,,,,,,,,,,,Angola,4901,00:00:48.751,Pass,
,,,,,,,,,,,,,,,,,1.260106,,,,,,,,,,,,a7848c61-70a9-4b33-8f3e-19d4044e24e4,67,,"[100.7, 65.8]",3922237,0,,,,-1.2545859,,Right Foot,True,,"[107.8, 44.1]",,High Pass,,22.831995,,Incomplete,,Cristóvão Paciência Mabululo,128881.0,,,,,,1,From Kick Off,Deivi Miguel Vieira,389328.0,Right Wing,2,Angola,4901,"['1c406ddb-6d55-4e12-a4e3-2beb789d7a6d', '225ba2ee-7884-4053-b446-888c23b3daef']",53,,,,,,,,,,,,,,,,,,Angola,4901,00:00:53.986,Pass,
,,,,,,,,,,,,,,,,,1.592816,,,,,,,,,,,,9098309c-e8b9-4e46-8ac6-477b42f28a89,75,,"[42.0, 34.1]",3922237,1,True,,,2.7475338,,Left Foot,,,"[12.9, 46.2]",,Ground Pass,,31.515392,,,,Lloyd Junior Kazapua,125324.0,,,,,Free Kick,1,From Free Kick,Ngero Kaanjuka Katua,389316.0,Left Defensive Midfield,4,Namibia,4980,['9a7b4467-5369-4110-9aa7-9fbff3d234d2'],12,,,,,,,,,,,,,,,,,,Namibia,4980,00:01:12.473,Pass,
,,,,,,,,,,,,,,,,,1.241679,,,,,,,,,,,,5795cff4-a8c1-4a07-8008-15f34351d448,77,,"[13.6, 46.2]",3922237,1,,,,-1.5107592,,Right Foot,,,"[14.7, 27.9]",,Ground Pass,,18.33303,,,,Lubeni Haukongo,135004.0,,,,,,1,From Free Kick,Lloyd Junior Kazapua,125324.0,Goalkeeper,4,Namibia,4980,['4a09dd82-c4d8-4772-9b6e-56cdfe3ab740'],14,,,,,,,,,,,,,,,,,,Namibia,4980,00:01:14.475,Pass,
,,,,,,,,,,,,,,,,,2.743682,,,,,,,,,,,,6d70f675-2192-447e-bbbd-8c8d93cad29a,81,,"[33.3, 25.6]",3922237,1,,,,-0.06047662,,Left Foot,,,"[87.8, 22.3]",,High Pass,,54.599815,,Incomplete,,Peter Shalulile,65723.0,,,,,,1,From Free Kick,Lubeni Haukongo,135004.0,Left Center Back,4,Namibia,4980,"['b7685bd5-f4b7-4099-a3fc-f14355ac8c4c', '699004b6-a6ec-44f8-9595-ba7503411ca4', 'ba857679-038b-47a0-9951-d696b531c54e']",22,,,,,,,,,,,,,,,,,,Namibia,4980,00:01:22.589,Pass,True
,,,,,,,,,,,,,,,,,1.377078,,,,,,,,,,,,699004b6-a6ec-44f8-9595-ba7503411ca4,84,,"[32.3, 57.8]",3922237,1,,,True,0.2965458,,,,,"[39.5, 60.0]",,Low Pass,,7.528612,,Unknown,,Valdomiro Tualungo Paulo Lameiras,30626.0,,,,,Recovery,1,From Free Kick,Kialonda Gaspar,103208.0,Right Center Back,4,Namibia,4980,"['6d70f675-2192-447e-bbbd-8c8d93cad29a', '94167dfd-5ad7-4132-a197-9085e6bc7489', '14c0bcc0-7579-4e2c-aa4e-2ea27bb91b66']",25,,,,,,,,,,,,,,,,,,Angola,4901,00:01:25.333,Pass,True
,,,,,,,,,,,,,,,,,1.525122,,,,,,,,,,,,35a11a0d-dac8-485d-93fd-a63c1b71bf54,89,,"[42.5, 61.4]",3922237,1,,,,3.1415927,,Right Foot,,,"[36.2, 61.4]",,Ground Pass,,6.3,,,,Kialonda Gaspar,103208.0,,,,,Free Kick,1,From Free Kick,Eddie Marcos Melo Afonso,145058.0,Right Back,5,Angola,4901,['08294f44-5ab2-4eb3-88dc-17066898b7b6'],40,,,,,,,,,,,,,,,,,,Angola,4901,00:01:40.501,Pass,
,,,,,,,,,,,,,,,,,1.327575,,,,,,,,,,,,c94df6ee-3860-43a6-9862-6aaabe613351,92,,"[36.8, 59.2]",3922237,1,,,,-1.7489934,,Right Foot,,,"[30.1, 22.0]",,Ground Pass,,37.798546,,,,Jonathan Buatu Mananga,10573.0,,,,,,1,From Free Kick,Kialonda Gaspar,103208.0,Right Center Back,5,Angola,4901,['960c52f1-9435-4580-8d05-474adefcf5e8'],42,,,,,,,,,,,,,,,,,,Angola,4901,00:01:42.853,Pass,
,,,,,,,,,,,,,,,,,1.271748,,,,,,,,,,,,6c245830-1886-4e00-9dcd-3ac26097dba5,95,,"[30.9, 19.2]",3922237,1,,,,-0.9723774,,Right Foot,,,"[41.4, 3.8]",,Ground Pass,,18.638937,,,,Augusto de Jesus Corte Real Carneiro,135851.0,,,,,,1,From Free Kick,Jonathan Buatu Mananga,10573.0,Left Center Back,5,Angola,4901,['4b85e0d1-4b87-42a1-b73e-19772b9008f8'],45,,,,,,,,,,,,,,,,,,Angola,4901,00:01:45.865,Pass,
,,,,,,,,,,,,,,,,,0.963354,,,,,,,,,,,,2a1aca79-5d80-41b7-bf5f-488323fdd921,98,,"[42.8, 4.4]",3922237,1,,,,-0.106433876,,Left Foot,,,"[66.2, 1.9]",,Ground Pass,,23.533169,,,,Jacinto Muondo Dala,10577.0,,,,,,1,From Free Kick,Augusto de Jesus Corte Real Carneiro,135851.0,Left Back,5,Angola,4901,['b3945f66-cf1e-44e3-92c9-259941e81653'],48,,,,,,,,,,,,,,,,,,Angola,4901,00:01:48.546,Pass,
,,,,,,,,,,,,,,,,,0.773549,,,,,,,,,,,,48bd98c3-684b-445a-bf1d-0c4d5a1a39aa,105,,"[111.8, 22.2]",3922237,1,,,,1.2120256,,Left Foot,True,,"[117.2, 36.6]",,Ground Pass,,15.379207,,Incomplete,,Deivi Miguel Vieira,389328.0,,,,,,1,From Free Kick,Jacinto Muondo Dala,10577.0,Left Wing,5,Angola,4901,"['16935452-f2f0-4e05-9a0c-f269e82d772c', 'ddb5d452-9b12-4cbb-a14d-f89cfa3c9538']",56,,,,,,,,,,,,,,,,,,Angola,4901,00:01:56.474,Pass,
,,,,,,,,,,,,,,,,,0.721408,,,,,,,,,,,,432b1740-271a-4f07-b122-0fa07b5587cf,110,,"[2.3, 46.8]",3922237,1,,,,1.1485451,,Left Foot,,,"[5.4, 53.7]",,Ground Pass,,7.56439,,,,Kennedy Amutenya,264381.0,,,,,,1,From Free Kick,Lubeni Haukongo,135004.0,Left Center Back,5,Angola,4901,"['79f98823-7891-4310-bff4-3c9f9b8cb9c3', 'b725a8b3-7006-4405-a01b-086b66b7fd96']",58,,,,,,,,,,,,,,,,,,Namibia,4980,00:01:58.275,Pass,True
,,,,,,,,,,,,,,,,,0.768134,,,,,,,,,,,,e40cbbe4-e672-46a2-be22-516c4faed7d5,117,,"[97.6, 17.2]",3922237,2,,,,-1.812868,,Right Foot,,,"[95.6, 9.1]",,Ground Pass,,8.343261,,,,Augusto de Jesus Corte Real Carneiro,135851.0,,,,,,1,From Free Kick,Jacinto Muondo Dala,10577.0,Left Wing,5,Angola,4901,['639b44e5-2a2d-4cb1-8532-744d57dd71d7'],3,,,,,,,,,,,,,,,,,,Angola,4901,00:02:03.466,Pass,
,,,,,,,,,,,,,,,,,0.450475,,,,,,,,,,,,96f2782a-fcc7-4d5a-9a87-409f8752cb38,121,,"[113.6, 10.2]",3922237,2,,,,1.6321229,,Left Foot,,,"[112.9, 21.6]",,Low Pass,,11.421471,,Incomplete,,Deivi Miguel Vieira,389328.0,,,,,,1,From Free Kick,Augusto de Jesus Corte Real Carneiro,135851.0,Left Back,5,Angola,4901,"['4c06b8b1-4299-4a50-9c49-d161718decca', 'aee86fbe-34f1-4b1f-9989-f6a05b8cc70f']",7,,,,,,,,,,,,,,,,,,Angola,4901,00:02:07.025,Pass,
,,,,,,,,,,,,,,,,,2.043106,,,,,,,,,,,,64cb6757-1a06-4c1a-afbe-af6503f5c478,127,,"[8.4, 54.8]",3922237,2,,,,0.49656466,,Right Foot,,,"[31.1, 67.1]",,High Pass,,25.81821,,,,Muzeu Bethuel,389319.0,,,,,,1,Regular Play,Kennedy Amutenya,264381.0,Right Center Back,6,Namibia,4980,"['b67cf0f6-5659-4d54-ae9a-73ece5b5b046', '290d736b-e092-46e3-ae16-49c02bc719f2']",8,,,,,,,,,,,,,,,,,,Namibia,4980,00:02:08.764,Pass,True
,,,,,,,,,,,,,,,,,2.691184,,,,,,,,,,,,07742431-ee82-43a1-9ddd-cd1061463a83,135,,"[56.1, 39.1]",3922237,2,,,,-0.6202495,,Right Foot,,,"[83.4, 19.6]",,Ground Pass,,33.54907,,,,Deon Hotto Kavendji,64612.0,,,,,,1,Regular Play,Muzeu Bethuel,389319.0,Right Wing,6,Namibia,4980,['889bdda3-59ab-4362-b689-9c614d3bac28'],15,,,,,,,,,,,,,,,,,,Namibia,4980,00:02:15.728,Pass,
,,,,,,,,,,,,,,,,,1.256599,,,,,,,,,,,,bb960b67-c4cf-4aab-80a1-f373a95b72ec,139,,"[109.0, 12.3]",3922237,2,,,,1.308337,,Left Foot,True,,"[116.2, 39.1]",,High Pass,,27.750315,,Incomplete,,Peter Shalulile,65723.0,,,,,,1,Regular Play,Deon Hotto Kavendji,64612.0,Left Wing,6,Namibia,4980,"['1b7eed08-171f-48bc-9c41-36e9d9a53619', '836436d7-e009-43d7-8352-b1e47b2210f6', 'ddda08ef-b741-46e4-8526-3778ef3a15aa']",22,,,,,,,,,,,,,,,,,,Namibia,4980,00:02:22.357,Pass,True
,,,,,,,,,,,,,,,,,1.272237,,,,,,,,,,,,d6fb252a-0ccf-4618-ad29-0f69b664ef25,142,,"[8.9, 42.2]",3922237,2,True,,,-0.9738853,,Keeper Arm,,,"[22.9, 21.6]",,Ground Pass,,24.907026,,,,Jonathan Buatu Mananga,10573.0,,,,,,1,Regular Play,Adilson Cipriano da Cruz,135849.0,Goalkeeper,7,Angola,4901,['fe8051fc-4822-46ce-929a-f8c1531f50ee'],46,,,,,,,,,,,,,,,,,,Angola,4901,00:02:46.801,Pass,
