50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.836341,,,,,,,,,,,3d2ac519-c4e1-4dad-b8af-1dee83206084,17,,,"[42.3, 69.8]",3920394,0,,,,,-2.2378688,,Right Foot,,,"[36.0, 61.8]",,Ground Pass,,10.182829,,,,Nayef Aguerd,12149.0,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Back,2,Morocco,788,['dbcaf2f1-254a-4ffc-967c-2e798109717c'],12,,,,,,,,,,,,,,,,Morocco,788,00:00:12.260,Pass,
,,,,,,,,,,,,,,,,,1.789351,,,,,,,,,,,6f538790-c083-439d-9fc2-1a0cf2306d9f,20,,,"[36.7, 59.3]",3920394,0,,,,,-1.608579,,Right Foot,,,"[35.6, 30.2]",,Ground Pass,,29.120783,,,,Romain Saïss,5219.0,,,,,1,From Kick Off,Nayef Aguerd,12149.0,Right Center Back,2,Morocco,788,['a5c1cc1b-c4d0-4a0c-a058-e4fb39a9bdd2'],15,,,,,,,,,,,,,,,,Morocco,788,00:00:15.623,Pass,
,,,,,,,,,,,,,,,,,1.716473,,,,,,,,,,,530394f5-9a86-41bb-95b6-ace0bc96552d,23,,,"[43.6, 28.3]",3920394,0,,,,,1.1362884,,Left Foot,,,"[52.0, 46.4]",,Ground Pass,,19.954197,,,,Sofyan Amrabat,5234.0,,,,,1,From Kick Off,Romain Saïss,5219.0,Left Center Back,2,Morocco,788,['c57040e1-106b-43d5-9886-fd89442ac798'],21,,,,,,,,,,,,,,,,Morocco,788,00:00:21.402,Pass,
,,,,,,,,,,,,,,,,,1.024748,,,,,,,,,,,c750d177-4889-4649-a0fe-7f23b0651a16,27,,,"[52.0, 48.9]",3920394,0,,,,,2.2421088,,Left Foot,,,"[43.5, 59.6]",,Ground Pass,,13.665284,,,,Nayef Aguerd,12149.0,,,,,1,From Kick Off,Sofyan Amrabat,5234.0,Center Defensive Midfield,2,Morocco,788,"['157ab927-f3a1-4a13-9f92-027243c69fff', '6b05df72-93c8-4e7f-b296-c16710c6fb41']",23,,,,,,,,,,,,,,,,Morocco,788,00:00:23.982,Pass,True
,,,,,,,,,,,,,,,,,4.375569,,,,,,,,,,,1fc565a7-85fe-4f5e-9f2b-c1b1980415bb,30,,,"[51.1, 64.6]",3920394,0,,,,,0.16126671,,Left Foot,,,"[113.8, 74.8]",,High Pass,,63.524246,,,,Achraf Hakimi Mouh,5245.0,,,,,1,From Kick Off,Nayef Aguerd,12149.0,Right Center Back,2,Morocco,788,['a71e7114-94c1-430e-b678-a085fc8dc67d'],27,,,,,,,,,,,,,,,,Morocco,788,00:00:27.375,Pass,
,,,,,,,,,,,,,,,,,1.28162,,,,,,,,,,,fd204783-7262-43b6-a896-b4960c86acff,34,,,"[118.4, 75.5]",3920394,0,,,,,-2.0254352,,Right Foot,,True,"[107.5, 53.2]",,Ground Pass,,24.821362,,Incomplete,,Youssef En-Nesyri,6301.0,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Back,2,Morocco,788,"['9d0a80cf-e5ff-4e88-b8b6-7a5a359f956c', '5deac606-b791-4875-bffc-c31cc9e2e3ae', '5b5ada0b-704f-4f9d-b73e-4e0ebb604ec9']",34,,,,,,,,,,,,,,,,Morocco,788,00:00:34.356,Pass,True
,,,,,,,,,,,,,,,,,0.109448,,,,,,,,,,,7fb2b100-3e01-44e2-86eb-e11adcc3b53d,38,,,"[12.1, 20.0]",3920394,0,,,,,0.17073521,,Left Foot,,,"[15.0, 20.5]",,Low Pass,,2.942788,,Incomplete,,Tarryn Allarakhia,19426.0,,,,,1,Regular Play,Ibrahim Abdallah Hamad,389092.0,Left Center Back,3,Tanzania,4953,"['a874261c-c4b4-45cc-acf0-ac38fbdcbc29', '1d74cda9-b792-4d63-a5ad-d9fd01f4aca4']",38,,,,,,,,,,,,,,,,Tanzania,4953,00:00:38.672,Pass,
,,,,,,,,,,,,,,,,,1.005355,,,,,,,,,,,edf53351-c27e-4216-870f-6eaccc46c185,41,,,"[41.4, 0.1]",3920394,0,,,,,2.0591302,,,,,"[38.0, 6.5]",,Low Pass,,7.2470684,,,,Novatus Dismas Miroshi,136055.0,,,,Throw-in,1,From Throw In,Mohamed Hussein Mohamed,105766.0,Left Back,4,Tanzania,4953,['a1f6658a-a456-4a22-b05c-33b891352f39'],59,,,,,,,,,,,,,,,,Tanzania,4953,00:00:59.874,Pass,
,,,,,,,,,,,,,,,,,0.798071,,,,,,,,,,,68448e0c-7d48-401d-b4cb-6a4f8cb3f8e3,44,,,"[37.7, 7.2]",3920394,1,,,,,-0.79873073,,Left Foot,,,"[41.4, 3.4]",,Low Pass,,5.3037724,,,,Mohamed Hussein Mohamed,105766.0,,,,,1,From Throw In,Novatus Dismas Miroshi,136055.0,Left Center Midfield,4,Tanzania,4953,['1778af23-cb0e-4d7d-a907-788e729dedce'],1,,,,,,,,,,,,,,,,Tanzania,4953,00:01:01.020,Pass,
,,,,,,,,,,,,,,,,,1.420573,,,,,,,,,,,969bdbc8-d557-463e-a652-8ad36946ddb2,46,,,"[41.4, 3.4]",3920394,1,,,,,0.9856839,,Left Foot,,,"[52.0, 19.4]",,High Pass,,19.192707,,Incomplete,,Charles M'Mombwa,80307.0,,,,,1,From Throw In,Mohamed Hussein Mohamed,105766.0,Left Back,4,Tanzania,4953,"['7d11381c-f4ab-4a99-8cb6-2f652d12d3cc', '0af1ed0a-cb23-4c72-99c3-fc030046ea30']",1,,,,,,,,,,,,,,,,Tanzania,4953,00:01:01.818,Pass,
,,,,,,,,,,,,,,,,,1.1428,,,,,,,,,,,0af1ed0a-cb23-4c72-99c3-fc030046ea30,48,,,"[68.1, 60.7]",3920394,1,,,,,2.6415975,,Right Foot,,,"[57.3, 66.6]",,High Pass,,12.306502,,,,Sofyan Amrabat,5234.0,,,,Recovery,1,Regular Play,Selim Amallah,23774.0,Left Center Midfield,5,Morocco,788,"['7cca87dc-86e2-4139-9aa1-d5f1c17062b4', '969bdbc8-d557-463e-a652-8ad36946ddb2']",3,,,,,,,,,,,,,,,,Morocco,788,00:01:03.239,Pass,
,,,,,,,,,,,,,,,,,2.523333,,,,,,,,,,,d26d3a30-84c2-4e16-9691-71ccdb7f8733,52,,,"[51.1, 63.5]",3920394,1,,,,,-2.779941,,Right Foot,,,"[20.7, 52.0]",,Ground Pass,,32.50246,,,,Yassine Bounou,6785.0,,,,,1,Regular Play,Sofyan Amrabat,5234.0,Center Defensive Midfield,5,Morocco,788,"['7e7e7c2e-852a-47a6-8cb9-858eb3dcddf2', '99fb5dcd-f40b-40b0-b1d7-78b2bb687691']",6,,,,,,,,,,,,,,,,Morocco,788,00:01:06.053,Pass,True
,,,,,,,,,,,,,,,,,1.257801,,,,,,,,,,,9437bf3b-da3d-4c7b-bf0e-50f2a2f0751d,55,,,"[21.9, 52.8]",3920394,1,,,,,0.7378151,,Left Foot,,,"[28.5, 58.8]",,Ground Pass,,8.9196415,,,,Nayef Aguerd,12149.0,,,,,1,Regular Play,Yassine Bounou,6785.0,Goalkeeper,5,Morocco,788,['8df476aa-c586-42d0-b6a3-88e29dbd9fc2'],11,,,,,,,,,,,,,,,,Morocco,788,00:01:11.824,Pass,
,,,,,,,,,,,,,,,,,1.525626,,,,,,,,,,,dd382ef5-fbc7-48ef-b24c-cfc4242fe5f6,58,,,"[28.8, 59.6]",3920394,1,,,,,0.75762755,,Left Foot,,,"[43.6, 73.6]",,Ground Pass,,20.37253,,,,Achraf Hakimi Mouh,5245.0,,,,,1,Regular Play,Nayef Aguerd,12149.0,Right Center Back,5,Morocco,788,['9a110395-32a2-4c95-9ad3-2b85b7b86f7f'],14,,,,,,,,,,,,,,,,Morocco,788,00:01:14.194,Pass,
,,,,,,,,,,,,,,,,,1.394683,,,,,,,,,,,8c7ef24e-5e06-4c14-969f-7bd0903aab7b,61,,,"[45.5, 74.4]",3920394,1,,,,,-2.2903001,,Right Foot,,,"[36.3, 63.9]",,Ground Pass,,13.9603,,,,Nayef Aguerd,12149.0,,,,,1,Regular Play,Achraf Hakimi Mouh,5245.0,Right Back,5,Morocco,788,['a689572f-cd80-4d32-824e-f97eb6de38c1'],16,,,,,,,,,,,,,,,,Morocco,788,00:01:16.907,Pass,
,,,,,,,,,,,,,,,,,1.834343,,,,,,,,,,,13c70965-60f5-4ef3-9d58-4b36251ebf90,64,,,"[44.3, 59.6]",3920394,1,,,,,0.54956,,Left Foot,,,"[68.3, 74.3]",,Ground Pass,,28.144094,,,,Hakim Ziyech,5237.0,,,,,1,Regular Play,Nayef Aguerd,12149.0,Right Center Back,5,Morocco,788,['dad555e0-9052-4d2a-bf46-f2d73a128aea'],22,,,,,,,,,,,,,,,,Morocco,788,00:01:22.570,Pass,
