50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.960698,,,,,,,,,,,,,005b0dd3-66da-488a-86a0-396226e6d851,17,,"[33.2, 77.9]",3920403,0,,,,-2.6995466,,Right Foot,,,,"[20.1, 71.7]",,Ground Pass,,14.493102,,,Nouh Mohamed El Abd,389294.0,,,,,,,1,From Kick Off,Ibrahima Keita,264956.0,Right Back,2,Mauritania,4932,['ceeebdbb-eff5-4ee8-b3b9-825d2eea9b8c'],12,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:12.452,Pass,
,,,,,,,,,,,,,,,,,1.834523,,,,,,,,,,,,,54c9c89c-de26-4dd3-be83-5bd049aac1da,20,,"[20.1, 71.7]",3920403,0,,,,-0.27337682,,Right Foot,,,,"[60.4, 60.4]",,High Pass,,41.85427,Incomplete,,Pape Ibnou Bâ,45064.0,,,,,,,1,From Kick Off,Nouh Mohamed El Abd,389294.0,Right Center Back,2,Mauritania,4932,"['f8f0e8fc-a32c-403c-bcfe-412ba39c28d5', '66ecb5af-93ec-4d37-8e13-081df63c5115']",13,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:13.452,Pass,
,,,,,,,,,,,,,,,,,1.505416,,,,,,,,,,,,,f8f0e8fc-a32c-403c-bcfe-412ba39c28d5,22,,"[59.7, 19.7]",3920403,0,,,,0.09820524,,Right Foot,,,,"[80.0, 21.7]",,Low Pass,,20.398285,Incomplete,,Jacinto Muondo Dala,10577.0,,,,,,Recovery,1,From Kick Off,Manuel Luís da Silva Cafumana,31016.0,Left Defensive Midfield,2,Mauritania,4932,"['54c9c89c-de26-4dd3-be83-5bd049aac1da', '1c55ee71-b378-4950-9b04-90b484e62813', '1f9ba7fb-687d-483e-bb20-16b9a99bd93e']",15,,,,,,,,,,,,,,,,,,,Angola,4901,00:00:15.287,Pass,
,,,,,,,,,,,,,,,,,1.567309,,,,,,,,,,,,,10ddd600-b5d8-4949-b58f-1493c11b4ed2,25,,"[81.2, 22.9]",3920403,0,,,,-0.67474097,,Right Foot,,,,"[89.2, 16.5]",,Ground Pass,,10.244999,Incomplete,,Ambrosini Antonio Cabaça Salvador,136312.0,,,,,,Recovery,1,From Kick Off,Cristóvão Paciência Mabululo,128881.0,Center Forward,2,Mauritania,4932,"['1ec5aa16-decd-41a5-a119-de15998082b4', 'c38e73bb-edf2-45ec-a1d5-7f677f2b8b55']",17,,,,,,,,,,,,,,,,,,,Angola,4901,00:00:17.812,Pass,
,,,,,,,,,,,,,,,,,2.263005,,,,,,,,,,,,,1ec5aa16-decd-41a5-a119-de15998082b4,27,,"[30.9, 63.6]",3920403,0,,,,-0.5194754,,Left Foot,,,,"[63.6, 44.9]",,High Pass,,37.66935,Incomplete,,Pape Ibnou Bâ,45064.0,,,,,,Recovery,1,From Kick Off,Ibrahima Keita,264956.0,Right Back,2,Mauritania,4932,"['10ddd600-b5d8-4949-b58f-1493c11b4ed2', 'ed4930fd-2907-47d0-9d25-ca791dd8d124', '28d384fd-d600-46b5-aefc-6831b537a6fc']",19,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:19.379,Pass,
,,,,,,,,,,,,,,,,,1.870803,,,,,,,,,,,,,67d0d192-f76a-4f1b-bc9a-6a395a0ea9fa,30,,"[66.5, 44.2]",3920403,0,,,,2.682776,,Head,,,,"[49.9, 52.4]",,High Pass,,18.514858,,,Eddie Marcos Melo Afonso,145058.0,,,,,,Recovery,1,From Kick Off,Alfredo Kulembe Ribeiro,10844.0,Right Defensive Midfield,2,Mauritania,4932,['8f34b8f9-79f7-46d0-a394-a18862dc9755'],23,,,,,,,,,,,,,,,,,,,Angola,4901,00:00:23.717,Pass,
,,,,,,,,,,,,,,,,,1.511404,,,,,,,,,,,,,38d93ed0-8e09-4bad-b6e0-95203e4e2ee5,33,,"[50.7, 53.7]",3920403,0,,,,-0.32043993,,Right Foot,,,,"[73.6, 46.1]",,High Pass,,24.128199,Incomplete,,Cristóvão Paciência Mabululo,128881.0,,,,,,,1,From Kick Off,Eddie Marcos Melo Afonso,145058.0,Right Back,2,Mauritania,4932,"['e4848cd3-8914-43e1-9578-0e6b70d6eead', '205c1787-f63f-4dab-abd2-d54929a6bd33']",25,,,,,,,,,,,,,,,,,,,Angola,4901,00:00:25.588,Pass,
,,,,,,,,,,,,,,,,,2.568176,,,,,,,,,,,,,e4848cd3-8914-43e1-9578-0e6b70d6eead,35,,"[46.5, 34.0]",3920403,0,,,,-1.663646,,Head,,,,"[44.2, 9.3]",,High Pass,,24.806854,,,Yacoub Aly Abeid,11923.0,,,,,,Recovery,1,From Kick Off,Guessouma Fofana,3255.0,Center Defensive Midfield,2,Mauritania,4932,"['38d93ed0-8e09-4bad-b6e0-95203e4e2ee5', '3b27fc88-e68c-4d13-94fc-c17721171704']",27,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:27.099,Pass,
,,,,,,,,,,,,,,,,,0.929584,,,,,,,,,,,,,da9ece13-3bc8-4481-aa99-bd3ae254f7c5,37,,"[44.6, 8.9]",3920403,0,,,,0.06241881,,Head,,,,"[55.8, 9.6]",,Low Pass,,11.221853,,,Aboubakary Koita,23892.0,,,,,,,1,From Kick Off,Yacoub Aly Abeid,11923.0,Left Back,2,Mauritania,4932,['211d4968-3aab-4f4d-bff1-18e65a8d688a'],29,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:29.707,Pass,
,,,,,,,,,,,,,,,,,2.484157,,,,,,,,,,,,,adf691a9-4af1-48fc-8f39-70e08e8f3b35,41,,"[53.0, 29.1]",3920403,0,,,,1.9638543,,Right Foot,,,,"[39.4, 61.9]",,Ground Pass,,35.507744,,,Ibrahima Keita,264956.0,,,,,,,1,From Kick Off,Aboubakary Koita,23892.0,Left Midfield,2,Mauritania,4932,"['a79c0126-ee47-434c-b01e-a29268d35ffb', '8cf124b4-177a-42b0-a178-5913db89305a']",33,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:33.467,Pass,True
