50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,3.348242,,,,,,,,,,,,,6738c3c1-2831-436f-ad8c-3591296e0d35,19,,"[3.5, 51.2]",3920413,0,,,,,0.11650953,,Right Foot,,,,"[61.6, 58.0]",,High Pass,,58.496582,,,,Ablie Jallow,4471.0,,,,,,1,From Kick Off,Baboucarr Gaye,185579.0,Goalkeeper,2,Gambia,4934,"['ac3b5a0c-2c49-4d92-b622-a4f2713f3514', '59778b66-a0b0-45c5-8ace-04696bd9c72b']",10,,,,,,,,,,,,,,,,,Gambia,4934,00:00:10.733,Pass,True
,,,,,,,,,,,,,,,,,,,,0.492717,,,,,,,,,,,,,6ad080c4-9f22-40fd-9646-ad6b2c4aadd2,26,,"[54.8, 51.2]",3920413,0,,,,,-1.4191909,,Left Foot,,,,"[55.9, 44.0]",,Ground Pass,,7.283543,,,,Musa Barrow,6988.0,,,,,,1,From Kick Off,Alasana Manneh,28212.0,Right Defensive Midfield,2,Gambia,4934,"['ce8604cf-c995-4f8d-ae27-2d861cce24bf', 'daa094c9-0d5c-4dbc-933c-0891ec43d044']",15,,,,,,,,,,,,,,,,,Gambia,4934,00:00:15.900,Pass,True
,,,,,,,,,,,,,,,,,,,,4.799996,,,,,,,,,,,,,46a5764a-4493-4e5e-8791-bb1d31ac3778,32,,"[48.3, 0.1]",3920413,0,,True,,,0.0,,,,,,"[69.2, 0.1]",,Low Pass,,20.9,,,,Yankuba Minteh,307271.0,,,,,Throw-in,1,From Throw In,Jacob Mendy,47762.0,Left Back,3,Gambia,4934,['2878f6c3-40ec-413c-a382-72fb6b079a60'],27,,,,,,,,,,,,,,,,,Gambia,4934,00:00:27.619,Pass,
,,,,,,,,,,,,,,,,,,,,1.900227,,,,,,,,,,,,,50e7fa8b-c5d7-4eb3-aed6-d5139eae91d4,37,,"[44.1, 80.0]",3920413,1,,True,,,-1.5842184,,,,,,"[43.9, 65.1]",,Low Pass,,14.901342,,,,Jean-Charles Castelletto,7426.0,,,,,Throw-in,1,From Throw In,Enzo Gianni Tchato Mbiayi,135043.0,Right Wing Back,4,Cameroon,2722,['c0cc86f0-4e6a-4109-b265-e6212464ee4c'],44,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:44.530,Pass,
,,,,,,,,,,,,,,,,,,,,1.301051,,,,,,,,,,,,,7a04587a-7486-4cfc-99b2-a434245891ac,40,,"[45.1, 64.6]",3920413,1,,,,,-1.7873466,,Right Foot,,,,"[42.9, 54.6]",,Ground Pass,,10.2391405,,,,Christopher Wooh,74588.0,,,,,,1,From Throw In,Jean-Charles Castelletto,7426.0,Right Center Back,4,Cameroon,2722,['3885f4d8-2d82-4952-8279-1ce8ded95a6c'],51,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:51.678,Pass,
,,,,,,,,,,,,,,,,,,,,1.712644,,,,,,,,,,,,,151ffbc0-4775-4447-bc3b-71833c28df02,43,,"[42.9, 54.6]",3920413,1,,,,,-1.2687368,,Right Foot,,,,"[51.5, 27.0]",,Ground Pass,,28.908823,,,,Nouhou Tolo,13454.0,,,,,,1,From Throw In,Christopher Wooh,74588.0,Center Back,4,Cameroon,2722,['f7698388-f31c-4c97-81e8-8652e659c81d'],54,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:54.452,Pass,
,,,,,,,,,,,,,,,,,,,,1.728846,,,,,,,,,,,,,ef0b0920-6b5e-4429-818d-8e0185ab2b2d,47,,"[63.1, 16.9]",3920413,1,,,,,2.2518134,,Left Foot,,,,"[49.0, 34.3]",,Ground Pass,,22.395758,,,,Christopher Wooh,74588.0,,,,,,1,From Throw In,Nouhou Tolo,13454.0,Left Center Back,4,Cameroon,2722,"['a3ebaf4c-98e4-45c4-933f-f7896cea858f', 'eb4fb00a-b17b-4101-8298-769b661eb39a']",59,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:59.302,Pass,True
,,,,,,,,,,,,,,,,,,,,1.475978,,,,,,,,,,,,,a7c6d164-ef72-4737-95a8-b8546c11a7ea,51,,"[63.1, 40.6]",3920413,2,,,,,-1.4732805,,Right Foot,,,,"[65.8, 13.0]",,Ground Pass,,27.73175,,,,Nouhou Tolo,13454.0,,,,,,1,From Throw In,Christopher Wooh,74588.0,Center Back,4,Cameroon,2722,['c7e8ac23-ea8d-49d1-961d-5055ec56e3e8'],5,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:05.486,Pass,
,,,,,,,,,,,,,,,,,,,,1.019664,,,,,,,,,,,,,454d5fb3-d0d4-4ed3-94aa-61ee9d737f34,54,,"[72.3, 10.4]",3920413,2,,,,,-0.9707461,,Left Foot,,,,"[77.5, 2.8]",,Ground Pass,,9.208692,,,,Georges-Kévin Nkoudou Mbida,3639.0,,,,,,1,From Throw In,Nouhou Tolo,13454.0,Left Center Back,4,Cameroon,2722,['c4f54a7d-07e7-4f9e-83ca-2af54e0e2c1f'],9,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:09.562,Pass,
,,,,,,,,,,,,,,,,,,,,1.258878,,,,,,,,,,,,,f3ad4abc-4037-4cba-b346-a3cb4207f654,58,,"[74.9, 8.3]",3920413,2,,,,,1.5707964,,Right Foot,,,,"[74.9, 24.7]",,Ground Pass,,16.4,,,,Jules Olivier Ntcham,10530.0,,,,,,1,From Throw In,Georges-Kévin Nkoudou Mbida,3639.0,Left Wing,4,Cameroon,2722,"['93c8f7d7-ace0-49c6-ae35-877ca90b77e5', '07d08d00-fbde-4183-8d09-c150062ddddd']",12,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:12.891,Pass,True
