bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.464336,,,,,,,,,,,,,,,00d9af0d-cd0b-4c74-91d2-5fb2321fce0e,3343,,,"[69.8, 72.2]",3922659,94,,,,,0.06465795,,Right Foot,,,"[83.7, 73.1]",,Ground Pass,,13.929106,,,,,Oumar Diakité,212489.0,,,,,3,From Throw In,Wilfried Stephane Singo,36539.0,Right Center Back,167,Côte d'Ivoire,3374,['725c4a7a-b255-463e-98ad-cdedf12bdf5d'],40,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:04:40.795,Pass,
,,,,,,,,,,,,,,,,0.869332,,,,,,,,,,,,,,,8b41a26a-f6f7-4983-8048-02eeb4ebd216,3346,,,"[90.5, 73.3]",3922659,94,,,,,-2.9242992,,Right Foot,,,"[82.8, 71.6]",,Ground Pass,,7.8854294,,,,,Franck Yannick Kessié,7023.0,,,,,3,From Throw In,Oumar Diakité,212489.0,Right Wing Back,167,Côte d'Ivoire,3374,['67c2e731-8d99-4fdd-aebf-3e4dbf61d494'],46,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:04:46.792,Pass,
,,,,,,,,,,,,,,,,1.037692,,,,,,,,,,,,,,,69b187c2-c219-4dae-90d8-b7bb31c962af,3354,,,"[105.1, 80.0]",3922659,95,,,,,-1.0318943,,,,,"[110.9, 70.3]",,Low Pass,,11.30177,,,Incomplete,,Franck Yannick Kessié,7023.0,,,,Throw-in,3,From Throw In,Wilfried Stephane Singo,36539.0,Right Center Back,168,Côte d'Ivoire,3374,"['808a7f09-e95e-466c-9cd7-ddc93c602ad6', '457918eb-80c8-48ed-b8ab-54f5c19d3537']",16,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:05:16.114,Pass,
,,,,,,,,,,,,,,,,0.04682,,,,,,,,,,,,,,,396a8cc9-8f73-4d5d-9187-8eb05d96bf52,3359,,,"[8.4, 5.5]",3922659,95,,,,,0.7853982,,Right Foot,,,"[11.6, 8.7]",,Ground Pass,,4.5254836,,,Incomplete,,,,,,,,3,From Throw In,Nene Dorgeles,199653.0,Left Center Forward,168,Côte d'Ivoire,3374,"['f7bcae6a-2b15-492c-bef1-fa4f78d3fefe', '227762ed-e147-4b71-950e-29d7fc54102e']",19,,,,,,,,,,,,,,,,,Mali,4930,00:05:19.563,Pass,True
,,,,,,,,,,,,,,,,0.680276,,,,,,,,,,,,,,,d4bee02c-3978-4b2d-a176-b53a400769f7,3364,,,"[110.0, 68.4]",3922659,95,,,,,0.515549,,Right Foot,,,"[116.0, 71.8]",,Ground Pass,,6.8963757,,,,,Wilfried Stephane Singo,36539.0,,,,,3,From Throw In,Franck Yannick Kessié,7023.0,Center Defensive Midfield,168,Côte d'Ivoire,3374,"['91c733b9-0c0a-4369-b1e0-f4db0b628b4c', 'a8b3ad5c-3e79-4fa8-b10a-2a338c7bf932']",21,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:05:21.154,Pass,True
,,,,,,,,,,,,,,,,1.677212,,,,,,,,,,,,,,,34901c9b-a792-49ae-99d7-002cd809ea75,3368,,,"[116.4, 72.9]",3922659,95,,,,,-1.6307765,73889741-41b0-4d7b-a6cc-3e2a8a4c275a,Right Foot,True,,"[114.1, 34.6]",,High Pass,,38.369,,,,,Sébastien Haller,8673.0,True,,,,3,From Throw In,Wilfried Stephane Singo,36539.0,Right Center Back,168,Côte d'Ivoire,3374,"['088958b0-e315-40e7-b182-0c6a1c0bf1d1', 'bb19885d-aecd-4038-91e6-88d9b638e5f1']",22,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:05:22.275,Pass,True
,,,,,,,,,,,,,,,,3.800385,,,,,,,,,,,,,,,60564341-9023-49da-a6d9-027845dd9716,3376,,,"[49.3, 71.8]",3922659,95,,True,,,-2.2268097,,Left Foot,,,"[25.9, 41.4]",,Ground Pass,,38.363003,,,,,Yahia Fofana,36629.0,,,,,3,Regular Play,Obite Evan Ndicka,7713.0,Left Center Back,169,Côte d'Ivoire,3374,['3651db77-f81e-467a-9ad8-4a99636674f6'],30,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:05:30.978,Pass,
,,,,,,,,,,,,,,,,3.14476,,,,,,,,,,,,,,,2fe5af44-8391-4503-b158-ac9a4f463b95,3379,,,"[28.1, 39.3]",3922659,95,,,,,-0.7950001,,Right Foot,,,"[64.2, 2.5]",,High Pass,,51.55046,,,,,Ghislain Konan,10039.0,,,,,3,Regular Play,Yahia Fofana,36629.0,Goalkeeper,169,Côte d'Ivoire,3374,['ef8266f8-b694-4dbc-837a-f51d79753e79'],36,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:05:36.696,Pass,
,,,,,,,,,,,,,,,,1.227878,,,,,,,,,,,,,,,97590a6e-928c-490d-80b6-b56f1c59c3be,3383,,,"[78.1, 1.0]",3922659,95,,,,,0.78296506,,Left Foot,,,"[98.7, 21.5]",,Low Pass,,29.062174,,,Pass Offside,,Simon Adingra,105392.0,,,,,3,Regular Play,Ghislain Konan,10039.0,Left Wing Back,169,Côte d'Ivoire,3374,"['fe48c236-49f1-43ed-be74-820fbc067ffb', '3c5f24f3-4979-4fe4-9107-1e42e31b73f9']",43,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:05:43.109,Pass,True
,,,,,,,,,,,,,,,,2.128047,,,,,,,,,,,,,,,c416d883-93ab-4f3d-a5cb-a9da7dc700a0,3385,,,"[18.9, 53.4]",3922659,97,,True,,,-1.2431979,,Right Foot,,,"[27.6, 27.8]",,Ground Pass,,27.037937,,,,,Sikou Niakate,7295.0,,,,Free Kick,3,From Free Kick,Djigui Diarra,102992.0,Goalkeeper,170,Mali,4930,['74b871f1-8a5f-4a4a-b981-17608b9fb804'],17,,,,,,,,,,,,,,,,,Mali,4930,00:07:17.837,Pass,
,,,,,,,,,,,,,,,,1.100186,,,,,,,,,,,,,,,aa0129f6-4071-42d2-a5c5-57bbabb4e563,3387,,,"[37.5, 13.6]",3922659,97,,,,,-0.9254155,,Left Foot,,,"[43.9, 5.1]",,Ground Pass,,10.640018,,,,,Falaye Sacko,12557.0,,,,,3,From Free Kick,Sikou Niakate,7295.0,Left Center Back,170,Mali,4930,['8bb08812-22d9-4c11-bb17-cb9daa2cb22d'],23,,,,,,,,,,,,,,,,,Mali,4930,00:07:23.744,Pass,
,,,,,,,,,,,,,,,,2.469857,,,,,,,,,,,,,,,18d40ec3-0dd6-47f9-b50c-5f303df1ab3e,3390,,,"[42.8, 21.3]",3922659,97,,,,,1.8282841,,Right Foot,,,"[34.9, 51.3]",,Ground Pass,,31.022734,,,,,Boubakar Kouyate,23331.0,,,,,3,From Free Kick,Falaye Sacko,12557.0,Left Back,170,Mali,4930,['63c9b9a0-edac-4155-b72a-b497d21e2f14'],29,,,,,,,,,,,,,,,,,Mali,4930,00:07:29.180,Pass,
,,,,,,,,,,,,,,,,1.718732,,,,,,,,,,,,,,,f4869159-c8d7-46ef-bf98-a0b6ce422967,3393,,,"[40.5, 52.4]",3922659,97,,,,,0.9457736,,Right Foot,,,"[57.6, 76.1]",,Ground Pass,,29.224989,,,,,Hamari Traoré,3248.0,,,,,3,From Free Kick,Boubakar Kouyate,23331.0,Right Center Back,170,Mali,4930,['75e7c6c2-f117-4f07-85da-ed579beb3985'],32,,,,,,,,,,,,,,,,,Mali,4930,00:07:32.839,Pass,
,,,,,,,,,,,,,,,,1.288499,,,,,,,,,,,,,,,fe75a994-c0a0-405c-9fe5-44c2d9fec3b5,3396,,,"[59.3, 76.5]",3922659,97,,,,,-0.104457125,,Right Foot,,,"[71.7, 75.2]",,Ground Pass,,12.467959,,,,,Yves Bissouma,4385.0,,,,,3,From Free Kick,Hamari Traoré,3248.0,Right Back,170,Mali,4930,['4cbc948e-0629-4e61-aab2-687b91bc2851'],36,,,,,,,,,,,,,,,,,Mali,4930,00:07:36.046,Pass,
,,,,,,,,,,,,,,,,1.668251,,,,,,,,,,,,,,,a585383a-07ad-4014-a736-4a61a988f831,3399,,,"[71.7, 75.2]",3922659,97,,,,,-2.774729,,Right Foot,,,"[50.1, 66.9]",,Ground Pass,,23.139793,,,,,Boubakar Kouyate,23331.0,,,,,3,From Free Kick,Yves Bissouma,4385.0,Center Attacking Midfield,170,Mali,4930,['43b2489b-eae7-4ec7-95f8-6537e26788e9'],37,,,,,,,,,,,,,,,,,Mali,4930,00:07:37.353,Pass,
,,,,,,,,,,,,,,,,1.147539,,,,,,,,,,,,,,,7c121e28-7149-4b75-ac9c-b5c3b7d0c310,3402,,,"[50.1, 65.2]",3922659,97,,,,,-1.5240468,,Right Foot,,,"[50.9, 48.1]",,Ground Pass,,17.118704,,,,,Mamadou Fofana,10705.0,,,,,3,From Free Kick,Boubakar Kouyate,23331.0,Right Center Back,170,Mali,4930,['5ffcaa6a-0d46-44a4-a9dd-d090aa02d5d6'],39,,,,,,,,,,,,,,,,,Mali,4930,00:07:39.950,Pass,
,,,,,,,,,,,,,,,,1.823353,,,,,,,,,,,,,,,f81ceace-8089-4ffa-863d-c6939ad6b16b,3405,,,"[56.1, 30.1]",3922659,97,,,,,1.5969098,,Right Foot,,,"[55.4, 56.9]",,Ground Pass,,26.809141,,,,,Boubakar Kouyate,23331.0,,,,,3,From Free Kick,Mamadou Fofana,10705.0,Center Defensive Midfield,170,Mali,4930,['1a02b9c2-a298-4266-a487-313fe9ad593c'],46,,,,,,,,,,,,,,,,,Mali,4930,00:07:46.104,Pass,
,,,,,,,,,,,,,,,,0.815746,,,,,,,,,,,,,,,1faa8c31-9eac-4142-8c80-0e1f2ce91c80,3408,,,"[59.3, 57.9]",3922659,97,,,,,-0.521017,,Right Foot,,,"[70.8, 51.3]",,Ground Pass,,13.259336,,,,,Yves Bissouma,4385.0,,,,,3,From Free Kick,Boubakar Kouyate,23331.0,Right Center Back,170,Mali,4930,['860563fd-244b-4803-90b7-11eced78f289'],49,,,,,,,,,,,,,,,,,Mali,4930,00:07:49.502,Pass,
,,,,,,,,,,,,,,,,1.768755,,,,,,,,,,,,,,,acecb6ba-162e-49df-a108-856146b42fae,3411,,,"[71.3, 56.0]",3922659,97,,,,,0.87422234,,Right Foot,,,"[89.2, 77.4]",,Ground Pass,,27.899282,,,,,Hamari Traoré,3248.0,,,,,3,From Free Kick,Yves Bissouma,4385.0,Center Attacking Midfield,170,Mali,4930,['7d8b735f-4792-4f77-bc72-296224eb60a7'],52,,,,,,,,,,,,,,,,,Mali,4930,00:07:52.870,Pass,
,,,,,,,,,,,,,,,,1.177301,,,,,,,,,,,,,,,cb87d254-7e1a-4fdf-9fda-dad9f12e2591,3414,,,"[86.2, 73.3]",3922659,97,,,,,0.23329695,,Right Foot,,,"[96.3, 75.7]",,Ground Pass,,10.381233,,,,,Fousseni Diabaté,3710.0,,,,,3,From Free Kick,Hamari Traoré,3248.0,Right Back,170,Mali,4930,['0930c782-93e7-4d8d-82ee-1597743487b7'],59,,,,,,,,,,,,,,,,,Mali,4930,00:07:59.835,Pass,
,,,,,,,,,,,,,,,,1.293511,,,,,,,,,,,,,,,d8c04cf8-d7b2-4075-acea-2ed711df2f53,3417,,,"[96.3, 75.7]",3922659,98,,,,,-3.0140831,,Left Foot,,,"[92.4, 75.2]",,Ground Pass,,3.9319208,,,,,Diadie Samassekou,8759.0,,,,,3,From Free Kick,Fousseni Diabaté,3710.0,Right Center Forward,170,Mali,4930,['07bee951-fee0-4ac7-bb15-7932be07d01d'],1,,,,,,,,,,,,,,,,,Mali,4930,00:08:01.324,Pass,
,,,,,,,,,,,,,,,,0.814546,,,,,,,,,,,,,,,eeace7a4-2032-4de2-b356-9693c93ccf17,3420,,,"[92.0, 74.6]",3922659,98,,,,,0.48995733,,Right Foot,,,"[98.0, 77.8]",,Ground Pass,,6.8,,,,,Fousseni Diabaté,3710.0,,,,,3,From Free Kick,Diadie Samassekou,8759.0,Left Center Midfield,170,Mali,4930,['779fb466-a9ca-456d-9b50-78a0e7b64ec8'],3,,,,,,,,,,,,,,,,,Mali,4930,00:08:03.856,Pass,
,,,,,,,,,,,,,,,,1.699672,,,,,,,,,,,,,,,5e6f8491-0ac5-4460-a05e-834f137d4bc3,3423,,,"[98.4, 77.8]",3922659,98,,,,,-2.9811344,,Left Foot,,,"[81.1, 75.0]",,Ground Pass,,17.525126,,,,,Hamari Traoré,3248.0,,,,,3,From Free Kick,Fousseni Diabaté,3710.0,Right Center Forward,170,Mali,4930,['07981561-a893-45c1-a6fc-4b566491abbb'],5,,,,,,,,,,,,,,,,,Mali,4930,00:08:05.345,Pass,
,,,,,,,,,,,,,,,,1.396976,,,,,,,,,,,,,,,163f06c9-3b24-4ab0-9d2c-ff2ae402c710,3426,,,"[77.9, 75.5]",3922659,98,,,,,-2.4903052,,Right Foot,,,"[63.6, 64.6]",,Ground Pass,,17.980545,,,,,Boubakar Kouyate,23331.0,,,,,3,From Free Kick,Hamari Traoré,3248.0,Right Back,170,Mali,4930,['6efc599a-417f-4c70-acc8-332dd9ddec58'],7,,,,,,,,,,,,,,,,,Mali,4930,00:08:07.625,Pass,
,,,,,,,,,,,,,,,,1.428263,,,,,,,,,,,,,,,621a629d-c89e-486c-9c25-ae49fdd3c328,3429,,,"[63.6, 59.4]",3922659,98,,,,,-1.4211303,,Left Foot,,,"[67.4, 34.2]",,Ground Pass,,25.484898,,,,,Sikou Niakate,7295.0,,,,,3,From Free Kick,Boubakar Kouyate,23331.0,Right Center Back,170,Mali,4930,['f96e0244-b862-46e5-80b5-fa1a63c481f2'],10,,,,,,,,,,,,,,,,,Mali,4930,00:08:10.258,Pass,
,,,,,,,,,,,,,,,,1.615928,,,,,,,,,,,,,,,7c3522d7-b8cf-43f2-a49e-83aa51b452ff,3432,,,"[74.5, 26.9]",3922659,98,,,,,-0.5709265,,Left Foot,,,"[99.1, 11.1]",,Ground Pass,,29.236963,,,,,Falaye Sacko,12557.0,,,,,3,From Free Kick,Sikou Niakate,7295.0,Left Center Back,170,Mali,4930,['bea92ef3-ec14-4b4f-a6ae-0dac1e25967b'],13,,,,,,,,,,,,,,,,,Mali,4930,00:08:13.364,Pass,
,,,,,,,,,,,,,,,,2.934765,,,,,,,,,,,,,,,dec2ef15-6631-410e-87f3-1c0da37359f9,3436,,,"[91.8, 7.4]",3922659,98,,,,,2.0379012,,Right Foot,,,"[68.5, 53.6]",,High Pass,,51.742924,,,,,Boubakar Kouyate,23331.0,,True,,,3,From Free Kick,Falaye Sacko,12557.0,Left Back,170,Mali,4930,"['6b2febab-6a9c-4f3e-9063-fea56aa6bb06', '0b6bfda3-c144-4f83-b9dd-929710b04ff7']",16,,,,,,,,,,,,,,,,,Mali,4930,00:08:16.465,Pass,True
,,,,,,,,,,,,,,,,1.765829,,,,,,,,,,,,,,,55df391c-1217-4f6f-acce-036833fe0871,3439,,,"[78.8, 59.4]",3922659,98,,,,,0.693702,,Left Foot,,,"[97.8, 75.2]",,Ground Pass,,24.71113,,,,,Hamari Traoré,3248.0,,,,,3,From Free Kick,Boubakar Kouyate,23331.0,Right Center Back,170,Mali,4930,['5a9e5d90-d753-448c-9acc-62af3a446b7b'],21,,,,,,,,,,,,,,,,,Mali,4930,00:08:21.782,Pass,
,,,,,,,,,,,,,,,,0.616536,,,,,,,,,,,,,,,8b997785-ebbe-4eff-8891-95965662245c,3442,,,"[97.8, 66.7]",3922659,98,,,,,-2.3262634,,Left Foot,,,"[89.7, 58.1]",,Ground Pass,,11.813974,,,,,Yves Bissouma,4385.0,,,,,3,From Free Kick,Hamari Traoré,3248.0,Right Back,170,Mali,4930,['54d32917-a390-442f-846a-d8b8d8423960'],27,,,,,,,,,,,,,,,,,Mali,4930,00:08:27.628,Pass,
,,,,,,,,,,,,,,,,0.761738,,,,,,,,,,,,,,,13957226-acc8-469e-9de9-07f5153ebb23,3446,,,"[91.6, 58.3]",3922659,98,,,,,1.4531602,,Right Foot,,,"[92.9, 69.3]",,Ground Pass,,11.076551,,,,,Diadie Samassekou,8759.0,,,,,3,From Free Kick,Yves Bissouma,4385.0,Center Attacking Midfield,170,Mali,4930,"['42b51479-7a57-43bb-a705-31ea1c2ab5cd', 'b5eb5632-a651-4985-9499-3c565112c0d2']",29,,,,,,,,,,,,,,,,,Mali,4930,00:08:29.486,Pass,True
,,,,,,,,,,,,,,,,1.638963,,,,,,,,,,,,,,,3d4c5900-ac3d-476c-b28e-d744d11d6abd,3449,,,"[96.3, 68.6]",3922659,98,,,,,1.0341082,,Right Foot,,,"[101.0, 76.5]",,Ground Pass,,9.192389,,,,,Hamari Traoré,3248.0,,,,,3,From Free Kick,Diadie Samassekou,8759.0,Left Center Midfield,170,Mali,4930,['d85cb5c7-72e9-4314-804b-f328508df0c3'],31,,,,,,,,,,,,,,,,,Mali,4930,00:08:31.552,Pass,
,,,,,,,,,,,,,,,,1.079484,,,,,,,,,,,,,,,1bda1b5b-a9ae-401b-822c-37fdf102148a,3452,,,"[106.4, 78.2]",3922659,98,,,,,-1.3943295,,Right Foot,True,,"[111.5, 49.6]",,High Pass,,29.051163,,,Incomplete,,Nene Dorgeles,199653.0,,,,,3,From Free Kick,Hamari Traoré,3248.0,Right Back,170,Mali,4930,"['d43799c6-819f-47b1-a350-ca26fea11922', '7256496e-aba1-4034-ad7b-30b0047e70b5']",33,,,,,,,,,,,,,,,,,Mali,4930,00:08:33.252,Pass,
