50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[80.0, 49.1]",,,,,,,,,,,,,1.059519,,,,,,,,,,,,2de63c65-d410-47a4-9ef2-fdb4513dc1d6,1196,,,"[78.6, 47.1]",3920395,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Kings Kangwa,44402.0,Right Center Midfield,62,Zambia,4963,"['ec380042-14ae-4b3e-bd64-06c3a4119174', '2c16a1e6-9efc-4ab0-8a0c-86be5e6afc5f']",7,,,,,,,,,,,,,,,,,Zambia,4963,00:36:07.836,Carry,
,,,,,"[72.9, 73.8]",,,,,,,,,,,,,1.048431,,,,,,,,,,,,842f1f6b-bb33-4323-887d-41c44874c4fc,1199,,,"[71.6, 73.4]",3920395,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Tandi Mwape,108291.0,Right Back,62,Zambia,4963,"['d859b147-638c-4efe-bd93-d12893a48e1b', '69b7270d-de94-4a41-a864-fcdf0b371849']",10,,,,,,,,,,,,,,,,,Zambia,4963,00:36:10.838,Carry,
,,,,,"[89.0, 74.4]",,,,,,,,,,,,,1.969836,,,,,,,,,,,,92400371-68b3-4706-9328-d57bbc060d79,1202,,,"[86.1, 77.1]",3920395,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Lubambo Musonda,23420.0,Right Midfield,62,Zambia,4963,"['2db2f60d-76a9-47f7-8021-87317ac7122e', '84a0b9bf-fddd-478f-83f9-a9e24f4993f8']",13,,,,,,,,,,,,,,,,,Zambia,4963,00:36:13.217,Carry,
,,,,,"[50.5, 32.2]",,,,,,,,,,,,,0.687966,,,,,,,,,,,,ae79fe16-c7e7-4728-8e3f-ad7cc40c1d5f,1212,,,"[51.8, 34.6]",3920395,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Charles Pickel,28415.0,Right Defensive Midfield,63,Congo DR,4881,"['8808ea6e-5f61-473d-af4d-fca7d297b9a8', '3767d34b-94e9-4806-9c78-57f9ca97e567']",45,,,,,,,,,,,,,,,,,Congo DR,4881,00:36:45.818,Carry,
,,,,,"[61.3, 12.3]",,,,,,,,,,,,,4.376061,,,,,,,,,,,,f8cc6a86-e52a-4f1f-8e26-5dfc6eb69526,1215,,,"[44.2, 13.8]",3920395,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Henoc Inonga Baka,105946.0,Left Center Back,63,Congo DR,4881,"['fb9f6634-619e-4536-8e6b-f88de356468e', '60586625-493c-42b8-9f26-19cda31d4d57']",47,,,,,,,,,,,,,,,,,Congo DR,4881,00:36:47.879,Carry,
,,,,,"[95.7, 8.1]",,,,,,,,,,,,,4.899168,,,,,,,,,,,,a89f03db-55e4-42f1-b9ed-af9c6ff215da,1218,,,"[81.9, 2.8]",3920395,36,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Yoane Wissa,7294.0,Left Wing,63,Congo DR,4881,"['27a433b8-db1f-47c6-88c5-a2314a207b42', 'a6f90219-1e33-4491-9650-65ea48c4ccbc', '7950949d-b824-4fc1-88bd-25c5b8b64948']",53,,,,,,,,,,,,,,,,,Congo DR,4881,00:36:53.808,Carry,True
,,,,,"[81.4, 9.9]",,,,,,,,,,,,,3.023299,,,,,,,,,,,,69c5a5b0-28a0-4f07-8db1-5d1d2de615a7,1222,,,"[83.1, 5.3]",3920395,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Arthur Masuaku,3587.0,Left Back,63,Congo DR,4881,"['028928ff-bbaf-4591-b73f-ed44e5d03a7a', 'e10edd48-0004-4d91-9e63-86e539883b1a']",0,,,,,,,,,,,,,,,,,Congo DR,4881,00:37:00.551,Carry,
,,,,,"[80.9, 52.2]",,,,,,,,,,,,,4.264541,,,,,,,,,,,,22b37108-2354-4a76-bb31-3e6107bbd598,1225,,,"[67.0, 39.7]",3920395,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Chancel Mbemba Mangulu,3044.0,Right Center Back,63,Congo DR,4881,"['18e21f26-a016-45ea-816f-115403bbe771', 'e248fcb5-c15d-4638-a86e-c5c948f393e4']",5,,,,,,,,,,,,,,,,,Congo DR,4881,00:37:05.323,Carry,
,,,,,"[103.7, 78.1]",,,,,,,,,,,,,1.579714,,,,,,,,,,,,881a8613-47ee-457c-8dac-b1243519dc71,1230,,,"[101.1, 77.8]",3920395,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Gedeon Kalulu Kyatengwa,30193.0,Right Back,63,Congo DR,4881,"['61ec02e8-d004-4dcf-b47e-f4f0c783f2fa', '9a620e03-1927-471f-9fdb-2344a2ea55a1']",12,,,,,,,,,,,,,,,,,Congo DR,4881,00:37:12.029,Carry,
,,,,,"[117.8, 74.1]",,,,,,,,,,,,,1.345285,,,,,,,,,,,,774a4b99-3991-483a-9597-c51832a4a089,1239,,,"[119.2, 72.5]",3920395,38,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Arthur Masuaku,3587.0,Left Back,64,Congo DR,4881,"['d39b0c1e-efce-4f67-bc4e-908f10b764c0', 'b15f9a8f-ffc9-4200-b175-c3c933353038']",14,,,,,,,,,,,,,,,,,Congo DR,4881,00:38:14.464,Carry,
