50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.599998,,,,,,,,,,,,,,afd4fb86-d69c-4ab4-96ac-cce2cdfa14e5,17,,"[31.9, 65.3]",3922356,0,,,,-1.4788058,,Right Foot,,,"[34.4, 38.2]",Ground Pass,,27.215069,,,Julian Jeanvier,7360.0,,,,,,1,From Kick Off,Mouctar Diakhaby,4267.0,Right Center Back,2,Guinea,4892,['62273926-4f17-44c7-85f0-d9fcf994be64'],13,,,,,,,,,,,,,,,,,Guinea,4892,00:00:13.823,Pass,
,,,,,,,,,,,,,,,,,,1.239999,,,,,,,,,,,,,,c00ef1a9-2892-411c-ab6e-770ba2c02bde,20,,"[34.4, 37.7]",3922356,0,,,,1.5028738,,Right Foot,,,"[35.4, 52.4]",Ground Pass,,14.733974,,,Mouctar Diakhaby,4267.0,,,,,,1,From Kick Off,Julian Jeanvier,7360.0,Left Center Back,2,Guinea,4892,['acecba34-9cef-47ee-be1b-b0fde9a47780'],18,,,,,,,,,,,,,,,,,Guinea,4892,00:00:18.223,Pass,
,,,,,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,,,35ba42c1-6992-4086-8e1d-b49dfe35b7a4,23,,"[42.6, 67.7]",3922356,0,,,,0.8499848,,Right Foot,,,"[52.0, 78.4]",Ground Pass,,14.242542,,,Ibrahim Diakité,176683.0,,,,,,1,From Kick Off,Mouctar Diakhaby,4267.0,Right Center Back,2,Guinea,4892,['0f733156-090d-4ff4-8381-8b0146b7fd4f'],25,,,,,,,,,,,,,,,,,Guinea,4892,00:00:25.023,Pass,
,,,,,,,,,,,,,,,,,,1.67997,,,,,,,,,,,,,,d4e41df8-3bcf-4b9b-98b1-a348d2191498,26,,"[50.3, 77.3]",3922356,0,,,,-2.8059542,,Right Foot,,,"[33.1, 71.3]",Ground Pass,,18.216476,,,Mouctar Diakhaby,4267.0,,,,,,1,From Kick Off,Ibrahim Diakité,176683.0,Right Back,2,Guinea,4892,['5287d35e-6584-4022-8c6e-9b61806f775d'],27,,,,,,,,,,,,,,,,,Guinea,4892,00:00:27.983,Pass,
,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,6b372375-97a1-4fd5-b9f4-0f459c572b6c,29,,"[37.6, 70.4]",3922356,0,,,,-1.6992148,,Right Foot,,,"[33.3, 37.1]",Ground Pass,,33.57648,,,Julian Jeanvier,7360.0,,,,,,1,From Kick Off,Mouctar Diakhaby,4267.0,Right Center Back,2,Guinea,4892,['4e1be987-1608-4645-a356-dd688b3cd2e7'],32,,,,,,,,,,,,,,,,,Guinea,4892,00:00:32.103,Pass,
,,,,,,,,,,,,,,,,,,1.239998,,,,,,,,,,,,,,6c2d8ec3-721a-46ca-b412-71d773d8988d,32,,"[34.2, 37.4]",3922356,0,,,,0.426093,,Right Foot,,,"[48.3, 43.8]",Ground Pass,,15.4845085,,,Amadou Diawara,8284.0,,,,,,1,From Kick Off,Julian Jeanvier,7360.0,Left Center Back,2,Guinea,4892,['1ad7b50c-c030-44b1-9949-7b59749bc385'],36,,,,,,,,,,,,,,,,,Guinea,4892,00:00:36.623,Pass,
,,,,,,,,,,,,,,,,,,2.505011,,,,,,,,,,,,,,8f023349-3cc4-47c5-a307-e9896d2d9ff7,35,,"[48.3, 46.5]",3922356,0,,,,0.6332587,,Right Foot,,,"[90.8, 77.7]",High Pass,,52.722767,,,Ibrahim Diakité,176683.0,,,,,,1,From Kick Off,Amadou Diawara,8284.0,Right Defensive Midfield,2,Guinea,4892,['31d7436e-23b9-48c7-acf4-26b551e02b4b'],39,,,,,,,,,,,,,,,,,Guinea,4892,00:00:39.463,Pass,
,,,,,,,,,,,,,,,,,,1.623212,,,,,,,,,,,,,,1613f6d2-cee6-43cd-a02d-07f8bcb77f6e,38,,"[95.8, 76.2]",3922356,0,,,,-0.88187194,2001a33f-de15-4623-889a-a0ab186797d7,Right Foot,,,"[108.4, 60.9]",High Pass,,19.820444,,,Morgan Guilavogui,47351.0,True,,,,,1,From Kick Off,Ibrahim Diakité,176683.0,Right Back,2,Guinea,4892,['ddba5714-590c-4e66-b756-d7a1d518a77e'],43,,,,,,,,,,,,,,,,,Guinea,4892,00:00:43.040,Pass,
,,,,,,,,,,,,,,,,,,1.308336,,,,,,,,,,,,,,03cfe150-bb6d-4b09-aafd-6b9d84a45438,49,,"[120.0, 80.0]",3922356,1,,,,-1.6596705,,Right Foot,,,"[117.3, 49.7]",High Pass,,30.42006,Incomplete,True,Naby Deco Keïta,8505.0,,,Outswinging,,Corner,1,From Corner,Aguibou Camara,39559.0,Center Attacking Midfield,3,Guinea,4892,"['b34b3154-139e-4910-8625-30646b5ae030', '67cbec3d-326a-4c74-a68e-3d5c62cc7770']",53,,,,,,,,,,,,,,,,,Guinea,4892,00:01:53.572,Pass,
,,,,,,,,,,,,,,,,,,3.692018,,,,,,,,,,,,,,1c2e78da-281c-4bd4-bbb3-a201deff7b63,54,,"[3.2, 25.5]",3922356,1,,,,-0.40714023,,Right Foot,,,"[46.1, 7.0]",High Pass,,46.71895,Incomplete,,Cédric Bakambu,6862.0,,,,,,1,Regular Play,Yoane Wissa,7294.0,Left Midfield,4,Congo DR,4881,"['8e4c026d-df6f-4c39-8829-4698e7ef65ea', '152ee937-992f-4831-a375-172b682eaff9', 'd11a260e-e9f0-4e63-89b7-82b098e118b7']",55,,,,,,,,,,,,,,,,,Congo DR,4881,00:01:55.831,Pass,True
,,,,,,,,,,,,,,,,,,0.655407,,,,,,,,,,,,,,81052787-9179-40f0-95c9-a38c2c4c53d2,58,,"[27.5, 80.0]",3922356,2,True,,,-0.7853982,,,,,"[35.0, 72.5]",Low Pass,,10.606602,,,Henoc Inonga Baka,105946.0,,,,,Throw-in,1,From Throw In,Arthur Masuaku,3587.0,Left Back,5,Congo DR,4881,['4b738ab3-589c-4079-a91a-c8cb3e734478'],21,,,,,,,,,,,,,,,,,Congo DR,4881,00:02:21.932,Pass,
,,,,,,,,,,,,,,,,,,2.207856,,,,,,,,,,,,,,f24f0248-0c0b-4ab5-8a15-f26be174195c,60,,"[35.0, 72.5]",3922356,2,True,,,0.0,,Right Foot,,,"[47.9, 72.5]",Ground Pass,,12.9,,,Gedeon Kalulu Kyatengwa,30193.0,,,,,,1,From Throw In,Henoc Inonga Baka,105946.0,Left Center Back,5,Congo DR,4881,['ed1f03a6-e60e-41a9-b393-e2afbc7439aa'],23,,,,,,,,,,,,,,,,,Congo DR,4881,00:02:23.557,Pass,
,,,,,,,,,,,,,,,,,,2.368615,,,,,,,,,,,,,,062e2966-0ebf-4a0b-a114-ddddc10f8ff8,62,,"[56.8, 73.6]",3922356,2,,,,-0.074528374,,Right Foot,,,"[94.3, 70.8]",Ground Pass,,37.60439,Incomplete,,Meschak Elia,35684.0,,,,,,1,From Throw In,Gedeon Kalulu Kyatengwa,30193.0,Right Back,5,Congo DR,4881,"['07f78667-ae2a-4949-9dd5-784769d7462d', '4d9d1b68-5373-485b-b07f-c931b1d3aafc']",25,,,,,,,,,,,,,,,,,Congo DR,4881,00:02:25.887,Pass,
,,,,,,,,,,,,,,,,,,0.869752,,,,,,,,,,,,,,328962e4-8edf-4d72-8656-9c4d02b3ce29,65,,"[96.8, 80.0]",3922356,2,,,,-0.86808217,,,,,"[105.1, 70.2]",Low Pass,,12.842507,,,Meschak Elia,35684.0,,,,,Throw-in,1,From Throw In,Gedeon Kalulu Kyatengwa,30193.0,Right Back,6,Congo DR,4881,['8848efbe-b81c-48f7-a580-6037a3965d94'],41,,,,,,,,,,,,,,,,,Congo DR,4881,00:02:41.473,Pass,
,,,,,,,,,,,,,,,,,,0.587248,,,,,,,,,,,,,,c97f602f-3ef8-40cf-af3e-527e5ea4b24d,69,,"[100.9, 75.5]",3922356,2,,,,3.1415927,,Right Foot,,,"[96.8, 75.5]",Ground Pass,,4.1,,,Gedeon Kalulu Kyatengwa,30193.0,,,,,,1,From Throw In,Meschak Elia,35684.0,Right Midfield,6,Congo DR,4881,"['16d64f18-495b-49af-a8fc-87bc19a13b34', 'ff50c209-df18-43c8-9687-dce64287477e']",43,,,,,,,,,,,,,,,,,Congo DR,4881,00:02:43.660,Pass,True
,,,,,,,,,,,,,,,,,,0.651318,,,,,,,,,,,,,,148e8c17-f018-4a19-83f3-ba62af9335ec,73,,"[97.9, 75.5]",3922356,2,,,,0.08314123,,Right Foot,,,"[101.5, 75.8]",Ground Pass,,3.6124783,,,Meschak Elia,35684.0,,,,,,1,From Throw In,Gedeon Kalulu Kyatengwa,30193.0,Right Back,6,Congo DR,4881,"['3c573adf-c630-49e2-a589-799c52adb980', 'dcdb098f-9bb2-4903-85f2-51df2dc468d6']",45,,,,,,,,,,,,,,,,,Congo DR,4881,00:02:45.890,Pass,True
,,,,,,,,,,,,,,,,,,0.201961,,,,,,,,,,,,,,b82b9c2b-d5b6-4d78-9a45-12c8398af9de,77,,"[99.7, 78.0]",3922356,2,,,,-0.8519663,,Right Foot,,,"[101.8, 75.6]",Ground Pass,,3.1890438,Incomplete,,Gedeon Kalulu Kyatengwa,30193.0,,,,,,1,From Throw In,Meschak Elia,35684.0,Right Midfield,6,Congo DR,4881,"['1598f9a8-3373-4309-8da4-b69c7cbfec8d', 'c599e695-ae2a-4bc8-85c5-315da5aea3f4', '6db0f46e-9797-4264-aadb-fbc9702c2a10']",46,,,,,,,,,,,,,,,,,Congo DR,4881,00:02:46.796,Pass,True
,,,,,,,,,,,,,,,,,,3.499733,,,,,,,,,,,,,,aaa7f409-7da0-4500-843b-f318844335fb,80,,"[108.7, 80.0]",3922356,2,,,,-1.5253731,7eb2e897-9cdc-4b9c-8568-d2595bc2ae01,,,,"[110.4, 42.6]",High Pass,,37.438618,,,Yoane Wissa,7294.0,True,,,,Throw-in,1,From Throw In,Gedeon Kalulu Kyatengwa,30193.0,Right Back,7,Congo DR,4881,['bff397db-073c-4ced-85b7-7f4eb0a84cce'],54,,,,,,,,,,,,,,,,,Congo DR,4881,00:02:54.161,Pass,
,,,,,,,,,,,,,,,,,,3.37118,,,,,,,,,,,,,,166b5b93-20e8-4ca1-b00c-44369548583d,85,,"[7.0, 40.4]",3922356,3,,,,-0.035096116,,Right Foot,,,"[83.9, 37.7]",High Pass,,76.94739,Incomplete,,Mohamed Bayo,8454.0,,,,,Goal Kick,1,From Goal Kick,Ibrahim Kone,182573.0,Goalkeeper,8,Guinea,4892,"['1d5d8880-a796-4954-a9ca-d4b4b0be3a1a', 'cdec5ab4-63c8-49d5-a806-9310839096e0']",53,,,,,,,,,,,,,,,,,Guinea,4892,00:03:53.589,Pass,
,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,0e2d601a-bd84-43fd-b54d-40be96ccf143,90,,"[71.5, 27.3]",3922356,3,,,,2.19777,,Head,,,"[64.4, 37.1]",Low Pass,,12.101653,,,Amadou Diawara,8284.0,,,,,,1,From Goal Kick,Naby Deco Keïta,8505.0,Left Defensive Midfield,8,Guinea,4892,['28f440e7-ef55-4a97-8aa6-e225ddb8d011'],59,,,,,,,,,,,,,,,,,Guinea,4892,00:03:59.854,Pass,
,,,,,,,,,,,,,,,,,,2.175623,,,,,,,,,,,,,,6ff85b6b-662f-4974-a3b1-ffe56bcfbd1f,94,,"[65.3, 37.4]",3922356,4,,,,-1.0262446,,Right Foot,,,"[82.5, 9.0]",High Pass,,33.202408,,,Issiaga Sylla,4352.0,,,,,,1,From Goal Kick,Amadou Diawara,8284.0,Right Defensive Midfield,8,Guinea,4892,"['ee575108-bc6a-4dea-a89d-6507f00c4bc4', '61b1baaa-d7de-4c8b-b377-0412484c6ce2']",1,,,,,,,,,,,,,,,,,Guinea,4892,00:04:01.134,Pass,True
,,,,,,,,,,,,,,,,,,0.559998,,,,,,,,,,,,,,d2fc34d0-bdd6-442b-aefe-9fd2b2594fce,97,,"[85.8, 6.6]",3922356,4,,,,3.0601406,,Left Foot,,,"[80.9, 7.0]",Ground Pass,,4.9162993,,,Naby Deco Keïta,8505.0,,,,,,1,From Goal Kick,Issiaga Sylla,4352.0,Left Back,8,Guinea,4892,['a097ee60-a6c2-4802-909a-442b3e332936'],6,,,,,,,,,,,,,,,,,Guinea,4892,00:04:06.350,Pass,
