50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.367684,,,,,,,,,,,,,,2ca20294-8597-4388-b8cd-222f014e739f,1897,,,"[54.8, 73.7]",3920386,61,,,,,-0.5639591,,Right Foot,,,,"[66.5, 66.3]",,Low Pass,13.843771,,,,,Ademola Lookman,3447.0,,,,,Recovery,2,From Goal Kick,Alhassan Yusuf,27434.0,Right Center Midfield,119,Equatorial Guinea,4992,"['86db2018-9466-4633-87d9-9843deebb324', '30a93444-bf19-4812-bcdb-40c61f71fb78', 'dd84cff1-d654-4e47-be56-765e8a1df4a7']",9,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:16:09.302,Pass,True
,,,,,,,,,,,,,,,,,,1.006851,,,,,,,,,,,,,,36eb24f9-7521-4c2a-963d-7fee4445694f,1906,,,"[28.5, 6.9]",3920386,61,,,,,1.6006383,,Right Foot,,,,"[28.1, 20.3]",,Ground Pass,13.405969,,,,,Saúl Basilio Coco-Bassey Oubiña,52324.0,,,,,,2,From Goal Kick,Pablo Ganet Cómitre,105942.0,Left Defensive Midfield,119,Equatorial Guinea,4992,"['9ceacb8e-827e-4d83-a30a-509238db6ecb', '87464e69-7ede-450f-af42-196879fe8115']",16,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:16:16.278,Pass,True
,,,,,,,,,,,,,,,,,,1.751395,,,,,,,,,,,,,,551f421e-062c-48f6-94a6-4b26681058ab,1909,,,"[28.1, 20.3]",3920386,61,,,,,-0.9644682,,Left Foot,,,,"[41.9, 0.4]",,Ground Pass,24.21673,,,Out,,Jannick Buyla Sam,40128.0,,,,,,2,From Goal Kick,Saúl Basilio Coco-Bassey Oubiña,52324.0,Left Center Back,119,Equatorial Guinea,4992,['68e6225e-414e-48e4-8312-7447aca15a3b'],17,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:16:17.364,Pass,
,,,,,,,,,,,,,,,,,,1.798274,,,,,,,,,,,,,,156dd190-c57c-4547-bbec-0a28faaf4f22,1911,,,"[78.8, 80.0]",3920386,61,,,,,-0.348771,,,,,,"[105.2, 70.4]",,High Pass,28.09128,,,,,Ademola Lookman,3447.0,,,,,Throw-in,2,From Throw In,Temitayo Olufisayo Olaoluwa Aina,11492.0,Right Back,120,Nigeria,775,['caceb82f-7afc-44ab-82e7-b5c6f8fdcce5'],30,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:16:30.256,Pass,
,,,,,,,,,,,,,,,,,,1.343392,,,,,,,,,,,,,,12c8c66d-a218-4a88-b220-49a6a1d41a8e,1918,,,"[109.1, 74.5]",3920386,62,,,,,-1.5161396,,Right Foot,True,,,"[110.9, 41.6]",,High Pass,32.949203,,,Incomplete,,,,,,,,Free Kick,2,From Free Kick,Ademola Lookman,3447.0,Right Midfield,121,Nigeria,775,['cc77cc8d-691e-42ea-a199-92953050c97e'],28,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:17:28.390,Pass,
,,,,,,,,,,,,,,,,,,0.069252,,,,,,,,,,,,,,5fb23676-ef53-41b0-981f-6444c493895b,1923,,,"[90.9, 31.5]",3920386,62,,,,,-1.1284221,,Right Foot,,,,"[91.8, 29.6]",,Low Pass,2.1023796,,,Incomplete,,Zaidu Sanusi,31949.0,,,,,,2,From Free Kick,Alhassan Yusuf,27434.0,Right Center Midfield,121,Nigeria,775,"['b3ea8f7e-d024-4026-a260-2daa25340fa4', '8bd882c7-bef0-46e7-8f97-4c2b36a8ccff']",32,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:17:32.283,Pass,
,,,,,,,,,,,,,,,,,,1.625791,,,,,,,,,,,,,,25e07c61-0457-49f3-850a-95848c31911b,1929,,,"[85.8, 0.1]",3920386,65,,,,,2.6651251,,,,,,"[76.5, 4.9]",,Low Pass,10.465658,,,,,Frank Onyeka,24467.0,,,,,Throw-in,2,From Throw In,Zaidu Sanusi,31949.0,Left Back,122,Nigeria,775,['770a482e-15ba-4468-9622-831c9e4fac3e'],5,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:20:05.341,Pass,
,,,,,,,,,,,,,,,,,,1.083614,,,,,,,,,,,,,,50575537-51ad-404f-8b72-52db28a462d1,1932,,,"[75.1, 4.8]",3920386,65,,,,,-0.6973908,,Left Foot,,,,"[78.8, 1.7]",,Ground Pass,4.8270073,,,,,Zaidu Sanusi,31949.0,,,,,,2,From Throw In,Frank Onyeka,24467.0,Center Defensive Midfield,122,Nigeria,775,['ea65dd73-055f-4f90-8d42-00b46aace23e'],8,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:20:08.124,Pass,
,,,,,,,,,,,,,,,,,,1.235731,,,,,,,,,,,,,,fd0bc78e-433d-425d-9a28-12eab1a74c0d,1939,,,"[81.5, 0.1]",3920386,65,,,,,0.27038616,,,,,,"[99.9, 5.2]",,Low Pass,19.093716,,,,,Moses Daddy-Ajala Simon,18163.0,,,,,Throw-in,2,From Throw In,Zaidu Sanusi,31949.0,Left Back,123,Nigeria,775,['6a6da7f1-7336-4fc8-b702-73b2b7871b81'],14,,,,,,,,,,,,,,,,,,,,Nigeria,775,00:20:14.185,Pass,
,,,,,,,,,,,,,,,,,,1.592882,,,,,,,,,,,,,,790399b6-8089-4a51-8b7f-d2ad9c341abb,1947,,,"[24.4, 75.9]",3920386,65,,,,,-1.7245039,,Right Foot,,,,"[23.3, 68.8]",,Ground Pass,7.184706,,,,,Federico Bikoro Akieme Nchama,34845.0,,,,,,2,Regular Play,Ibán Salvador Edu,30423.0,Right Wing,124,Equatorial Guinea,4992,['1d01d20e-0f00-43bc-888f-9842ac344eeb'],18,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:20:18.476,Pass,
,,,,,,,,,,,,,,,,,,1.590855,,,,,,,,,,,,,,1fbdb46d-192c-4876-9c59-d3a335093d27,1951,,,"[27.9, 63.9]",3920386,65,,,,,1.8014022,,Left Foot,,,,"[25.2, 75.4]",,Ground Pass,11.812705,,,,,Carlos Akapo Martínez,17618.0,,,,,,2,Regular Play,Federico Bikoro Akieme Nchama,34845.0,Right Defensive Midfield,124,Equatorial Guinea,4992,"['b8e3b1d8-1aa7-4d40-95a0-817a2581e6a1', '96c31112-e525-4455-808d-5ef9bc0449c4']",23,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:20:23.729,Pass,True
,,,,,,,,,,,,,,,,,,1.252514,,,,,,,,,,,,,,1386ca0d-89f7-4de5-91be-273485645541,1955,,,"[26.2, 74.5]",3920386,65,,,,,0.10022175,,Right Foot,,,,"[44.1, 76.3]",,Ground Pass,17.990274,,,,,José Ndong Machín Dicombo,23559.0,,,,,,2,Regular Play,Carlos Akapo Martínez,17618.0,Right Back,124,Equatorial Guinea,4992,"['e792e446-e456-4f8d-a2da-0c6d0990e10e', 'a50c9b1f-10e7-44f5-8e09-0db3fd2d9969']",25,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:20:25.527,Pass,True
,,,,,,,,,,,,,,,,,,0.901167,,,,,,,,,,,,,,892b09af-4b0b-45fa-afe6-36aad8aa9bbc,1958,,,"[42.9, 76.3]",3920386,65,,,,,-1.024811,,Left Foot,,,,"[47.7, 68.4]",,Ground Pass,9.2439165,,,Incomplete,,Ibán Salvador Edu,30423.0,,,,,,2,Regular Play,José Ndong Machín Dicombo,23559.0,Center Attacking Midfield,124,Equatorial Guinea,4992,"['dcbbdb82-9313-4d5f-9c9e-1379eda61442', '90894334-7e24-4784-99ed-30fab7b4b91d']",26,,,,,,,,,,,,,,,,,,,,Equatorial Guinea,4992,00:20:26.819,Pass,
