50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,1.992024,,,,,,,,,,,9f468320-76b4-4f40-b7ea-4dcf62f99ec6,25,,,"[24.1, 49.9]",3922238,0,,,,-2.8108332,,Right Foot,,,"[7.5, 44.2]",,Low Pass,17.551353,,,,Stanley Bobo Nwabali,358410.0,,,,,,1,From Kick Off,William Troost-Ekong,5455.0,Center Back,2,Nigeria,775,['6d40d5b5-8eaf-4871-ad38-d198dc7cd875'],20,,,,,,,,,,,,,,,,Nigeria,775,00:00:20.750,Pass,
,,,,,,,,,,,,,,2.525227,,,,,,,,,,,e140be56-ac3a-4a13-b11b-7f17cade5b15,29,,,"[8.0, 45.1]",3922238,0,,,,-0.376242,,Right Foot,,,"[48.5, 29.1]",,High Pass,43.54595,,Incomplete,,Ademola Lookman,3447.0,,,,,,1,From Kick Off,Stanley Bobo Nwabali,358410.0,Goalkeeper,2,Nigeria,775,"['828d4fec-09d3-4ca6-a2b8-2f6a6d278210', '9408e686-a325-4451-889c-81dcabc7b332']",22,,,,,,,,,,,,,,,,Nigeria,775,00:00:22.902,Pass,
,,,,,,,,,,,,,,2.571175,,,,,,,,,,,c4ec22ef-3820-4c35-b8ad-8eb8b675dae6,35,,,"[69.5, 48.4]",3922238,0,,,,1.9256673,,Left Foot,,,"[62.2, 68.1]",,Ground Pass,21.009047,,,,Jean-Charles Castelletto,7426.0,,,,,Free Kick,1,From Free Kick,André-Frank Zambo Anguissa,3141.0,Right Defensive Midfield,3,Cameroon,2722,['23a6457f-5284-4262-ac2a-5dfc46f44e0f'],33,,,,,,,,,,,,,,,,Cameroon,2722,00:00:33.144,Pass,
,,,,,,,,,,,,,,1.033434,,,,,,,,,,,9c3c3a57-ff5e-438f-b5e2-7d4ddeca7053,38,,,"[62.2, 68.1]",3922238,0,,,,-1.0094218,,Right Foot,,,"[68.3, 58.4]",,Ground Pass,11.458621,,,,André-Frank Zambo Anguissa,3141.0,,,,,,1,From Free Kick,Jean-Charles Castelletto,7426.0,Right Center Back,3,Cameroon,2722,['0a247253-9416-4714-8c24-b985ccecce95'],36,,,,,,,,,,,,,,,,Cameroon,2722,00:00:36.052,Pass,
,,,,,,,,,,,,,,1.516517,,,,,,,,,,,f596b268-0366-4830-8941-ee5b25743fe8,41,,,"[69.3, 58.8]",3922238,0,,,,0.6568591,,Right Foot,,,"[77.6, 65.2]",,Ground Pass,10.480935,,,,Nicolas Moumi Ngamaleu,16015.0,,,,,,1,From Free Kick,André-Frank Zambo Anguissa,3141.0,Right Defensive Midfield,3,Cameroon,2722,"['9384a8d9-78ec-4499-8414-6f53909ecbbc', '6bb48e68-b01e-480b-b583-26bf7fdc5ad1']",37,,,,,,,,,,,,,,,,Cameroon,2722,00:00:37.085,Pass,True
,,,,,,,,,,,,,,0.827132,,,,,,,,,,,75c4c46f-8774-4f5b-a7d0-f4118d33a01d,44,,,"[84.6, 66.1]",3922238,0,,,,2.0229502,,Right Foot,,,"[79.5, 76.6]",,Ground Pass,11.673046,,,,Karl Brillant Toko Ekambi,3551.0,,,,,,1,From Free Kick,Nicolas Moumi Ngamaleu,16015.0,Right Wing Back,3,Cameroon,2722,['a6d68bd7-f7ea-4c81-8559-962e66ec9b34'],39,,,,,,,,,,,,,,,,Cameroon,2722,00:00:39.864,Pass,
,,,,,,,,,,,,,,1.524221,,,,,,,,,,,4fb85da4-098b-4c38-8dfd-6a77b0edfbc6,48,,,"[80.2, 76.8]",3922238,0,,,,-3.0873473,,Right Foot,,,"[58.1, 75.6]",,Ground Pass,22.132555,,,,Jean-Charles Castelletto,7426.0,,,,,,1,From Free Kick,Karl Brillant Toko Ekambi,3551.0,Right Wing,3,Cameroon,2722,"['4bfe026b-f794-4a1e-be13-6282f97156d2', '186284ff-5bb2-492f-9cfc-2c267bb641cf']",41,,,,,,,,,,,,,,,,Cameroon,2722,00:00:41.203,Pass,True
,,,,,,,,,,,,,,1.525344,,,,,,,,,,,444766a7-d96d-4ff4-8176-fb5b22b43c0e,51,,,"[57.4, 74.7]",3922238,0,,,,-1.8756434,,Right Foot,,,"[50.1, 51.5]",,Ground Pass,24.32139,,,,Oumar Gonzalez,28444.0,,,,,,1,From Free Kick,Jean-Charles Castelletto,7426.0,Right Center Back,3,Cameroon,2722,['c8353c88-5249-440c-bcac-c16f8e85007e'],43,,,,,,,,,,,,,,,,Cameroon,2722,00:00:43.623,Pass,
,,,,,,,,,,,,,,2.067592,,,,,,,,,,,ed6a87fa-2c68-44e0-aa0a-fbd074c8b0da,54,,,"[53.6, 54.6]",3922238,0,,,,-1.4522216,,Right Foot,,,"[56.9, 26.9]",,Ground Pass,27.895878,,,,Christopher Wooh,74588.0,,,,,,1,From Free Kick,Oumar Gonzalez,28444.0,Center Back,3,Cameroon,2722,['ef1c1fe5-5c03-4303-8545-0d8c8fc8e249'],46,,,,,,,,,,,,,,,,Cameroon,2722,00:00:46.514,Pass,
,,,,,,,,,,,,,,2.151578,,,,,,,,,,,9bc4e178-b0af-4ea8-bf72-97489aacb285,57,,,"[68.8, 42.5]",3922238,0,,,,1.0875647,,Right Foot,,,"[87.9, 78.9]",,Low Pass,41.10681,,,,Nicolas Moumi Ngamaleu,16015.0,,,,,,1,From Free Kick,Christopher Wooh,74588.0,Left Center Back,3,Cameroon,2722,['4c705d54-c65e-460f-8ff4-627a1e3b880d'],51,,,,,,,,,,,,,,,,Cameroon,2722,00:00:51.422,Pass,
