50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.948275,,,,,,,,,,,,,,f4ee8c16-4dc1-4c30-bfe2-3e46a193b4fa,2297,,"[34.3, 55.5]",3920391,61,,,,,-1.666885,,Right Foot,,,,"[31.1, 22.3]",,Ground Pass,,33.35386,,,,Mothobi Mvala,65732.0,,,,,,2,From Kick Off,Siyanda Xulu,102722.0,Right Center Back,110,South Africa,4976,['a7167dc7-5732-4054-b48a-466ed8c34403'],14,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:16:14.718,Pass,
,,,,,,,,,,,,,,,,,,1.664633,,,,,,,,,,,,,,b326f653-7aef-4a4c-a225-1ce8bc39bf2b,2300,,"[29.0, 23.7]",3920391,61,,,,,2.3592713,,Right Foot,,,,"[12.7, 39.9]",,Ground Pass,,22.98108,,,,Ronwen Williams,66721.0,,,,,,2,From Kick Off,Mothobi Mvala,65732.0,Left Center Back,110,South Africa,4976,['173ba22b-ca59-4a61-9a55-3f50c98ad1da'],17,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:16:17.610,Pass,
,,,,,,,,,,,,,,,,,,2.91818,,,,,,,,,,,,,,9357189c-a426-4a5b-9836-43dcd76562a1,2304,,"[13.3, 41.6]",3920391,61,,,,,0.6378925,,Right Foot,,,,"[62.0, 77.7]",,High Pass,,60.620953,,,,Percy Tau,29367.0,,,,,,2,From Kick Off,Ronwen Williams,66721.0,Goalkeeper,110,South Africa,4976,"['f851742c-23be-4e99-9abb-76ff1109d1fc', 'e1c825d6-8f8a-4e1b-85ea-bd4ed3320741']",20,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:16:20.626,Pass,True
,,,,,,,,,,,,,,,,,,1.093706,,,,,,,,,,,,,,beb313f8-e49f-4a18-8363-34172ea062e5,2307,,"[61.7, 78.2]",3920391,61,,,,,-1.6421038,,Left Foot,,,,"[61.1, 69.8]",,High Pass,,8.421401,,,,Khuliso Johnson Mudau,65719.0,,,,,,2,From Kick Off,Percy Tau,29367.0,Right Midfield,110,South Africa,4976,['4f30e5d5-6253-4666-9ac3-7a05845c2205'],23,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:16:23.584,Pass,
,,,,,,,,,,,,,,,,,,0.944894,,,,,,,,,,,,,,fa094e9c-e0a1-44cf-a51f-4c6605671c4b,2313,,"[48.2, 0.1]",3920391,61,,True,,,0.2564231,,,,,,"[81.0, 8.7]",,High Pass,,33.908703,,Unknown,,,,,,,,Throw-in,2,From Throw In,Falaye Sacko,12557.0,Left Back,111,Mali,4930,,41,,,,,,,,,,,,,,,,,,,,Mali,4930,00:16:41.904,Pass,
,,,,,,,,,,,,,,,,,,2.326766,,,,,,,,,,,,,,b06df40c-a4f2-48a3-9deb-82ed2b110b8d,2316,,"[34.1, 73.1]",3920391,61,,True,,,0.14099371,,Left Foot,,,,"[49.6, 75.3]",,Ground Pass,,15.655351,,,,Khuliso Johnson Mudau,65719.0,,,,,Free Kick,2,From Free Kick,Siyanda Xulu,102722.0,Right Center Back,112,South Africa,4976,['61691463-bbd8-4c5b-8540-0651d3c9d53c'],57,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:16:57.406,Pass,
,,,,,,,,,,,,,,,,,,1.520323,,,,,,,,,,,,,,e4e65ad1-5fb3-4791-9fdf-cc017289788e,2318,,"[48.4, 75.3]",3920391,62,,,,,-2.9408453,,Right Foot,,,,"[31.2, 71.8]",,Ground Pass,,17.552492,,,,Siyanda Xulu,102722.0,,,,,,2,From Free Kick,Khuliso Johnson Mudau,65719.0,Right Back,112,South Africa,4976,['9baa611e-d8b0-4f74-bb46-8ea4148ea1f0'],0,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:17:00.730,Pass,
,,,,,,,,,,,,,,,,,,1.790477,,,,,,,,,,,,,,d2595928-6082-47c4-8416-f853507ea4b0,2321,,"[30.7, 68.9]",3920391,62,,,,,-2.2341876,,Right Foot,,,,"[14.6, 48.3]",,Ground Pass,,26.145172,,,,Ronwen Williams,66721.0,,,,,,2,From Free Kick,Siyanda Xulu,102722.0,Right Center Back,112,South Africa,4976,['9bc04045-27f1-4235-ade5-e28206de9cb4'],3,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:17:03.187,Pass,
,,,,,,,,,,,,,,,,,,1.635588,,,,,,,,,,,,,,0615011b-6fe2-4517-805c-220a7d8e1f70,2324,,"[19.7, 41.3]",3920391,62,,,,,-1.2881179,,Right Foot,,,,"[26.7, 17.2]",,Ground Pass,,25.096016,,,,Mothobi Mvala,65732.0,,,,,,2,From Free Kick,Ronwen Williams,66721.0,Goalkeeper,112,South Africa,4976,['1a2e52e6-adcb-4e93-b4ff-632c57e430cc'],12,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:17:12.705,Pass,
,,,,,,,,,,,,,,,,,,1.99564,,,,,,,,,,,,,,6c77d385-f54f-4768-9958-888023d01e1a,2327,,"[27.0, 16.9]",3920391,62,,,,,2.119577,,Left Foot,,,,"[16.3, 34.4]",,Ground Pass,,20.511948,,,,Ronwen Williams,66721.0,,,,,,2,From Free Kick,Mothobi Mvala,65732.0,Left Center Back,112,South Africa,4976,['d0ca6791-bcdb-4ef5-93c9-07e113a97b57'],16,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:17:16.329,Pass,
,,,,,,,,,,,,,,,,,,1.046888,,,,,,,,,,,,,,5911cdaf-54fe-4860-a4ae-0d5f3e69c2ed,2330,,"[26.4, 32.9]",3920391,62,,,,,0.8850668,,Left Foot,,,,"[31.8, 39.5]",,Ground Pass,,8.527602,,,,Teboho Mokoena,66716.0,,,,,,2,From Free Kick,Ronwen Williams,66721.0,Goalkeeper,112,South Africa,4976,['8040f440-fa1b-4347-a58a-6b92b9ca0b41'],25,,,,,,,,,,,,,,,,,,,,South Africa,4976,00:17:25.118,Pass,
