50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.086031,,,,,,,,,,,,,3f5aa0b8-cdb1-453f-939a-6387ed0b92ab,17,,"[54.1, 75.8]",3920388,0,,,,,-1.9841267,,Right Foot,,,"[46.6, 58.7]",,Ground Pass,,18.67244,,,Kalidou Koulibaly,5675.0,,,,,,,1,From Kick Off,Krépin Diatta,20758.0,Right Back,2,Senegal,787,['fcda4d31-fb61-47d1-9b8e-f2adae36e9e6'],9,,,,,,,,,,,,,,,,,Senegal,787,00:00:09.044,Pass,
,,,,,,,,,,,,,,,1.330505,,,,,,,,,,,,,f194867c-36e4-4011-b0d4-39b23c2301aa,20,,"[49.2, 59.4]",3920388,0,,,,,-1.796984,,Right Foot,,,"[43.7, 35.5]",,Ground Pass,,24.524681,,,Moussa Niakhate,3198.0,,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Right Center Back,2,Senegal,787,['a9e3af79-e9c7-404f-a8ff-a28ebb89e8c5'],11,,,,,,,,,,,,,,,,,Senegal,787,00:00:11.814,Pass,
,,,,,,,,,,,,,,,1.810356,,,,,,,,,,,,,56503332-23d0-4b77-8197-8db18675d2ed,23,,"[48.3, 30.9]",3920388,0,,,,,-1.0753746,,Left Foot,,,"[57.0, 14.8]",,Ground Pass,,18.300274,,,Pape Gueye,21026.0,,,,,,,1,From Kick Off,Moussa Niakhate,3198.0,Left Center Back,2,Senegal,787,['4921af7d-9070-4b72-9213-50f941608f90'],14,,,,,,,,,,,,,,,,,Senegal,787,00:00:14.204,Pass,
,,,,,,,,,,,,,,,0.580398,,,,,,,,,,,,,1c930269-3571-4ef3-bc12-6a5e40447bad,26,,"[64.1, 9.3]",3920388,0,,,,,1.3782947,,Left Foot,,,"[66.4, 21.1]",,Ground Pass,,12.022063,,,Abdou Diallo,8553.0,,,,,,,1,From Kick Off,Pape Gueye,21026.0,Left Center Midfield,2,Senegal,787,['8f5ad012-31f6-43b8-b51d-0589b830d17b'],17,,,,,,,,,,,,,,,,,Senegal,787,00:00:17.130,Pass,
,,,,,,,,,,,,,,,0.671069,,,,,,,,,,,,,4aac9deb-7718-4007-8a70-ee0ed0d3a7a0,28,,"[66.4, 21.1]",3920388,0,,,,,-1.7561443,,Left Foot,,,"[64.9, 13.1]",,Ground Pass,,8.13941,,,Pape Gueye,21026.0,,,,,,,1,From Kick Off,Abdou Diallo,8553.0,Center Defensive Midfield,2,Senegal,787,['884c46fb-b23e-434e-ae05-209f6ad9b449'],17,,,,,,,,,,,,,,,,,Senegal,787,00:00:17.711,Pass,
,,,,,,,,,,,,,,,1.346574,,,,,,,,,,,,,42fda5ea-d8ae-427f-ade1-13f532540f05,31,,"[64.9, 13.1]",3920388,0,,,,,2.543677,,Right Foot,,,"[46.4, 25.7]",,Ground Pass,,22.383253,,,Abdou Diallo,8553.0,,,,,,,1,From Kick Off,Pape Gueye,21026.0,Left Center Midfield,2,Senegal,787,['0fc9297d-147e-4f63-b065-821eaaf048f4'],19,,,,,,,,,,,,,,,,,Senegal,787,00:00:19.170,Pass,
,,,,,,,,,,,,,,,1.641576,,,,,,,,,,,,,a53bc74a-474d-499e-8a96-76ec8e521d4c,34,,"[46.4, 25.7]",3920388,0,,,,,1.1564447,,Left Foot,,,"[55.9, 47.3]",,Ground Pass,,23.596823,,,Kalidou Koulibaly,5675.0,,,,,,,1,From Kick Off,Abdou Diallo,8553.0,Center Defensive Midfield,2,Senegal,787,['c6a0a133-71fb-4bb5-8b1f-4443866bb52b'],21,,,,,,,,,,,,,,,,,Senegal,787,00:00:21.523,Pass,
,,,,,,,,,,,,,,,1.740292,,,,,,,,,,,,,40af18f0-fe68-484c-953e-0c7f34432ece,37,,"[54.9, 47.0]",3920388,0,,,,,-0.5036635,,Right Foot,,,"[97.0, 23.8]",,High Pass,,48.06922,,Incomplete,Sadio Mané,3629.0,,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Right Center Back,2,Senegal,787,"['177f9463-d1e5-4a88-88e9-95920a4fda89', '952424e4-3bce-4283-958f-35ec51072af6']",24,,,,,,,,,,,,,,,,,Senegal,787,00:00:24.547,Pass,
,,,,,,,,,,,,,,,0.98751,,,,,,,,,,,,,f7ceec2b-8595-4e41-8959-bcc07a29238c,42,,"[33.6, 56.8]",3920388,0,,,,,0.80713385,,Left Foot,,,"[42.6, 66.2]",,Ground Pass,,13.013839,,,Yankuba Minteh,307271.0,,,,,,,1,Regular Play,Alasana Manneh,28212.0,Right Center Midfield,3,Gambia,4934,['4e3cc3f1-7151-4f0b-9ba6-bec3734de100'],28,,,,,,,,,,,,,,,,,Gambia,4934,00:00:28.086,Pass,
,,,,,,,,,,,,,,,3.0028,,,,,,,,,,,,,805d3a8b-5f52-4b99-9e13-020803c97ed1,48,,"[48.1, 74.0]",3920388,0,,True,,,-0.17764412,,Right Foot,,,"[99.9, 64.7]",,High Pass,,52.628223,,,Musa Barrow,6988.0,,,,,,Free Kick,1,From Free Kick,Alasana Manneh,28212.0,Right Center Midfield,4,Gambia,4934,['14b96536-d2d5-45f7-9ab1-2391399f54f7'],37,,,,,,,,,,,,,,,,,Gambia,4934,00:00:37.698,Pass,
