50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.696364,,,,,,,,,,,66fa9104-1cbf-4f83-ae17-4125303d1023,698,,,"[5.4, 80.0]",3920399,15,,True,,,-0.8536151,,,,,,"[12.9, 71.4]",,Low Pass,,11.410959,,,Deroy Duarte,8349.0,,,,,Throw-in,1,From Throw In,Steven Moreira,7197.0,Right Back,36,Cape Verde Islands,4924,['dddebafb-93b9-4904-bfcf-9eb6e5e84da4'],42,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:15:42.329,Pass,
,,,,,,,,,,,,,,,,,1.122524,,,,,,,,,,,a00113d6-7601-4a06-8334-abfb3f2b5e87,700,,,"[43.9, 63.9]",3920399,15,,True,,,-1.507298,,Right Foot,,,,"[45.0, 46.6]",,Low Pass,,17.334936,,,Jovane Eduardo Borges Cabral,10598.0,,,,,,1,From Throw In,Deroy Duarte,8349.0,Right Center Midfield,36,Cape Verde Islands,4924,['4e620eb5-11c1-431c-8969-87fdd99f5919'],43,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:15:43.105,Pass,
,,,,,,,,,,,,,,,,,0.619984,,,,,,,,,,,b83a2c11-3673-4bed-b9d9-2f34cd4ff251,702,,,"[48.2, 47.8]",3920399,15,,,,,2.7895484,,Right Foot,,,,"[43.3, 49.6]",,Low Pass,,5.2201533,,,Jamiro Gregory Monteiro Alvarenga,7753.0,,,,,,1,From Throw In,Jovane Eduardo Borges Cabral,10598.0,Left Midfield,36,Cape Verde Islands,4924,['a6de7e21-2f3a-43cb-be68-8dd1c8e008a1'],44,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:15:44.228,Pass,
,,,,,,,,,,,,,,,,,1.101719,,,,,,,,,,,9e6bcaab-fe3c-403e-8c22-e132c70b1d62,705,,,"[45.6, 32.9]",3920399,15,,,,,0.7095207,,Right Foot,,,,"[54.8, 40.8]",,Ground Pass,,12.126417,,,Jovane Eduardo Borges Cabral,10598.0,,,,,,1,From Throw In,Jamiro Gregory Monteiro Alvarenga,7753.0,Left Center Midfield,36,Cape Verde Islands,4924,['05f36fe2-ef05-44bb-a71f-98e3bba01f78'],49,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:15:49.620,Pass,
,,,,,,,,,,,,,,,,,1.210016,,,,,,,,,,,fdd11f1f-cd81-4e4c-a056-3e0af725dbc5,708,,,"[58.9, 45.5]",3920399,15,,,,,0.07500355,,Right Foot,,,,"[76.2, 46.8]",,Ground Pass,,17.348776,Incomplete,,Tiago Manuel Dias Correia,7900.0,,,,,,1,From Throw In,Jovane Eduardo Borges Cabral,10598.0,Left Midfield,36,Cape Verde Islands,4924,"['8c1dc9ea-d23b-47a4-b12e-be2ce85d6405', '6a73a116-b1fe-4211-9a28-e74b35d33319']",52,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:15:52.214,Pass,
,,,,,,,,,,,,,,,,,1.529892,,,,,,,,,,,cb95696d-3a20-424a-904c-2b4bca152751,717,,,"[53.6, 76.7]",3920399,15,,,,,-2.014948,,Left Foot,,,,"[46.7, 62.2]",,Ground Pass,,16.05802,,,Logan Costa,45557.0,,,,,,1,From Throw In,Jovane Eduardo Borges Cabral,10598.0,Left Midfield,36,Cape Verde Islands,4924,"['17f0f88c-6707-4d32-8cbc-228234e2afb3', 'd64c4e25-1d4c-4147-9edc-bea6d05aba49']",59,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:15:59.144,Pass,True
,,,,,,,,,,,,,,,,,0.786998,,,,,,,,,,,7b5c8819-c164-4c3e-b57c-61bd1dec5678,719,,,"[46.7, 62.2]",3920399,16,,,,,0.37298772,,Left Foot,,,,"[55.9, 65.8]",,Ground Pass,,9.8792715,,,Deroy Duarte,8349.0,,,,,,1,From Throw In,Logan Costa,45557.0,Right Center Back,36,Cape Verde Islands,4924,['1b2ea81f-35bb-4a16-b5f9-a7bd3083b5e1'],0,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:16:00.674,Pass,
,,,,,,,,,,,,,,,,,0.833314,,,,,,,,,,,825ee827-8207-4416-81ee-718f99c8e81a,721,,,"[55.9, 66.2]",3920399,16,,,,,-2.7610862,,Right Foot,,,,"[46.9, 62.6]",,Ground Pass,,9.693296,,,Logan Costa,45557.0,,,,,,1,From Throw In,Deroy Duarte,8349.0,Right Center Midfield,36,Cape Verde Islands,4924,['0f7c8505-33d7-4606-bc7a-44303d969492'],1,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:16:01.461,Pass,
,,,,,,,,,,,,,,,,,1.066576,,,,,,,,,,,057da4d5-bbe9-4d6b-a7aa-fe6ed7fc0214,724,,,"[47.1, 60.3]",3920399,16,,,,,-1.3258177,,Right Foot,,,,"[51.4, 43.1]",,Ground Pass,,17.729355,,,Kevin Lenini Gonçalves Pereira de Pina,132800.0,,,,,,1,From Throw In,Logan Costa,45557.0,Right Center Back,36,Cape Verde Islands,4924,['1a6be26a-b728-4e8b-9595-7e5d61aab3e8'],3,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:16:03.032,Pass,
,,,,,,,,,,,,,,,,,0.766371,,,,,,,,,,,b3aabfbf-2a1a-4fb1-9c27-e3c52144cc57,727,,,"[53.3, 36.3]",3920399,16,,,,,-0.23415658,,Right Foot,,,,"[64.2, 33.7]",,Ground Pass,,11.205802,,,Jamiro Gregory Monteiro Alvarenga,7753.0,,,,,,1,From Throw In,Kevin Lenini Gonçalves Pereira de Pina,132800.0,Center Defensive Midfield,36,Cape Verde Islands,4924,['1b1826f0-b52d-4a01-bcc0-9b09965b1037'],5,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:16:05.440,Pass,
