50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.470766,,,,,,,,,,6be2f574-a087-4884-832f-01c9925f45ed,2986,,"[85.4, 25.2]",3920418,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Mbwana Ally Samatta,16548.0,Center Forward,143,Tanzania,4953,,33,,,,,,,,,,,,,,,,Tanzania,4953,00:28:33.155,Pressure,
,,,,,,,,,,,,,,,1.2,,,,,,,,,,0b28d028-d038-4fa0-829a-99ac84a68765,2993,,"[25.4, 71.6]",3920418,73,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Meschak Elia,35684.0,Right Wing,144,Tanzania,4953,"['606dce17-dfa5-4050-8537-76b3f7b16e35', '386bdc58-47e0-47e1-834c-55926f34bcba']",51,,,,,,,,,,,,,,,,Congo DR,4881,00:28:51.979,Pressure,
,,,,,,,,,,,,,,,0.72682,,,,,,,,,,a9c1f99f-0678-4227-b5a0-06f7e3d64ca3,3013,,"[90.6, 68.5]",3920418,74,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mzamiru Yassin,105769.0,Right Defensive Midfield,145,Tanzania,4953,"['df73e63e-9de6-4ea0-a366-c63e1fdf242c', 'e9dcb7fe-397d-4a8c-bdf4-4952b1962404']",40,,,,,,,,,,,,,,,,Tanzania,4953,00:29:40.260,Pressure,
,,,,,,,,,,True,,,,,0.197811,,,,,,,,,,fea0d768-3c84-4782-8502-27ad4be9e583,3016,,"[90.6, 68.5]",3920418,74,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Haji Mnoga,51494.0,Right Wing,146,Congo DR,4881,['df73e63e-9de6-4ea0-a366-c63e1fdf242c'],41,,,,,,,,,,,,,,,,Tanzania,4953,00:29:41.066,Pressure,
,,,,,,,,,,,,,,,0.8,,,,,,,,,,7341e96e-9375-4250-8150-2f411bb7146c,3025,,"[104.7, 71.4]",3920418,75,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Meschak Elia,35684.0,Right Wing,147,Congo DR,4881,['1c9e1d94-35ad-4ec0-9419-b145aeacdf84'],25,,,,,,,,,,,,,,,,Congo DR,4881,00:30:25.665,Pressure,
,,,,,,,,,,True,,,,,0.4,,,,,,,,,,030a1f6b-80bb-4448-8319-710bb0587fff,3029,,"[62.6, 53.8]",3920418,75,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Chancel Mbemba Mangulu,3044.0,Right Center Back,148,Tanzania,4953,"['b909b9de-b908-4883-8f5a-8edef61f617d', 'b7e496d4-f6e4-4f2c-b4c0-75ebc30ffc60']",29,,,,,,,,,,,,,,,,Congo DR,4881,00:30:29.527,Pressure,
,,,,,,,,,,True,,,,,1.2,,,,,,,,,,61e65f2f-b832-4571-85cf-8e3917c8f99b,3066,,"[63.1, 46.7]",3920418,76,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Cédric Bakambu,6862.0,Center Forward,150,Tanzania,4953,"['bd5e102d-c126-42e7-811a-ae81ec5be861', '4940122a-c858-4219-85a5-96a82b867036']",6,,,,,,,,,,,,,,,,Congo DR,4881,00:31:06.620,Pressure,
,,,,,,,,,,,,,,,0.8,,,,,,,,,,824d6406-4e05-42a4-90ba-29bfcdb911d2,3072,,"[50.9, 72.2]",3920418,76,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gedeon Kalulu Kyatengwa,30193.0,Right Back,150,Tanzania,4953,"['09d37224-e3da-43f1-9066-f89ed5ddbcdb', 'de4652f1-a320-48ac-b58e-caced8b57be3']",10,,,,,,,,,,,,,,,,Congo DR,4881,00:31:10.492,Pressure,
,,,,,,,,,,,,,,,2.766762,,,,,,,,,,69ca230a-af3b-4781-89b4-fb1024c7951e,3085,,"[39.2, 21.6]",3920418,76,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Aaron Tshibola,4753.0,Right Defensive Midfield,151,Tanzania,4953,"['baf9c72d-46c7-4bb9-911b-dc0d2f4e0735', '2ac77403-5eb1-4f18-a7b7-ff717aebb958', '4073f93a-c865-4682-a76f-f37e88f143e7']",37,,,,,,,,,,,,,,,,Congo DR,4881,00:31:37.207,Pressure,
,,,,,,,,,,,,,,,0.935221,,,,,,,,,,48e88bb4-0fc0-4d4b-b162-30b8a83a6dd9,3102,,"[50.0, 75.0]",3920418,76,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Gedeon Kalulu Kyatengwa,30193.0,Right Back,151,Tanzania,4953,"['b6072ba1-cc9a-4e02-83fb-b49ba943a73a', '68a7ee31-d6c9-460d-a4d7-1741ed72b033', '48f2e76b-4723-49de-9149-7586f343885c']",52,,,,,,,,,,,,,,,,Congo DR,4881,00:31:52.836,Pressure,
,,,,,,,,,,,,,,,0.86,,,,,,,,,,a1ac2865-28de-4a84-973d-07819ce25d41,3103,,"[57.5, 73.5]",3920418,76,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Meschak Elia,35684.0,Right Wing,151,Tanzania,4953,"['48f2e76b-4723-49de-9149-7586f343885c', '68a7ee31-d6c9-460d-a4d7-1741ed72b033']",53,,,,,,,,,,,,,,,,Congo DR,4881,00:31:53.728,Pressure,
,,,,,,,,,,,,,,,0.325455,,,,,,,,,,ef3d9c3f-34fb-48f0-9df6-970af748dec2,3107,,"[63.6, 5.1]",3920418,76,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Mbwana Ally Samatta,16548.0,Center Forward,151,Tanzania,4953,,54,,,,,,,,,,,,,,,,Tanzania,4953,00:31:54.908,Pressure,
,,,,,,,,,,True,,,,,1.447575,,,,,,,,,,7775c709-7251-4ada-8d95-77a5bc685db4,3111,,"[55.4, 18.4]",3920418,76,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Novatus Dismas Miroshi,136055.0,Left Defensive Midfield,152,Congo DR,4881,"['d8405b81-6b20-4491-b565-a13381442851', '4702d9b9-79d6-4274-886c-3a0ec8df7e24']",57,,,,,,,,,,,,,,,,Tanzania,4953,00:31:57.284,Pressure,
,,,,,,,,,,,,,,,0.192151,,,,,,,,,,451ecb3c-c6d0-4ad2-a392-f98ccfbabb78,3124,,"[12.9, 12.0]",3920418,79,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Simon Happygod Msuva,103270.0,Right Attacking Midfield,154,Congo DR,4881,,9,,,,,,,,,,,,,,,,Tanzania,4953,00:34:09.454,Pressure,
,,,,,,,,,,,,,,,0.344411,,,,,,,,,,9e693edf-12ec-40a6-990a-12a9e3018bcc,3130,,"[18.7, 8.1]",3920418,79,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Simon Happygod Msuva,103270.0,Right Attacking Midfield,154,Congo DR,4881,"['5c473f16-2b47-4cfd-bbd9-bb3f51e80092', 'd9989c51-39c4-4dad-8867-eac55917d215']",10,,,,,,,,,,,,,,,,Tanzania,4953,00:34:10.666,Pressure,
,,,,,,,,,,,,,,,0.530926,,,,,,,,,,bca90d69-50ca-48c0-8c9f-65781e1c4263,3132,,"[8.9, 7.9]",3920418,79,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Mbwana Ally Samatta,16548.0,Left Attacking Midfield,154,Congo DR,4881,"['51c5b0bd-649a-44fa-a1b1-07bd8da45850', 'e3a162e6-7202-4b03-a832-a73c476555b9']",11,,,,,,,,,,,,,,,,Tanzania,4953,00:34:11.656,Pressure,
,,,,,,,,,,,,,,,1.482834,,,,,,,,,,707f9432-f04e-4780-9c70-0db22663457c,3155,,"[34.4, 70.1]",3920418,80,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Haji Mnoga,51494.0,Right Center Back,156,Congo DR,4881,['28c6f69e-f35f-44a3-a800-bf5406dbd931'],3,,,,,,,,,,,,,,,,Tanzania,4953,00:35:03.737,Pressure,
,,,,,,,,,,True,,,,,0.8,,,,,,,,,,9c53d81b-360b-4c5d-b435-477451e1076e,3175,,"[62.2, 18.1]",3920418,80,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Arthur Masuaku,3587.0,Left Back,158,Congo DR,4881,"['4186da02-910f-4adc-871f-d87434633fe5', '6f4bc9c9-2bdd-4f9b-a162-af96de9f8dd1']",54,,,,,,,,,,,,,,,,Congo DR,4881,00:35:54.112,Pressure,
,,,,,,,,,,,,,,,2.106428,,,,,,,,,,ff4abb8f-ae7f-4dfa-b51b-ba6dc0ab85db,3182,,"[26.4, 6.5]",3920418,81,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Mohamed Hussein Mohamed,105766.0,Left Wing Back,159,Congo DR,4881,"['f77ecd8e-4146-47a0-ad00-e57d26233abf', '552abbac-d84a-4aad-8887-eb12ce49d21b']",16,,,,,,,,,,,,,,,,Tanzania,4953,00:36:16.696,Pressure,
,,,,,,,,,,True,,,,,1.2,,,,,,,,,,94b1ba40-9946-4359-a5aa-0f11669148ee,3187,,"[89.2, 69.1]",3920418,81,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Gaël Kakuta,3130.0,Center Attacking Midfield,159,Congo DR,4881,"['6d54a0de-54fd-4796-a91a-4fb49c19fb15', '4952e716-975f-4654-8faf-8c7029a0b622']",21,,,,,,,,,,,,,,,,Congo DR,4881,00:36:21.109,Pressure,
,,,,,,,,,,,,,,,1.357161,,,,,,,,,,36c66a30-d06d-452d-900a-eb90c19a4d1d,3201,,"[112.3, 47.9]",3920418,83,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Cédric Bakambu,6862.0,Center Forward,160,Congo DR,4881,"['1ce07fde-1eaa-455b-b703-7f24831cd7f1', 'b3a55358-0280-41e6-8714-652ebc9a3b96']",20,,,,,,,,,,,,,,,,Congo DR,4881,00:38:20.693,Pressure,
,,,,,,,,,,True,,,,,0.462063,,,,,,,,,,121dbb5b-7304-49e0-95ef-2f7bd530ef0c,3232,,"[58.4, 26.2]",3920418,84,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Mzamiru Yassin,105769.0,Right Defensive Midfield,163,Congo DR,4881,,51,,,,,,,,,,,,,,,,Tanzania,4953,00:39:51.488,Pressure,
,,,,,,,,,,,,,,,0.845597,,,,,,,,,,d471b651-54fe-4765-a907-70dc35f69b01,3243,,"[48.7, 72.6]",3920418,86,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Morice Michael Abraham,138493.0,Right Attacking Midfield,164,Congo DR,4881,['68027b9e-212d-4e8a-b71f-feb8e5155c7f'],2,,,,,,,,,,,,,,,,Tanzania,4953,00:41:02.420,Pressure,
,,,,,,,,,,,,,,,0.469426,,,,,,,,,,a61e8016-a3f0-4caa-9b55-52e742b55af1,3262,,"[73.4, 48.1]",3920418,86,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Denis Kibu,145622.0,Center Forward,165,Congo DR,4881,"['03f3c2df-6ecd-4b97-a0b8-4de8f01edb73', 'c056c319-f0a2-4d73-bfd0-2d885294d61a']",58,,,,,,,,,,,,,,,,Tanzania,4953,00:41:58.083,Pressure,
