50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.405449,,,,,,,,,,06c55559-18bb-42de-9572-8189c1e1d84f,19,,,"[66.9, 6.6]",3920416,0,,,,,2.7901478,,Left Foot,,,"[63.9, 7.7]",Ground Pass,,3.1953092,,,,,Percy Tau,29367.0,,,,,,1,From Kick Off,Evidence Makgopa,65853.0,Center Forward,2,South Africa,4976,['b48c61d5-be49-4fd7-b67e-90fd6f76fafb'],10,,,,,,,,,,,,,,,,South Africa,4976,00:00:10.085,Pass,
,,,,,,,,,,,,,,,,,,0.683858,,,,,,,,,,8cbc08b4-7246-45ac-ae39-2f04b68ceead,23,,,"[63.9, 7.5]",3920416,0,,,,,-0.90975314,,Left Foot,,,"[67.4, 3.0]",Ground Pass,,5.700877,,,,,Evidence Makgopa,65853.0,,,,,,1,From Kick Off,Percy Tau,29367.0,Left Wing,2,South Africa,4976,"['13003258-4bea-4ce7-b04b-2c1754cee2c7', '292454e8-9993-4f99-b319-c87097843248']",11,,,,,,,,,,,,,,,,South Africa,4976,00:00:11.182,Pass,True
,,,,,,,,,,,,,,,,,,2.974516,,,,,,,,,,ca56957d-b89b-4c30-b407-d4c6a145304d,29,,,"[50.7, 80.0]",3920416,0,,,,,-2.3943439,,,,,"[30.3, 61.1]",Low Pass,,27.80953,,,,,Yassine Meriah,5651.0,,,,,Throw-in,1,From Throw In,Wajdi Kechrida,105944.0,Right Back,3,Tunisia,777,['c5d74dde-fca6-4648-8d15-c069b3263d6c'],18,,,,,,,,,,,,,,,,Tunisia,777,00:00:18.431,Pass,
,,,,,,,,,,,,,,,,,,1.536098,,,,,,,,,,4d198fd5-9151-426e-895b-186a164a1be1,32,,,"[29.4, 61.1]",3920416,0,,,,,-1.5775303,,Right Foot,,,"[29.2, 31.4]",Ground Pass,,29.700674,,,,,Montassar Omar Talbi,32450.0,,,,,,1,From Throw In,Yassine Meriah,5651.0,Right Center Back,3,Tunisia,777,['8bdb656a-88ac-4d4c-9762-dd03584afe2c'],23,,,,,,,,,,,,,,,,Tunisia,777,00:00:23.154,Pass,
,,,,,,,,,,,,,,,,,,1.149506,,,,,,,,,,39471e87-d599-4bd4-860d-6bc899d3d711,35,,,"[35.4, 28.2]",3920416,0,,,,,-0.12219517,,Right Foot,,,"[46.8, 26.8]",Ground Pass,,11.485643,,,,,Aïssa Bilal Laïdouni,44955.0,,,,,,1,From Throw In,Montassar Omar Talbi,32450.0,Left Center Back,3,Tunisia,777,['2a979d6a-ff10-4bde-91e1-99820003ba35'],26,,,,,,,,,,,,,,,,Tunisia,777,00:00:26.100,Pass,
,,,,,,,,,,,,,,,,,,1.886575,,,,,,,,,,e6f06f79-da5d-4e9b-bde5-359d33556543,38,,,"[44.3, 26.8]",3920416,0,,,,,1.9127948,,Right Foot,,,"[33.3, 57.7]",Ground Pass,,32.79954,,,,,Yassine Meriah,5651.0,,,,,,1,From Throw In,Aïssa Bilal Laïdouni,44955.0,Left Defensive Midfield,3,Tunisia,777,['b6dfd792-f806-4f8d-88ee-3aa84d8a60d1'],28,,,,,,,,,,,,,,,,Tunisia,777,00:00:28.007,Pass,
,,,,,,,,,,,,,,,,,,2.214678,,,,,,,,,,01de2bbc-542d-4f31-aa3a-7adf2c01a2d2,41,,,"[36.7, 57.5]",3920416,0,,,,,-1.4220327,,Right Foot,,,"[42.5, 18.8]",Ground Pass,,39.132214,,,,,Aïssa Bilal Laïdouni,44955.0,,,,,,1,From Throw In,Yassine Meriah,5651.0,Right Center Back,3,Tunisia,777,['e4224588-0a2b-4971-896f-f6f64f00cae6'],31,,,,,,,,,,,,,,,,Tunisia,777,00:00:31.950,Pass,
,,,,,,,,,,,,,,,,,,1.639594,,,,,,,,,,ff311dd5-88fe-49a0-b6cf-64eeb64e21fa,43,,,"[42.5, 18.8]",3920416,0,,,,,2.4468544,,Right Foot,,,"[35.3, 24.8]",Ground Pass,,9.372299,,,,,Montassar Omar Talbi,32450.0,,,,,,1,From Throw In,Aïssa Bilal Laïdouni,44955.0,Left Defensive Midfield,3,Tunisia,777,['25698e04-a72d-4473-9c6f-ece95be851d9'],34,,,,,,,,,,,,,,,,Tunisia,777,00:00:34.164,Pass,
,,,,,,,,,,,,,,,,,,1.500554,,,,,,,,,,a8ed10e8-f33b-43a4-a891-1a291ea95702,46,,,"[39.5, 35.5]",3920416,0,,,,,1.9964875,,Right Foot,,,"[32.2, 51.6]",Ground Pass,,17.67767,,,,,Yassine Meriah,5651.0,,,,,,1,From Throw In,Montassar Omar Talbi,32450.0,Left Center Back,3,Tunisia,777,['416e6b53-b1ff-440b-bd26-1db3dec70cd6'],40,,,,,,,,,,,,,,,,Tunisia,777,00:00:40.843,Pass,
,,,,,,,,,,,,,,,,,,1.903314,,,,,,,,,,1e39b731-7b19-47b1-9274-965a3adf4863,49,,,"[38.8, 53.1]",3920416,0,,,,,1.1671624,,Left Foot,,,"[47.0, 72.3]",Ground Pass,,20.877739,,,,,Wajdi Kechrida,105944.0,,,,,,1,From Throw In,Yassine Meriah,5651.0,Right Center Back,3,Tunisia,777,['0875ab26-ce5b-4617-95d9-741f28d4128b'],44,,,,,,,,,,,,,,,,Tunisia,777,00:00:44.319,Pass,
