50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.090175,,,,,,,,,,,d5f3be41-e0cb-43d7-bb6e-56993c8a2042,19,,"[59.0, 80.0]",3920404,0,,,,,-0.67026335,,,,,,"[67.2, 73.5]",,Low Pass,,10.463747,,,Anis Ben Slimane,35592.0,,,,,Throw-in,1,From Throw In,Wajdi Kechrida,105944.0,Right Back,3,Tunisia,777,['84170ad2-49ae-4f56-85f3-7e5939944db3'],21,,,,,,,,,,,,,,,,Tunisia,777,00:00:21.221,Pass,
,,,,,,,,,,,,,,,1.013684,,,,,,,,,,,0569654b-c8c2-4ea8-af62-e24feac6eaae,27,,"[71.6, 77.7]",3920404,0,,,,,-0.66639787,,Right Foot,,,,"[81.9, 69.6]",,Ground Pass,,13.103435,,,Youssef Msakni,23910.0,,,,,,1,From Throw In,Anis Ben Slimane,35592.0,Left Center Forward,3,Tunisia,777,['0b5f98e9-f8cd-4534-adbd-90e45bd6842c'],24,,,,,,,,,,,,,,,,Tunisia,777,00:00:24.355,Pass,
,,,,,,,,,,,,,,,0.627167,,,,,,,,,,,8eabe53e-2580-41c9-b3c3-ce30939a1f59,31,,"[80.3, 71.9]",3920404,0,,,,,1.9431947,,Right Foot,,,,"[77.8, 78.3]",,Ground Pass,,6.8709536,,,Anis Ben Slimane,35592.0,,,,,,1,From Throw In,Youssef Msakni,23910.0,Right Center Forward,3,Tunisia,777,"['63c02b51-d58a-4012-9de8-d1820574bbf1', 'd825ec51-4f90-4fd1-a151-a4550c3e5da6']",26,,,,,,,,,,,,,,,,Tunisia,777,00:00:26.721,Pass,True
,,,,,,,,,,,,,,,0.988575,,,,,,,,,,,de675f27-b407-45b5-ba0b-f90a1589b082,35,,"[77.5, 76.8]",3920404,0,,,,,-2.273457,,Right Foot,,,,"[68.1, 65.7]",,Ground Pass,,14.545446,,,Ellyes Joris Skhiri,3767.0,,,,,,1,From Throw In,Anis Ben Slimane,35592.0,Left Center Forward,3,Tunisia,777,['6b73054a-8dc8-4422-b978-0107af698b42'],28,,,,,,,,,,,,,,,,Tunisia,777,00:00:28.426,Pass,
,,,,,,,,,,,,,,,2.291141,,,,,,,,,,,c2c1885e-e1e3-4ebb-a136-d3844238ab6c,38,,"[65.8, 60.1]",3920404,0,,,,,-1.9677815,,Right Foot,,,,"[53.6, 31.0]",,Ground Pass,,31.553923,,,Montassar Omar Talbi,32450.0,,,,,,1,From Throw In,Ellyes Joris Skhiri,3767.0,Right Defensive Midfield,3,Tunisia,777,['974a9422-8496-41eb-8219-306fb84fb29e'],30,,,,,,,,,,,,,,,,Tunisia,777,00:00:30.312,Pass,
,,,,,,,,,,,,,,,2.169383,,,,,,,,,,,2de0f06a-b710-46f1-9ac9-e61d4b9bc979,41,,"[57.3, 29.6]",3920404,0,,,,,-1.0877192,,Right Foot,,,,"[71.2, 3.1]",,Ground Pass,,29.924238,,,Ali Abdi,30681.0,,,,,,1,From Throw In,Montassar Omar Talbi,32450.0,Left Center Back,3,Tunisia,777,['a5158f07-a5d0-4b08-9769-d21ef2618f1e'],34,,,,,,,,,,,,,,,,Tunisia,777,00:00:34.022,Pass,
,,,,,,,,,,,,,,,0.377805,,,,,,,,,,,ef6b3bdc-41d4-472d-bb02-2c1e9375e5c6,43,,"[71.5, 3.5]",3920404,0,,,,,0.31249157,,Left Foot,,,,"[78.0, 5.6]",,Ground Pass,,6.8308125,Incomplete,,Mohamed Elias Achouri,132461.0,,,,,,1,From Throw In,Ali Abdi,30681.0,Left Back,3,Tunisia,777,"['186df1dc-c053-498e-976c-ce5c2e50fa51', '408c5ede-5f44-4b65-8ec8-43269930d340']",36,,,,,,,,,,,,,,,,Tunisia,777,00:00:36.191,Pass,
,,,,,,,,,,,,,,,1.303523,,,,,,,,,,,4b63ab12-4a07-42bd-bc79-54ad5baff974,46,,"[78.6, 0.1]",3920404,0,,,,,0.33402824,,,,,,"[100.5, 7.7]",,High Pass,,23.181242,,,Anis Ben Slimane,35592.0,,,,,Throw-in,1,From Throw In,Ali Abdi,30681.0,Left Back,4,Tunisia,777,['e7fb77e2-c4f6-4b19-a16e-cf0ca7225eb4'],45,,,,,,,,,,,,,,,,Tunisia,777,00:00:45.778,Pass,
,,,,,,,,,,,,,,,1.250567,,,,,,,,,,,dc04b09d-a83a-4582-9f23-557a75772f81,52,,"[104.0, 8.9]",3920404,1,,,,,1.1517289,,Right Foot,True,,,"[118.7, 41.9]",,High Pass,,36.12603,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Anis Ben Slimane,35592.0,Left Center Forward,5,Tunisia,777,['9de1cdf9-c103-4f94-9b9f-59c23083dc98'],34,,,,,,,,,,,,,,,,Tunisia,777,00:01:34.016,Pass,
,,,,,,,,,,,,,,,1.249894,,,,,,,,,,,8ddf731d-f637-4616-b541-ea5546aa4000,57,,"[10.7, 3.3]",3920404,1,,,,,1.5147802,,Right Foot,,,,"[11.3, 14.0]",,Ground Pass,,10.716809,,,Falaye Sacko,12557.0,,,,,,1,Regular Play,Hamari Traoré,3248.0,Right Back,6,Mali,4930,"['bbd8720e-b808-408c-8ee9-d79b8f1df740', '6cd59e82-2473-430b-95b3-f0e4ae36e3a0']",41,,,,,,,,,,,,,,,,Mali,4930,00:01:41.029,Pass,True
