50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.491422,,,,,,,,,,,2c0fb4cb-ad76-458d-8fbb-54669e36e111,18,,,"[78.8, 2.5]",3920411,0,,,,0.8647017,,Right Foot,,,"[92.7, 18.8]",,Low Pass,,21.421951,,Incomplete,,Gilson Benchimol Tavares,105936.0,,,,,,,1,From Kick Off,Garry Mendes Rodrigues,16001.0,Left Midfield,2,Cape Verde Islands,4924,"['4bacf77b-9851-45c9-9e2f-b4cd242fdedf', 'a12895d4-24bb-4839-8761-4e6cc87824c4', 'dd1b901d-11fe-4b5d-acb1-fe2d8782a41e']",13,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:13.352,Pass,True
,,,,,,,,,,,,,,,,,,2.101122,,,,,,,,,,,dd1b901d-11fe-4b5d-acb1-fe2d8782a41e,20,,,"[27.4, 61.3]",3920411,0,,,,-2.4854434,,Right Foot,,,"[6.1, 44.9]",,Ground Pass,,26.88215,,,,Mohamed El Sayed Mohamed El Shenawy Gomaa,5265.0,,,,,,Recovery,1,Regular Play,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,Right Center Back,3,Egypt,774,"['80390c6b-3121-4b6d-90c1-6bbeb4a24b41', '2c0fb4cb-ad76-458d-8fbb-54669e36e111']",15,,,,,,,,,,,,,,,,,Egypt,774,00:00:15.844,Pass,
,,,,,,,,,,,,,,,,,,1.334887,,,,,,,,,,,b9d2f810-e5f7-4082-9eaf-df09c23e3cf0,24,,,"[5.6, 45.2]",3920411,0,,,,0.35621965,,Right Foot,,,"[22.8, 51.6]",,Ground Pass,,18.352112,,,,Marwan Attia Fahim Ghallab,70682.0,,,,,,,1,Regular Play,Mohamed El Sayed Mohamed El Shenawy Gomaa,5265.0,Goalkeeper,3,Egypt,774,"['ce627248-eafe-46c0-b3fe-bc3ced879761', '25a77867-dbcd-4a34-84ab-c3e5805eb246']",18,,,,,,,,,,,,,,,,,Egypt,774,00:00:18.623,Pass,True
,,,,,,,,,,,,,,,,,,2.289491,,,,,,,,,,,c6cdfeb2-cf1e-488f-96f9-68d4c29a2c1d,27,,,"[23.4, 51.9]",3920411,0,,,,1.0636978,,Right Foot,,,"[36.9, 76.2]",,Ground Pass,,27.7982,,,,Mohamed Hany Gamal Eldemerdash,66892.0,,,,,,,1,Regular Play,Marwan Attia Fahim Ghallab,70682.0,Center Defensive Midfield,3,Egypt,774,"['d7d8c544-8b16-403a-bcef-a931741f09d0', 'd2eef896-0dbe-4b7c-881c-895c8e634b7e']",19,,,,,,,,,,,,,,,,,Egypt,774,00:00:19.958,Pass,True
,,,,,,,,,,,,,,,,,,1.853818,,,,,,,,,,,a5a513b9-1cb2-40fb-ba70-6594b21cb8fe,31,,,"[40.4, 77.8]",3920411,0,,,,-0.09148702,,Right Foot,,,"[73.1, 74.8]",,High Pass,,32.837326,,,,Ahmed Sayed,66878.0,,,,,,,1,Regular Play,Mohamed Hany Gamal Eldemerdash,66892.0,Right Back,3,Egypt,774,"['6b2cba29-08af-4c99-81d3-5713fc8b47d1', '5b6956f7-c1cb-466d-b73d-570c9cffc6e1']",23,,,,,,,,,,,,,,,,,Egypt,774,00:00:23.321,Pass,True
,,,,,,,,,,,,,,,,,,0.631132,,,,,,,,,,,d374f506-d643-4d19-b39c-91363d99e98e,34,,,"[82.1, 63.8]",3920411,0,,,,-0.27988067,,Right Foot,,,"[98.8, 59.0]",,Low Pass,,17.376133,,Incomplete,,Mostafa Mohamed Ahmed Abdallah,66886.0,,,,,,,1,Regular Play,Ahmed Sayed,66878.0,Right Wing,3,Egypt,774,"['177da530-bf33-4cef-a846-94adbce43fde', '8e04258f-fb15-41bb-b6ac-e01b697d00d7']",29,,,,,,,,,,,,,,,,,Egypt,774,00:00:29.221,Pass,
,,,,,,,,,,,,,,,,,,2.199995,,,,,,,,,,,4fcccfbc-fdba-48c2-85e9-5be84bf158e4,41,,,"[6.0, 39.7]",3920411,0,True,,,0.059252594,,Right Foot,,,"[17.8, 40.4]",,Ground Pass,,11.8207445,,,,Logan Costa,45557.0,,,,,,Goal Kick,1,From Goal Kick,Josimar José Évora Dias,105932.0,Goalkeeper,4,Cape Verde Islands,4924,['a03657ee-c339-473a-bd59-5cf06f78662e'],55,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:55.065,Pass,
,,,,,,,,,,,,,,,,,,1.839996,,,,,,,,,,,d1a0cf98-3121-4d9f-a686-e535bb642fa1,43,,,"[19.8, 43.4]",3920411,0,,,,-1.3407935,,Right Foot,,,"[24.6, 22.9]",,Ground Pass,,21.054453,,,,Edilson Alberto Monteiro Sanches Borges,105931.0,,,,,,,1,From Goal Kick,Logan Costa,45557.0,Right Center Back,4,Cape Verde Islands,4924,['f1f7c22e-8fd5-4b5b-8316-738f1d3a9159'],59,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:59.898,Pass,
,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,42a9ec95-6c96-4cc1-a45e-7a76ea2634f5,46,,,"[25.4, 23.1]",3920411,1,,,,2.2794225,,Left Foot,,,"[7.4, 44.1]",,Ground Pass,,27.658634,,,,Josimar José Évora Dias,105932.0,,,,,,,1,From Goal Kick,Edilson Alberto Monteiro Sanches Borges,105931.0,Left Center Back,4,Cape Verde Islands,4924,['403f8d6b-06da-4925-9737-f53956635bd6'],3,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:01:03.258,Pass,
,,,,,,,,,,,,,,,,,,2.84,,,,,,,,,,,2fd9a82f-177d-4df5-9b78-70d895ac23d2,50,,,"[8.2, 44.7]",3920411,1,,,,0.81065285,,Right Foot,,,"[41.0, 79.2]",,High Pass,,47.603466,,Out,,Ryan Isaac Mendes da Graça,40485.0,,,,,,,1,From Goal Kick,Josimar José Évora Dias,105932.0,Goalkeeper,4,Cape Verde Islands,4924,"['9fddc523-e0c6-448e-acda-e49b1cd64996', 'd1fad068-ddda-455d-86ea-5c5c4a5e8794']",6,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:01:06.770,Pass,True
,,,,,,,,,,,,,,,,,,1.397249,,,,,,,,,,,12ecf06d-9eaa-41b4-8a87-32c8a6dcafd8,52,,,"[87.8, 0.1]",3920411,1,,,,0.5535335,,,,,"[105.6, 11.1]",,Low Pass,,20.924627,,,,Mostafa Mohamed Ahmed Abdallah,66886.0,,,,,,Throw-in,1,From Throw In,Ahmed Mohamed Abo El Fotouh Mohamed,67737.0,Left Back,5,Egypt,774,['bee29955-09dd-45ff-b334-a5c9c7a199e6'],21,,,,,,,,,,,,,,,,,Egypt,774,00:01:21.617,Pass,
,,,,,,,,,,,,,,,,,,1.140894,,,,,,,,,,,39e8a42e-6a9e-4b88-8061-ea2b169a1bb3,58,,,"[106.2, 12.3]",3920411,2,,,,1.8909155,,Right Foot,,,"[100.1, 30.7]",,Ground Pass,,19.384789,,,,Omar Marmoush,40761.0,,,,,,Free Kick,1,From Free Kick,Ahmed Sayed,66878.0,Right Wing,6,Egypt,774,['257259b5-ae21-43f2-973d-be10f266330d'],2,,,,,,,,,,,,,,,,,Egypt,774,00:02:02.839,Pass,
,,,,,,,,,,,,,,,,,,1.581888,,,,,,,,,,,da56a107-7894-46c2-b8a9-70e7ce2a2b90,62,,,"[102.1, 36.7]",3920411,2,,,,1.9949907,,Right Foot,,,"[97.9, 46.0]",,Ground Pass,,10.204411,,Incomplete,,,,,,,,,,1,From Free Kick,Omar Marmoush,40761.0,Left Wing,6,Egypt,774,['e5096597-747c-4368-8e82-0892c25cfa3b'],5,,,,,,,,,,,,,,,,,Egypt,774,00:02:05.021,Pass,
,,,,,,,,,,,,,,,,,,0.475867,,,,,,,,,,,96ff1da2-355d-47da-a9c5-7a6909e4d3de,71,,,"[66.4, 80.0]",3920411,2,True,,,-1.8925469,,,,,"[64.2, 73.4]",,Low Pass,,6.9570107,,,,Marwan Attia Fahim Ghallab,70682.0,,,,,,Throw-in,1,From Throw In,Mohamed Hany Gamal Eldemerdash,66892.0,Right Back,7,Egypt,774,['c05bbaa6-eda7-4783-b80e-b9fe82e6b045'],17,,,,,,,,,,,,,,,,,Egypt,774,00:02:17.487,Pass,
,,,,,,,,,,,,,,,,,,2.319077,,,,,,,,,,,ea6f62a6-7918-4cce-9b77-778212d832a4,73,,,"[64.2, 72.6]",3920411,2,,,,-2.634961,,Right Foot,,,"[46.0, 62.5]",,Ground Pass,,20.81466,,,,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,,,,,,,1,From Throw In,Marwan Attia Fahim Ghallab,70682.0,Center Defensive Midfield,7,Egypt,774,['272a36ca-836a-4c9f-9f0f-f4617ba0b378'],18,,,,,,,,,,,,,,,,,Egypt,774,00:02:18.091,Pass,
,,,,,,,,,,,,,,,,,,1.366882,,,,,,,,,,,fcabfb45-e21f-4f58-a07f-fac9706c6bc0,77,,,"[47.3, 62.2]",3920411,2,,,,1.4070581,,Left Foot,,,"[49.2, 73.7]",,Ground Pass,,11.6559,,,,Mohamed Hany Gamal Eldemerdash,66892.0,,,,,,,1,From Throw In,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,Right Center Back,7,Egypt,774,"['cceeb609-4421-468d-9572-1eb9a0cf79e2', 'd595df7a-a7dc-496f-a6f1-7ef7899fde1e']",21,,,,,,,,,,,,,,,,,Egypt,774,00:02:21.089,Pass,True
,,,,,,,,,,,,,,,,,,1.68286,,,,,,,,,,,b64327a3-0abc-48ad-abce-fdb3a77cdc95,80,,,"[49.4, 72.1]",3920411,2,,,,-2.4614947,,Right Foot,,,"[35.8, 61.1]",,Ground Pass,,17.491713,,,,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,,,,,,,1,From Throw In,Mohamed Hany Gamal Eldemerdash,66892.0,Right Back,7,Egypt,774,['a6f63c73-e598-4091-a381-0c91a4195f43'],24,,,,,,,,,,,,,,,,,Egypt,774,00:02:24.253,Pass,
,,,,,,,,,,,,,,,,,,1.821913,,,,,,,,,,,b2e57a97-7108-4b8e-9c5f-a81c297741b1,83,,,"[34.7, 60.6]",3920411,2,,,,-1.521575,,Right Foot,,,"[35.7, 40.3]",,Ground Pass,,20.324615,,,,Mohamed Abdelmonem,69563.0,,,,,,,1,From Throw In,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,Right Center Back,7,Egypt,774,['9a8d9f80-9dda-43fa-ad3d-5e57dd10233e'],26,,,,,,,,,,,,,,,,,Egypt,774,00:02:26.987,Pass,
,,,,,,,,,,,,,,,,,,1.393635,,,,,,,,,,,f8c8de28-4a05-4cf3-a82d-2d70443c10a9,86,,,"[38.5, 36.7]",3920411,2,,,,-0.34724078,,Left Foot,,,"[49.0, 32.9]",,Ground Pass,,11.166468,,,,Marwan Attia Fahim Ghallab,70682.0,,,,,,,1,From Throw In,Mohamed Abdelmonem,69563.0,Left Center Back,7,Egypt,774,['5e451648-6a70-469b-9374-8b84130ecfdc'],30,,,,,,,,,,,,,,,,,Egypt,774,00:02:30.707,Pass,
,,,,,,,,,,,,,,,,,,1.220589,,,,,,,,,,,bbbd5a82-ad97-4981-90f5-bc481cd89778,89,,,"[52.0, 26.7]",3920411,2,,,,-1.4913619,,Right Foot,,,"[53.6, 6.6]",,Ground Pass,,20.163582,,,,Ahmed Mohamed Abo El Fotouh Mohamed,67737.0,,,,,,,1,From Throw In,Marwan Attia Fahim Ghallab,70682.0,Center Defensive Midfield,7,Egypt,774,['e6979ddc-f193-4ac2-8a6c-dcc2d7c01e27'],33,,,,,,,,,,,,,,,,,Egypt,774,00:02:33.219,Pass,
