50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[105.9, 9.6]",,,,,,,,,,,,2.845833,,,,,,,,,,,,,84b3acb8-7eea-45f7-af7f-c20da00df3fb,2563,,,"[95.9, 7.2]",3923881,91,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Moses Daddy-Ajala Simon,18163.0,Left Wing,155,Nigeria,775,"['5921d637-dbc0-4772-9879-19c160803de7', '7759a089-0eb5-4bd3-be71-a1e07a5251fb']",8,,,,,,,,,,,,,,,,,Nigeria,775,00:46:08.328,Carry,
,,,,,,"[93.3, 2.8]",,,,,,,,,,,,0.864426,,,,,,,,,,,,,6ea3afbb-e2b6-4a1f-80bc-437de344e235,2573,,,"[92.3, 2.8]",3923881,92,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Temitayo Olufisayo Olaoluwa Aina,11492.0,Right Back,156,Nigeria,775,"['b4dfdab8-5c91-4258-bc0b-6ae0ecaa2842', 'd4d5f1b4-a693-4a79-9d8e-2402c65ad9a3', '1679eaa2-a2b3-4b34-b181-7880e71165c9', 'f703bcb1-c297-4b34-bcfe-ce08492fb007']",1,,,,,,,,,,,,,,,,,Nigeria,775,00:47:01.721,Carry,True
,,,,,,"[57.1, 43.1]",,,,,,,,,,,,7.28,,,,,,,,,,,,,5ee1cd5b-bb8a-4b42-8c8e-edd60629cc3b,2581,,,"[36.3, 37.7]",3923881,92,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Stanley Bobo Nwabali,358410.0,Goalkeeper,157,Nigeria,775,"['8bb98f28-91fd-4505-8f77-f69ca745fe0a', 'af9fa52a-dab5-4be7-acba-26277d4b85ad']",46,,,,,,,,,,,,,,,,,Nigeria,775,00:47:46.957,Carry,
,,,,,,"[103.8, 35.9]",,,,,,,,,,,,0.12,,,,,,,,,,,,,8040fe2e-bd9e-45b1-b1f1-4d8d9cabfc03,2590,,,"[103.8, 35.9]",3923881,93,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Oluwasemilogo Adesewo Ibidapo Ajayi,3923.0,Right Center Back,157,Nigeria,775,"['cd1ab8b6-f9b0-4626-8778-040935711ae2', '4d78242f-35b0-4379-893e-dcd89c0d44eb']",1,,,,,,,,,,,,,,,,,Nigeria,775,00:48:01.069,Carry,
,,,,,,"[80.9, 52.5]",,,,,,,,,,,,4.298811,,,,,,,,,,,,,bd0a2be2-d2be-446a-87af-739084a3a01e,2594,,,"[54.3, 72.4]",3923881,93,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Oumar Diakité,212489.0,Right Wing,158,Côte d'Ivoire,3374,"['78c9387a-39c0-4c27-8cb0-b22d2b828dee', '9ce471aa-a966-4f73-8d5e-ec995c307c81']",5,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:48:05.550,Carry,
,,,,,,"[92.2, 75.7]",,,,,,,,,,,,2.568546,,,,,,,,,,,,,17c61505-e266-4f58-aa34-da0d988dab63,2599,,,"[84.9, 68.2]",3923881,93,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jean Thierry Lazare Amani,23957.0,Right Center Midfield,158,Côte d'Ivoire,3374,"['2db030a7-97e2-43f2-bf2d-211981662e49', '2db67a9f-acb0-4e57-abcd-7db46fead16d', '95eb52c7-de2e-4c64-a0aa-1a3df06df09a']",12,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:48:12.215,Carry,True
,,,,,,"[100.9, 76.7]",,,,,,,,,,,,8.959953,,,,,,,,,,,,,ac775bdc-ab94-4414-a8b0-cc68fe3ade00,2606,,,"[97.6, 67.6]",3923881,93,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jean-Philippe Krasso,43072.0,Center Forward,159,Côte d'Ivoire,3374,"['38a0b2ac-f1d5-4a9d-b25f-5442edc94c25', '69fa6c4d-9e76-4850-ae09-8502f56242a6', '6832114d-ca59-42ff-a556-8ed5a1c0782e']",39,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:48:39.665,Carry,True
,,,,,,"[111.1, 75.6]",,,,,,,,,,,,1.895835,,,,,,,,,,,,,67195193-d47e-4549-900d-dc155841a452,2612,,,"[100.9, 76.7]",3923881,93,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jean-Philippe Krasso,43072.0,Center Forward,159,Côte d'Ivoire,3374,"['d6e6866b-52f7-4392-8e3f-31a17f6d00ff', '2dd74277-b7ea-429c-a0db-75494685a798', '1e45a8dd-71d6-4f8d-8cad-f3abee07d3f3', '9a90f442-ff98-4166-8e62-799fc08d5a43', '69fa6c4d-9e76-4850-ae09-8502f56242a6']",48,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:48:48.625,Carry,True
,,,,,,"[11.4, 3.9]",,,,,,,,,,,,0.364965,,,,,,,,,,,,,459d2534-3a52-4132-a7e1-37360101f863,2616,,,"[11.4, 4.8]",3923881,93,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Joe Aribo,3856.0,Left Defensive Midfield,159,Côte d'Ivoire,3374,"['f0c5bfd1-674e-47f7-b3cc-333ad7a741d6', 'e3b0de6e-ab0f-4b6a-9285-423ab1e0ccef', '066eeffa-0c76-431a-99fc-18890bc5bbc6']",51,,,,,,,,,,,,,,,,,Nigeria,775,00:48:51.721,Carry,True
,,,,,,"[97.4, 55.3]",,,,,,,,,,,,1.421991,,,,,,,,,,,,,46322953-f906-4f12-9043-9685f58aa168,2622,,,"[93.4, 63.7]",3923881,93,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Wilfried Stephane Singo,36539.0,Right Back,159,Côte d'Ivoire,3374,"['447cdffd-c20f-4a1c-863b-5de23eeff6fa', 'edf09cbd-eec2-472e-a870-b43eb724626b']",54,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:48:54.197,Carry,
