50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.150844,,,,,,,,,,,,,,6c277c1e-33a7-4f73-ac12-ee723caf0dfc,17,,,"[43.9, 15.3]",3922241,0,,,,0.14855728,,Right Foot,,,,"[58.6, 17.5]",Ground Pass,,14.863714,,,,Jovane Eduardo Borges Cabral,10598.0,,,,,1,From Kick Off,Roberto Lopes,36271.0,Left Center Back,2,Cape Verde Islands,4924,['e94ffabc-2326-41fc-8dae-6aee500f7327'],11,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:11.818,Pass,
,,,,,,,,,,,,,,,,,0.889261,,,,,,,,,,,,,,378c1d9a-94a7-445c-995b-584b958006e5,21,,,"[57.4, 17.9]",3922241,0,,,,-1.7033478,,Left Foot,,,,"[55.8, 5.9]",Ground Pass,,12.106196,,,,João Paulo Moreira Fernandes,133038.0,,,,,1,From Kick Off,Jovane Eduardo Borges Cabral,10598.0,Left Wing,2,Cape Verde Islands,4924,"['9d55a493-57a6-4d1b-b813-c7aa7d04c572', '0c91545c-19c7-4c08-8a22-f14612f3294d']",13,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:13.417,Pass,True
,,,,,,,,,,,,,,,,,0.751897,,,,,,,,,,,,,,1a69663b-eaa4-4e06-97c4-68b712ede2f8,24,,,"[55.6, 7.0]",3922241,0,,,,1.3318598,,Left Foot,,,,"[57.5, 14.8]",Ground Pass,,8.028076,,,,Jovane Eduardo Borges Cabral,10598.0,,,,,1,From Kick Off,João Paulo Moreira Fernandes,133038.0,Left Back,2,Cape Verde Islands,4924,['a0a81f4a-dcc1-4d61-94b5-851b55fb5d0a'],16,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:16.589,Pass,
,,,,,,,,,,,,,,,,,1.082733,,,,,,,,,,,,,,dd885555-05f2-4717-9b3c-e57cfddd57e4,27,,,"[63.1, 18.9]",3922241,0,,,,1.9277083,,Right Foot,,,,"[56.5, 36.6]",Ground Pass,,18.890474,,,,Kevin Lenini Gonçalves Pereira de Pina,132800.0,,,,,1,From Kick Off,Jovane Eduardo Borges Cabral,10598.0,Left Wing,2,Cape Verde Islands,4924,['74912d72-23e5-4369-8af2-5f6ad57b26e0'],19,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:19.194,Pass,
,,,,,,,,,,,,,,,,,2.767214,,,,,,,,,,,,,,baa1d64f-4812-4fa1-9165-84211f6af2bf,30,,,"[56.3, 38.5]",3922241,0,,,,0.70648074,,Right Foot,,,,"[98.6, 74.6]",High Pass,,55.610252,,,,Ryan Isaac Mendes da Graça,40485.0,,,,,1,From Kick Off,Kevin Lenini Gonçalves Pereira de Pina,132800.0,Left Defensive Midfield,2,Cape Verde Islands,4924,['cec4449b-54fc-4b78-a261-325b454ba604'],21,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:21.457,Pass,
,,,,,,,,,,,,,,,,,2.441838,,,,,,,,,,,,,,0eaf098c-37be-4568-b5a5-53cf8641cf94,37,,,"[93.9, 72.3]",3922241,0,,,,2.8598208,,Right Foot,,,,"[71.1, 78.9]",Low Pass,,23.736048,,,,Steven Moreira,7197.0,,,,Recovery,1,From Kick Off,Ryan Isaac Mendes da Graça,40485.0,Right Wing,2,Cape Verde Islands,4924,"['cb02be1e-e1e0-41df-b12f-7fa5942796de', 'd409de6d-09f6-43c9-8c3f-d36d52ea8dd7']",25,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:25.998,Pass,True
,,,,,,,,,,,,,,,,,0.906665,,,,,,,,,,,,,,d0622f1d-2aab-4aa6-88e8-115191648f6d,40,,,"[70.9, 78.5]",3922241,0,,,,-1.463681,,Right Foot,,,,"[71.9, 69.2]",Ground Pass,,9.353609,,,,Kevin Lenini Gonçalves Pereira de Pina,132800.0,,,,,1,From Kick Off,Steven Moreira,7197.0,Right Back,2,Cape Verde Islands,4924,['9fd54c73-3b6f-4975-bed0-9aee08dfe09c'],30,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:30.067,Pass,
,,,,,,,,,,,,,,,,,0.953059,,,,,,,,,,,,,,5a8786f7-61b1-42ac-a346-1ee811c98d2d,43,,,"[71.9, 69.2]",3922241,0,,,,1.8743671,,Left Foot,,,,"[69.3, 77.5]",Ground Pass,,8.6977005,,,,Steven Moreira,7197.0,,,,,1,From Kick Off,Kevin Lenini Gonçalves Pereira de Pina,132800.0,Left Defensive Midfield,2,Cape Verde Islands,4924,['265e155e-d19f-4e3c-af4d-919450cb1e3e'],31,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:31.032,Pass,
,,,,,,,,,,,,,,,,,1.4459,,,,,,,,,,,,,,eaf51edb-7cff-475b-8075-7483d304bd44,46,,,"[69.3, 77.5]",3922241,0,,,,-2.9041214,,Right Foot,,,,"[53.6, 73.7]",Ground Pass,,16.153328,,,,Logan Costa,45557.0,,,,,1,From Kick Off,Steven Moreira,7197.0,Right Back,2,Cape Verde Islands,4924,['0440fc6d-eb38-4e95-a0f1-56bc6bc271d2'],33,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:33.327,Pass,
,,,,,,,,,,,,,,,,,2.157349,,,,,,,,,,,,,,1790c7e9-6b0a-46d3-ab49-4a565c693bb5,50,,,"[56.0, 75.6]",3922241,0,,,,-0.33872548,,Right Foot,,,,"[92.9, 62.6]",High Pass,,39.123013,,Incomplete,,Jamiro Gregory Monteiro Alvarenga,7753.0,,,,,1,From Kick Off,Logan Costa,45557.0,Right Center Back,2,Cape Verde Islands,4924,"['98a3094c-abe7-4306-8812-725a50a6ec7e', '175a8b1a-a262-4d2c-8d20-98ca0e3d3f0e', 'e151cb30-b623-489d-aa21-6b41e913cf0a']",36,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:36.300,Pass,True
