50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.126885,,,,,,,,,,02b8039d-5d25-4e62-9dd1-00a9de9798f2,18,,,"[33.0, 14.2]",3920396,0,,,,-1.0268265,,Right Foot,,,,"[40.5, 1.8]",,Ground Pass,,14.491722,,,,Mohamed Hamdy Sharaf,70835.0,,,,,,1,From Kick Off,Mohamed Abdelmonem,69563.0,Left Center Back,2,Egypt,774,['849d47d3-8519-46e6-a502-875111775ebd'],11,,,,,,,,,,,,,,,,,,,Egypt,774,00:00:11.517,Pass,
,,,,,,,,,,,,,,,,3.794467,,,,,,,,,,603b03f6-4551-4a5b-8ea1-ce6a052cf8c1,21,,,"[42.3, 1.1]",3920396,0,,,,0.20458537,,Left Foot,,,,"[106.4, 14.4]",,High Pass,,65.465256,,Incomplete,,Omar Marmoush,40761.0,,,,,,1,From Kick Off,Mohamed Hamdy Sharaf,70835.0,Left Back,2,Egypt,774,"['8b3e83b7-dc8c-48b1-94cf-1c80fdc3c83a', 'a13d38d8-71d8-4de1-8c5a-10678a2ed9a9']",14,,,,,,,,,,,,,,,,,,,Egypt,774,00:00:14.074,Pass,
,,,,,,,,,,,,,,,,0.388014,,,,,,,,,,8b3e83b7-dc8c-48b1-94cf-1c80fdc3c83a,24,,,"[13.7, 65.7]",3920396,0,,,,-1.6162196,,Other,,,,"[13.5, 61.3]",,High Pass,,4.404543,,,,Alexander Djiku,2989.0,,,,,Recovery,1,Regular Play,Denis Odoi,12259.0,Right Back,3,Ghana,4885,"['088632ef-72f3-4edb-ba54-ad1b2c7e49ab', '603b03f6-4551-4a5b-8ea1-ce6a052cf8c1']",17,,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:17.869,Pass,
,,,,,,,,,,,,,,,,2.105586,,,,,,,,,,44a473ef-f99a-4270-8111-131ca180d351,31,,,"[17.3, 67.2]",3920396,0,,,,0.48144507,,Left Foot,,,,"[41.8, 80.0]",,High Pass,,27.642178,,Out,,,,,,,,,1,Regular Play,Alexander Djiku,2989.0,Right Center Back,3,Ghana,4885,,20,,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:20.679,Pass,
,,,,,,,,,,,,,,,,5.671944,,,,,,,,,,d1d9d65a-6923-43ef-b7d0-03c468e0c91a,32,,,"[88.8, 0.1]",3920396,0,True,,,0.93125755,,,True,,,"[112.9, 32.5]",,High Pass,,40.380318,,Incomplete,,,,,,,,Throw-in,1,From Throw In,Mohamed Hamdy Sharaf,70835.0,Left Back,4,Egypt,774,['90c3bc72-39e9-4025-ab93-edb89ac533a2'],33,,,,,,,,,,,,,,,,,,,Egypt,774,00:00:33.857,Pass,
,,,,,,,,,,,,,,,,1.647442,,,,,,,,,,a7802078-e3f4-4e63-9e3f-7d6ffcd8991a,34,,,"[18.2, 44.0]",3920396,0,,,,-1.3337289,,Right Foot,,,,"[21.8, 29.1]",,Ground Pass,,15.328732,,,,Mohamed Salisu,30519.0,,,,,,1,Regular Play,Richard Ofori Antwi,68757.0,Goalkeeper,5,Ghana,4885,['71c98829-da07-47a8-8777-483a35da4bfb'],55,,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:55.696,Pass,
,,,,,,,,,,,,,,,,2.112867,,,,,,,,,,11f3c4e8-f803-49cc-80ac-3b9662c152f2,37,,,"[27.2, 29.8]",3920396,0,,,,1.3650278,,Left Foot,,,,"[33.9, 61.9]",,Ground Pass,,32.791767,,,,Alexander Djiku,2989.0,,,,,,1,Regular Play,Mohamed Salisu,30519.0,Left Center Back,5,Ghana,4885,['0dce271f-6250-4f08-a03d-a76111e960ed'],59,,,,,,,,,,,,,,,,,,,Ghana,4885,00:00:59.847,Pass,
,,,,,,,,,,,,,,,,0.774485,,,,,,,,,,0f938d59-9aa8-4087-bce7-5db3224df047,40,,,"[36.6, 51.0]",3920396,1,,,,1.401018,,Left Foot,,,,"[40.8, 75.5]",,Ground Pass,,24.857393,,,,Denis Odoi,12259.0,,,,,,1,Regular Play,Alexander Djiku,2989.0,Right Center Back,5,Ghana,4885,['e2396baa-57a6-469e-8707-e08375683f10'],2,,,,,,,,,,,,,,,,,,,Ghana,4885,00:01:02.810,Pass,
,,,,,,,,,,,,,,,,3.358085,,,,,,,,,,46ba597c-631d-4604-90ec-831c11a164d3,43,,,"[41.8, 72.6]",3920396,1,,,,-2.472278,,Right Foot,,,,"[10.2, 47.6]",,Ground Pass,,40.293423,,,,Richard Ofori Antwi,68757.0,,,,,,1,Regular Play,Denis Odoi,12259.0,Right Back,5,Ghana,4885,['d50db51e-ae10-41b6-9e6d-efac56c2c6b7'],5,,,,,,,,,,,,,,,,,,,Ghana,4885,00:01:05.776,Pass,
,,,,,,,,,,,,,,,,3.672087,,,,,,,,,,37891aee-9376-4bcd-9b37-d7f9b401ecb1,46,,,"[10.2, 47.6]",3920396,1,,,,0.22363909,,Right Foot,,,,"[63.4, 59.7]",,High Pass,,54.558685,,Incomplete,,Mohammed Kudus,17033.0,,,,,,1,Regular Play,Richard Ofori Antwi,68757.0,Goalkeeper,5,Ghana,4885,"['44ce2b67-accf-48be-8313-a88506e82125', '400e2f63-cff1-4397-8751-4f68856f1e3b']",9,,,,,,,,,,,,,,,,,,,Ghana,4885,00:01:09.404,Pass,
