50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.31531,,,,,,,,,,,,4c704bf3-fbab-4825-8a7a-69d1471c882d,1848,,,"[6.0, 47.9]",3922837,49,True,,,-1.3229848,,Right Foot,,,"[8.1, 39.6]",Ground Pass,,8.561542,,,,Ronwen Williams,66721.0,,,,,Goal Kick,2,From Goal Kick,Siyanda Xulu,102722.0,Center Back,86,South Africa,4976,['d89a7ac4-29b0-46ce-96cb-12476937a812'],17,,,,,,,,,,,,,,,,,South Africa,4976,00:04:17.629,Pass,
,,,,,,,,,,,,,,,,,1.749315,,,,,,,,,,,,8a5a0841-5fbb-45cb-8833-d8b5ba005f82,1850,,,"[9.3, 36.4]",3922837,49,,,,1.3258177,,Left Foot,,,"[15.9, 62.8]",Ground Pass,,27.212498,,,,Siyanda Xulu,102722.0,,,,,,2,From Goal Kick,Ronwen Williams,66721.0,Goalkeeper,86,South Africa,4976,['bd66f7ce-2870-41e6-8b5b-3076105e5d2f'],27,,,,,,,,,,,,,,,,,South Africa,4976,00:04:27.689,Pass,
,,,,,,,,,,,,,,,,,4.138001,,,,,,,,,,,,d04856dd-0650-496f-9d21-7ec1878426f4,1854,,,"[31.3, 73.9]",3922837,49,,,,0.0871152,,Right Foot,,,"[100.0, 79.9]",High Pass,,68.96151,,Out,,Khuliso Johnson Mudau,65719.0,,,,,,2,From Goal Kick,Siyanda Xulu,102722.0,Center Back,86,South Africa,4976,"['3cca431e-718b-49cc-a2e3-0386380a8c40', '94e0ddc7-4017-4d72-a01a-7b5e13618509']",32,,,,,,,,,,,,,,,,,South Africa,4976,00:04:32.968,Pass,True
,,,,,,,,,,,,,,,,,1.985952,,,,,,,,,,,,db064be3-2611-4c2e-a09d-314de43bb3a8,1856,,,"[34.6, 0.1]",3922837,49,,,,0.1298951,,,,,"[56.8, 3.0]",High Pass,,22.388613,,Incomplete,,Victor James Osimhen,11277.0,,,,,Throw-in,2,From Throw In,Temitayo Olufisayo Olaoluwa Aina,11492.0,Left Wing Back,87,Nigeria,775,"['6045923c-235b-448b-9683-aaab8f776a71', 'f0b4c6bc-e6cb-498c-8811-6526516f7ef2']",54,,,,,,,,,,,,,,,,,Nigeria,775,00:04:54.896,Pass,
,,,,,,,,,,,,,,,,,2.685081,,,,,,,,,,,,a8e8735c-d719-4dcc-9381-49bc7e52cf72,1859,,,"[62.2, 0.1]",3922837,50,,,,0.42559728,,,,,"[106.1, 20.0]",High Pass,,48.19979,,,,Moses Daddy-Ajala Simon,18163.0,,,,,Throw-in,2,From Throw In,Temitayo Olufisayo Olaoluwa Aina,11492.0,Left Wing Back,88,Nigeria,775,['8989368f-6472-49ce-b7a8-5df66b211d92'],7,,,,,,,,,,,,,,,,,Nigeria,775,00:05:07.078,Pass,
,,,,,,,,,,,,,,,,,0.163674,,,,,,,,,,,,6d7d7522-77cd-4558-958e-5ece93002e44,1862,,,"[118.0, 20.9]",3922837,50,,,,2.158799,,Left Foot,,,"[116.6, 23.0]",Low Pass,,2.523886,,Incomplete,,Ademola Lookman,3447.0,,,,,,2,From Throw In,Moses Daddy-Ajala Simon,18163.0,Right Wing,88,Nigeria,775,"['5a140ea0-633d-4fbc-b1a3-7e5da585ba35', '2f8f582f-f3e3-47d6-81bc-e15d2b22fbc7']",13,,,,,,,,,,,,,,,,,Nigeria,775,00:05:13.979,Pass,
,,,,,,,,,,,,,,,,,3.86969,,,,,,,,,,,,d74d47de-61c6-4b5e-9893-3cb0ba7064ff,1865,,,"[120.0, 0.1]",3922837,50,,,,1.7427344,,Right Foot,,,"[111.3, 50.2]",High Pass,True,50.849777,,,,Frank Onyeka,24467.0,,True,Inswinging,,Corner,2,From Corner,Ademola Lookman,3447.0,Left Wing,89,Nigeria,775,['01a28fd6-02ba-4c1c-9d70-06ee62462950'],45,,,,,,,,,,,,,,,,,Nigeria,775,00:05:45.597,Pass,
,,,,,,,,,,,,,,,,,1.129642,,,,,,,,,,,,ecdabbad-36f9-4325-ad3e-1c720a642eb8,1869,,,"[116.2, 67.7]",3922837,50,,,,-2.7107875,,Right Foot,,,"[96.4, 58.6]",Ground Pass,,21.791054,,,,William Troost-Ekong,5455.0,,,,,,2,From Corner,Frank Onyeka,24467.0,Right Defensive Midfield,89,Nigeria,775,['2b783072-9f2c-4867-bba4-39e9b58a13d1'],58,,,,,,,,,,,,,,,,,Nigeria,775,00:05:58.758,Pass,
,,,,,,,,,,,,,,,,,0.958542,,,,,,,,,,,,caca447b-eb7a-41dc-ab23-b2aab5c8531c,1874,,,"[94.0, 58.2]",3922837,50,,,,-0.6838963,,Right Foot,,,"[105.9, 48.5]",Low Pass,,15.352524,,Incomplete,,Oluwasemilogo Adesewo Ibidapo Ajayi,3923.0,,,,,,2,From Corner,William Troost-Ekong,5455.0,Center Back,89,Nigeria,775,"['91f92885-2485-42f3-b00d-e0814c74d937', 'baccd614-8d7e-40a5-8cc7-4ec6417ba21a', '9faa065b-3541-4bfd-ac76-a8c80a9e6b98']",59,,,,,,,,,,,,,,,,,Nigeria,775,00:05:59.964,Pass,True
,,,,,,,,,,,,,,,,,4.042522,,,,,,,,,,,,60ee76bd-9841-4db7-88d7-88970bcdd994,1881,,,"[33.3, 3.5]",3922837,51,,,,0.023461398,,Right Foot,,,"[88.7, 4.8]",High Pass,,55.41525,,Incomplete,,Percy Tau,29367.0,,,,,,2,From Corner,Themba Zwane,65726.0,Left Wing,89,Nigeria,775,"['5fb8907e-06e4-41b1-aa64-e3fc8d92605d', '68be0a08-da5b-4f04-bb5e-2216998d06d0']",5,,,,,,,,,,,,,,,,,South Africa,4976,00:06:05.722,Pass,
