50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[66.6, 6.1]",,,,,,,,,,,,,,1.753907,,,,,,,,,eb0206a8-1de5-4e67-b768-170ceb151bfe,171,,,"[65.5, 10.7]",3920393,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Deon Hotto Kavendji,64612.0,Left Midfield,12,Namibia,4980,"['04ed6b15-d7de-40c3-b606-3d3b100658ad', 'e35c33d8-c95e-4eb4-a615-c8a2f1a2e32e', 'b8b05656-429d-4f09-afad-24bd5ecfa541']",22,,,,,,,,,,,,,,,,,Namibia,4980,00:05:22.711,Carry,True
,,,,,"[91.2, 4.1]",,,,,,,,,,,,,,0.116828,,,,,,,,,8d286e79-4632-4389-9476-99dcaad9d0ea,176,,,"[91.2, 4.1]",3920393,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Prins Menelik Tjiueza,103803.0,Left Center Midfield,12,Namibia,4980,"['aafe3b2a-cc24-4613-b63d-733fe9801c14', '8358d3cb-bc47-40cd-8ce5-a990a744aaf2', '92a64756-4d4b-4357-bb8c-9e88b6f908e1']",25,,,,,,,,,,,,,,,,,Namibia,4980,00:05:25.933,Carry,True
,,,,,"[12.6, 74.0]",,,,,,,,,,,,,,1.723419,,,,,,,,,f6e69012-55ed-414c-b7e0-a72b2988d182,184,,,"[11.3, 72.3]",3920393,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Wajdi Kechrida,105944.0,Right Back,13,Namibia,4980,"['e83c0379-09b5-4303-bb1b-80a605de7cce', '35d2028d-90b6-4ab2-8751-5629d1953ac5', '41b1a9ad-7514-4c54-94e4-37d7d9414d3e']",42,,,,,,,,,,,,,,,,,Tunisia,777,00:05:42.277,Carry,True
,,,,,"[81.0, 10.7]",,,,,,,,,,,,,,0.08,,,,,,,,,e331d1cf-be0c-4041-874a-d0b2389f34c9,190,,,"[79.5, 10.9]",3920393,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Petrus Shitembi,125333.0,Right Center Midfield,13,Namibia,4980,"['1cf27e32-5881-4d30-b045-039d15f5e891', '365482be-0060-48be-967c-dc63b05a28cc']",47,,,,,,,,,,,,,,,,,Namibia,4980,00:05:47.816,Carry,
,,,,,"[42.8, 69.7]",,,,,,,,,,,,,,1.094226,,,,,,,,,1dbf9de7-13ee-499c-abb0-cac280d8b21a,197,,,"[42.6, 69.7]",3920393,5,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mohamed Elias Achouri,132461.0,Right Wing,14,Tunisia,777,"['3e4e767e-39b7-46f8-875a-026c69b2e6fd', 'a025413a-2fba-4f73-ba1a-1bbdbcfb9ca8', '222fd575-48f3-4fb4-a9bd-bc46254f2046']",49,,,,,,,,,,,,,,,,,Tunisia,777,00:05:49.907,Carry,True
,,,,,"[67.3, 7.8]",,,,,,,,,,,,,,0.528446,,,,,,,,,6532353f-c670-4eef-ba8c-5f4f48b8d3ab,208,,,"[69.0, 4.4]",3920393,5,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Deon Hotto Kavendji,64612.0,Left Midfield,14,Tunisia,777,"['3c303b41-7411-4c79-b7dd-301629fdd2fe', '38f0e302-a1fc-416f-bfc7-ff07864ba7f1', 'ec4d6929-3ae0-4329-922d-14c6f3a29a63', 'e23e8f77-65c9-4bee-935d-313abe8c0e35']",56,,,,,,,,,,,,,,,,,Namibia,4980,00:05:56.610,Carry,True
,,,,,"[52.8, 72.3]",,,,,,,,,,,,,,0.486133,,,,,,,,,c61fd4d0-e21d-49da-9ec8-ab8fd1d68321,212,,,"[52.8, 72.3]",3920393,5,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Taha Yassine Khenissi,128793.0,Center Forward,14,Tunisia,777,"['dba5fa05-acdb-4004-b055-b33dbf4101b4', 'ba40fb29-3c27-49b4-b751-9c7a6c227c14']",57,,,,,,,,,,,,,,,,,Tunisia,777,00:05:57.138,Carry,
,,,,,"[65.5, 5.9]",,,,,,,,,,,,,,1.411768,,,,,,,,,0f7b06f6-7726-42e3-a0b1-412a485e45d1,218,,,"[65.5, 5.9]",3920393,5,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Riaan Hanamub,65555.0,Left Back,15,Namibia,4980,"['0c278ef8-b2ad-443a-bc5b-f2f0eae23700', '2fb80c9a-3dc5-4d0d-87a6-4353c6b192c9', '2a553559-a105-4f76-9206-9b293c151da2', '2c5f5487-7776-4f42-ba61-50c8295eaf55']",59,,,,,,,,,,,,,,,,,Namibia,4980,00:05:59.883,Carry,True
,,,,,"[75.3, 76.1]",,,,,,,,,,,,,,0.629164,,,,,,,,,ff9fb3bd-62e4-473c-8442-f832ae3526b7,227,,,"[74.9, 76.1]",3920393,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ryan Nyambe,4218.0,Right Back,16,Namibia,4980,"['c619dcee-008d-4f2d-9544-74e34292a659', 'b1dfaed6-9c8b-4aa3-aad6-3b855b16e407', '095efa66-527a-48c2-93f9-4dec38c95292']",18,,,,,,,,,,,,,,,,,Namibia,4980,00:06:18.781,Carry,True
,,,,,"[115.3, 76.5]",,,,,,,,,,,,,,1.392706,,,,,,,,,2aef9c13-5923-4df4-a5d1-bee7a3807244,231,,,"[112.1, 76.1]",3920393,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Absalom Iimbondi,103804.0,Right Midfield,16,Namibia,4980,"['881a5569-c502-4b82-9839-29f4be63288b', '4ae829cb-511d-450b-b377-5ed94012d453']",21,,,,,,,,,,,,,,,,,Namibia,4980,00:06:21.950,Carry,
