50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f448955b-689d-4b70-a155-8530f7cdf5ee,3751,,,,3922240,120,,,,,,,,,,,,,,,,,,,,,,,,5,From Free Kick,,,,202,Congo DR,4881,['da95d3ea-b012-48cb-b88e-ea1f01ee4f14'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,da95d3ea-b012-48cb-b88e-ea1f01ee4f14,3752,,,,3922240,120,,,,,,,,,,,,,,,,,,,,,,,,5,From Free Kick,,,,202,Congo DR,4881,['f448955b-689d-4b70-a155-8530f7cdf5ee'],0,,,,,,,,,,,,,,,,,Congo DR,4881,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.365593,,,,,,,,,,,,,0cd583d2-5280-4493-a6a8-18e1e22ac340,5,,,"[60.0, 40.0]",3922240,0,,,,,2.9847288,,Right Foot,,,,"[40.4, 43.1]",Ground Pass,,19.84364,,,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,,,,,Kick Off,1,From Kick Off,Ahmed Sayed,66878.0,Right Wing,2,Egypt,774,['a93c2f30-89a8-4ace-9345-a2a1615217c1'],1,,,,,,,,,,,,,,,,,Egypt,774,00:00:01.837,Pass,
,,,,,,,,,,,,,,,,,3.124729,,,,,,,,,,,,,c5046761-566c-431e-8fe9-b15446f16ca1,8,,,"[41.1, 42.9]",3922240,0,,,,,-0.4405748,,Right Foot,,,,"[93.7, 18.1]",High Pass,,58.153244,Incomplete,,Mahmoud Ibrahim Hassan,5261.0,,,,,,1,From Kick Off,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,Right Center Back,2,Egypt,774,"['a5a153a6-1b04-4b13-8165-6b958c9e619d', 'bc4464c3-c71b-4b2f-be8f-a306cd3a0f94']",5,,,,,,,,,,,,,,,,,Egypt,774,00:00:05.120,Pass,
,,,,,,,,,,,,,,,,,2.609042,,,,,,,,,,,,,a5a153a6-1b04-4b13-8165-6b958c9e619d,10,,,"[26.4, 62.0]",3922240,0,,,,,0.41000783,,Head,,,,"[57.0, 75.3]",High Pass,,33.365402,Incomplete,,Meschak Elia,35684.0,,,,,Recovery,1,From Kick Off,Gedeon Kalulu Kyatengwa,30193.0,Right Back,2,Egypt,774,"['c5046761-566c-431e-8fe9-b15446f16ca1', '00d60ac6-ee4d-43a1-b292-a305eac6d1a0', '7760af90-784e-438a-b1d8-da82d8fe1b8a']",8,,,,,,,,,,,,,,,,,Congo DR,4881,00:00:08.244,Pass,
,,,,,,,,,,,,,,,,,2.231991,,,,,,,,,,,,,b8ead0bb-d195-4a27-bccb-0c8ae47636b4,15,,,"[56.8, 1.4]",3922240,0,,,,,0.6129974,,Left Foot,,,,"[80.4, 18.0]",High Pass,,28.853422,,,Mostafa Mohamed Ahmed Abdallah,66886.0,,,,,,1,From Kick Off,Marwan Attia Fahim Ghallab,70682.0,Center Defensive Midfield,2,Egypt,774,"['dcd472cf-eb0e-46f2-a4b7-c0278df53b55', '44816223-be4d-4e6e-b69c-4e3dacd60951']",11,,,,,,,,,,,,,,,,,Egypt,774,00:00:11.978,Pass,True
,,,,,,,,,,,,,,,,,1.219595,,,,,,,,,,,,,53ab06b3-8fd6-43e1-87b0-bbfc0997a915,18,,,"[80.4, 18.0]",3922240,0,,,,True,2.8797073,,,,,,"[70.7, 20.6]",High Pass,,10.04241,,,Hamdi Fathi,66887.0,,,,,,1,From Kick Off,Mostafa Mohamed Ahmed Abdallah,66886.0,Center Forward,2,Egypt,774,"['acbacf76-8c2a-4d0b-8151-b05cb8d3cf1c', 'f56fa7b9-d39d-4f16-b66f-372d187c6bba']",14,,,,,,,,,,,,,,,,,Egypt,774,00:00:14.210,Pass,True
,,,,,,,,,,,,,,,,,1.267333,,,,,,,,,,,,,8b7bbc4f-1fc6-4286-8034-828448920583,20,,,"[70.7, 20.6]",3922240,0,,,,,-1.1749458,,Head,,,,"[73.5, 13.9]",High Pass,,7.2615423,,,Mostafa Mohamed Ahmed Abdallah,66886.0,,,,,,1,From Kick Off,Hamdi Fathi,66887.0,Left Center Midfield,2,Egypt,774,['059aef4c-d4fe-4fa8-9d24-c5f174a8caae'],15,,,,,,,,,,,,,,,,,Egypt,774,00:00:15.430,Pass,
,,,,,,,,,,,,,,,,,1.795455,,,,,,,,,,,,,cac0ab22-841c-4424-a9c9-187daa41bd8f,25,,,"[70.0, 11.9]",3922240,0,,,,,-2.4650066,,Right Foot,,,,"[56.8, 1.3]",Ground Pass,,16.929264,Incomplete,,Ahmed Mohamed Abo El Fotouh Mohamed,67737.0,,,,,,1,From Kick Off,Mostafa Mohamed Ahmed Abdallah,66886.0,Center Forward,2,Egypt,774,"['2083463f-7571-46f7-9784-a501ffaa5e47', '90bb021e-dd10-41ae-9b76-53688f44b2c4', 'dcf953be-b8ed-4c3e-9b6c-f19cf36433ba']",17,,,,,,,,,,,,,,,,,Egypt,774,00:00:17.706,Pass,True
,,,,,,,,,,,,,,,,,1.114102,,,,,,,,,,,,,78986ef1-9258-4459-8a63-8c4a601b2dcf,30,,,"[71.0, 78.8]",3922240,0,,,,,-0.11065722,,Right Foot,,,,"[81.8, 77.6]",Low Pass,,10.866462,,,Théo Bongonda Mbul'Ofeko Batombo,23785.0,,,,,,1,From Kick Off,Meschak Elia,35684.0,Right Wing,2,Egypt,774,['1e6a2ef7-415d-43a6-a375-f683b801501c'],21,,,,,,,,,,,,,,,,,Congo DR,4881,00:00:21.871,Pass,
,,,,,,,,,,,,,,,,,0.723496,,,,,,,,,,,,,e9bc7868-0d39-40eb-b3ec-1d935b735529,37,,,"[34.0, 4.8]",3922240,0,,,,,2.4956346,,Left Foot,,,,"[27.5, 9.7]",Ground Pass,,8.140024,,,Marwan Attia Fahim Ghallab,70682.0,,,,,Recovery,1,From Kick Off,Ahmed Mohamed Abo El Fotouh Mohamed,67737.0,Left Back,2,Egypt,774,['2c93713e-293b-495c-85c8-4a07a1adf1a8'],25,,,,,,,,,,,,,,,,,Egypt,774,00:00:25.020,Pass,
,,,,,,,,,,,,,,,,,1.223824,,,,,,,,,,,,,5f9642ea-6793-4519-809f-9fa2845c9125,40,,,"[28.8, 13.6]",3922240,0,,,,,0.8567056,,Right Foot,,,,"[36.6, 22.6]",Ground Pass,,11.90966,,,Mohamed Naser Elsayed Elneny,3568.0,,,,,,1,From Kick Off,Marwan Attia Fahim Ghallab,70682.0,Center Defensive Midfield,2,Egypt,774,['2c124801-823a-42e9-8df0-696f6edbf6a8'],27,,,,,,,,,,,,,,,,,Egypt,774,00:00:27.720,Pass,
,,,,,,,,,,,,,,,,,1.001043,,,,,,,,,,,,,d0d4b45a-6d7b-4897-aad8-b73e0118121f,43,,,"[41.4, 21.0]",3922240,0,,,,,-1.0646687,,Right Foot,,,,"[51.1, 3.5]",Ground Pass,,20.0085,,,Mahmoud Ibrahim Hassan,5261.0,,,,,,1,From Kick Off,Mohamed Naser Elsayed Elneny,3568.0,Right Center Midfield,2,Egypt,774,['c6caaaf8-6571-4ff9-bb7e-2d1ee64dd212'],30,,,,,,,,,,,,,,,,,Egypt,774,00:00:30.666,Pass,
,,,,,,,,,,,,,,,,,1.26924,,,,,,,,,,,,,c90180d7-50f1-47cb-b7c0-348b110d01de,46,,,"[51.1, 3.5]",3922240,0,,,,,2.4462283,,Right Foot,,,,"[35.4, 16.6]",Ground Pass,,20.447495,,,Marwan Attia Fahim Ghallab,70682.0,,,,,,1,From Kick Off,Mahmoud Ibrahim Hassan,5261.0,Left Wing,2,Egypt,774,['9314191a-f239-475b-9d81-a0151d0ecfd3'],34,,,,,,,,,,,,,,,,,Egypt,774,00:00:34.298,Pass,
,,,,,,,,,,,,,,,,,2.186039,,,,,,,,,,,,,cc51a516-e4af-439c-ab91-abe7c6cc3a59,49,,,"[35.9, 18.4]",3922240,0,,,,,1.8288035,,Right Foot,,,,"[28.3, 47.2]",Ground Pass,,29.785902,,,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,,,,,,1,From Kick Off,Marwan Attia Fahim Ghallab,70682.0,Center Defensive Midfield,2,Egypt,774,['21a27c94-df57-42b3-9509-f826d06e1e96'],37,,,,,,,,,,,,,,,,,Egypt,774,00:00:37.971,Pass,
,,,,,,,,,,,,,,,,,1.395042,,,,,,,,,,,,,2095059f-07f4-43ac-8d44-bf93de43e70e,52,,,"[30.2, 51.4]",3922240,0,,,,,1.1105157,,Right Foot,,,,"[42.0, 75.2]",Ground Pass,,26.564638,,,Mohamed Hany Gamal Eldemerdash,66892.0,,,,,,1,From Kick Off,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,Right Center Back,2,Egypt,774,['96795f4a-3abf-4706-83df-baf835e2f557'],41,,,,,,,,,,,,,,,,,Egypt,774,00:00:41.044,Pass,
