50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.90353,,,,,,,,,,,fb27e2b8-6e33-4acc-b27c-1e5670d79419,13,,,"[11.0, 75.1]",3923880,0,,,,0.0,,Other,,"[22.7, 75.1]",Low Pass,,11.7,,,,,Thapelo James Morena,65727.0,,,,,,1,From Kick Off,Khuliso Johnson Mudau,65719.0,Right Back,2,Congo DR,4881,['596c8585-e26e-4d0b-afa9-8940209ebe4b'],10,,,,,,,,,,,,,,,,South Africa,4976,00:00:10.115,Pass,
,,,,,,,,,,,,,,,,,,1.359946,,,,,,,,,,,3c51f8ba-b665-42fd-b0a2-bb26ea119575,21,,,"[109.3, 13.1]",3923880,0,,,,1.8622531,01626a05-1508-4cc2-a5b9-5823e60febe7,Right Foot,,"[105.4, 26.1]",Ground Pass,,13.572398,,,,,Grady Diangana,18244.0,True,,,,,1,From Kick Off,Simon Bokote Banza,24826.0,Center Forward,2,Congo DR,4881,['1a985b8e-680d-4fba-8e0a-17b2b65aeb0e'],13,,,,,,,,,,,,,,,,Congo DR,4881,00:00:13.796,Pass,
,,,,,,,,,,,,,,,,,,0.863164,,,,,,,,,,,2b4f94ba-4488-4aeb-a9c7-3561dd674656,26,,,"[6.0, 32.9]",3923880,0,True,,,1.6835239,,Left Foot,,"[5.4, 38.2]",Ground Pass,,5.333854,,,,,Ronwen Williams,66721.0,,,,,Goal Kick,1,From Goal Kick,Nkosinathi Sibisi,67974.0,Left Center Back,3,South Africa,4976,['7d7e9243-2b58-4985-886d-d89e54ef794a'],41,,,,,,,,,,,,,,,,South Africa,4976,00:00:41.497,Pass,
,,,,,,,,,,,,,,,,,,1.208863,,,,,,,,,,,6474e4f2-bcea-4207-bbb7-fda86faa1793,29,,,"[5.2, 37.5]",3923880,0,,,,1.4141945,,Left Foot,,"[9.1, 62.2]",Ground Pass,,25.005999,,,,,Siyanda Xulu,102722.0,,,,,,1,From Goal Kick,Ronwen Williams,66721.0,Goalkeeper,3,South Africa,4976,"['f13a2f18-585e-4f3d-9477-c16958e2ba36', '5f9fb829-0bc3-420a-80d4-ae064893fa6c']",45,,,,,,,,,,,,,,,,South Africa,4976,00:00:45.644,Pass,True
,,,,,,,,,,,,,,,,,,2.173617,,,,,,,,,,,65679b89-5351-4d1f-8a1a-038e183d5824,32,,,"[14.6, 65.2]",3923880,0,,,,-0.21957763,,Right Foot,,"[61.2, 54.8]",High Pass,,47.746414,,,,,Evidence Makgopa,65853.0,,,,,,1,From Goal Kick,Siyanda Xulu,102722.0,Right Center Back,3,South Africa,4976,['7ad6cd29-ccba-4929-8ac3-1651fb2a7d10'],48,,,,,,,,,,,,,,,,South Africa,4976,00:00:48.947,Pass,
,,,,,,,,,,,,,,,,,,1.896439,,,,,,,,,,,d17c3716-0a1e-4773-bd42-457c2dd89758,35,,,"[62.1, 54.6]",3923880,0,,,,-2.645778,,Other,,"[46.2, 46.0]",Low Pass,,18.07678,,,Incomplete,,Sphephelo S''Miso Sithole,42527.0,,,,,,1,From Goal Kick,Evidence Makgopa,65853.0,Center Forward,3,South Africa,4976,"['e2f6aa2a-5298-4bc5-aa18-9aa5f0a746f5', '6ef50753-fee4-409a-9087-c23deb4f0113', '2d68a987-77e5-4c86-a610-9b104ec17a16']",51,,,,,,,,,,,,,,,,South Africa,4976,00:00:51.121,Pass,True
,,,,,,,,,,,,,,,,,,1.144723,,,,,,,,,,,e2f6aa2a-5298-4bc5-aa18-9aa5f0a746f5,37,,,"[73.9, 34.1]",3923880,0,,,,-2.0795262,,Left Foot,,"[68.1, 23.7]",Ground Pass,,11.907981,,,,,Samuel Moutoussamy,4412.0,,,,,Recovery,1,Regular Play,Grady Diangana,18244.0,Center Attacking Midfield,4,Congo DR,4881,"['973b7ed9-a96c-4322-b5fc-c2b0922cd37b', 'd17c3716-0a1e-4773-bd42-457c2dd89758']",53,,,,,,,,,,,,,,,,Congo DR,4881,00:00:53.017,Pass,
,,,,,,,,,,,,,,,,,,1.258482,,,,,,,,,,,8104d873-54a9-4fa8-a2ad-a07823c0dd85,40,,,"[67.0, 20.2]",3923880,0,,,,-0.90614676,,Left Foot,,"[77.5, 6.8]",Ground Pass,,17.023808,,,,,Silas Katompa Mvumpa,13329.0,,,,,,1,Regular Play,Samuel Moutoussamy,4412.0,Left Defensive Midfield,4,Congo DR,4881,['157a0c0e-b4c7-42b3-a6f4-c63e0de30317'],55,,,,,,,,,,,,,,,,Congo DR,4881,00:00:55.255,Pass,
,,,,,,,,,,,,,,,,,,1.814302,,,,,,,,,,,df06d72e-121e-48af-9cc4-5eb469ee6740,46,,,"[6.0, 31.8]",3923880,1,,,,1.6060758,,Right Foot,,"[5.7, 40.3]",Ground Pass,,8.505293,,,,,Ronwen Williams,66721.0,,,,,Goal Kick,1,From Goal Kick,Nkosinathi Sibisi,67974.0,Left Center Back,5,South Africa,4976,['be70d1e2-ae4b-495a-ac0c-35b82aa2da30'],25,,,,,,,,,,,,,,,,South Africa,4976,00:01:25.529,Pass,
,,,,,,,,,,,,,,,,,,2.220546,,,,,,,,,,,a442d4bc-0bd3-498e-8370-6d5c8605a2d0,50,,,"[7.0, 38.0]",3923880,1,,,,1.3439975,,Left Foot,,"[12.1, 60.1]",Ground Pass,,22.680828,,,,,Siyanda Xulu,102722.0,,,,,,1,From Goal Kick,Ronwen Williams,66721.0,Goalkeeper,5,South Africa,4976,"['f63821c7-4168-43bc-9057-0370d14e85e2', 'a58f9484-3ca1-4c55-86fa-e22a35679c03']",28,,,,,,,,,,,,,,,,South Africa,4976,00:01:28.794,Pass,True
