50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,1.398589,,,,,,,,,,,,dbc8d582-308c-4b0e-ae3b-a90373f49579,16,,,"[35.5, 44.2]",3920415,0,,,,,-1.6447353,,Right Foot,,,"[34.5, 30.7]",Ground Pass,,13.536986,,,Mohamed Amine Tougai,160943.0,,,,,,,1,From Kick Off,Aïssa Mandi,6648.0,Right Center Back,2,Algeria,4898,['65207e21-161e-4c2c-96e4-cbf70b06dcf5'],5,,,,,,,,,,,,,,,,,,Algeria,4898,00:00:05.677,Pass,
,,,,,,,,,,,,,,,,,,,,1.235409,,,,,,,,,,,,761a6be5-bb1e-4bfb-bca2-3772d800fb76,19,,,"[34.5, 30.7]",3920415,0,,,,,1.484802,,Right Foot,,,"[35.5, 42.3]",Ground Pass,,11.6430235,,,Aïssa Mandi,6648.0,,,,,,,1,From Kick Off,Mohamed Amine Tougai,160943.0,Left Center Back,2,Algeria,4898,['7855740b-090d-4e5d-b402-a7ae6b454dad'],9,,,,,,,,,,,,,,,,,,Algeria,4898,00:00:09.218,Pass,
,,,,,,,,,,,,,,,,,,,,2.189132,,,,,,,,,,,,4578d7b0-6625-4e44-9066-557555e70a1f,22,,,"[47.0, 43.3]",3920415,0,,,,,-1.1441689,,Right Foot,,,"[58.5, 18.0]",Ground Pass,,27.791006,,,Rayan Aït Nouri,12111.0,,,,,,,1,From Kick Off,Aïssa Mandi,6648.0,Right Center Back,2,Algeria,4898,['dbb76de4-8192-431c-97d0-39688cd048b6'],13,,,,,,,,,,,,,,,,,,Algeria,4898,00:00:13.701,Pass,
,,,,,,,,,,,,,,,,,,,,1.255477,,,,,,,,,,,,eb36b72a-3b7e-48fa-b101-f49a4f1ce2f6,25,,,"[59.6, 14.1]",3920415,0,,,,,2.4308853,,Left Foot,,,"[51.7, 20.9]",Ground Pass,,10.423532,,,Mohamed Amine Tougai,160943.0,,,,,,,1,From Kick Off,Rayan Aït Nouri,12111.0,Left Back,2,Algeria,4898,['9c83101a-bd32-4630-b163-f0a4397fd06b'],17,,,,,,,,,,,,,,,,,,Algeria,4898,00:00:17.741,Pass,
,,,,,,,,,,,,,,,,,,,,1.243613,,,,,,,,,,,,4896a40e-1196-4d36-94fd-8d02b4ebeda2,28,,,"[51.7, 21.4]",3920415,0,,,,,1.4270576,,Right Foot,,,"[55.0, 44.2]",Ground Pass,,23.037579,,,Aïssa Mandi,6648.0,,,,,,,1,From Kick Off,Mohamed Amine Tougai,160943.0,Left Center Back,2,Algeria,4898,['9c9807db-c7a7-4cc8-8d24-98b2305e130d'],19,,,,,,,,,,,,,,,,,,Algeria,4898,00:00:19.870,Pass,
,,,,,,,,,,,,,,,,,,,,2.177125,,,,,,,,,,,,7f2e1f1f-0482-4ae1-a4a6-87e9fa4f8402,31,,,"[61.6, 45.7]",3920415,0,,,,,-0.9562273,,Right Foot,,,"[91.1, 3.9]",High Pass,,51.16141,,,Mohamed El Amine Amoura,141358.0,,,True,,,,1,From Kick Off,Aïssa Mandi,6648.0,Right Center Back,2,Algeria,4898,['2ec818dc-a4d9-4900-9638-938d3ed47524'],25,,,,,,,,,,,,,,,,,,Algeria,4898,00:00:25.085,Pass,
,,,,,,,,,,,,,,,,,,,,1.683913,,,,,,,,,,,,49fa6f1d-3e8e-488d-a13c-d4d35d1a589f,35,,,"[89.7, 7.7]",3920415,0,,,,,0.8960554,,Right Foot,True,,"[107.7, 30.2]",High Pass,,28.814058,,,Baghdad Bounedjah,103465.0,,,,,,,1,From Kick Off,Mohamed El Amine Amoura,141358.0,Left Wing,2,Algeria,4898,"['83b80c60-5c36-46d7-bb8b-91ed684a1c9e', '86b8108d-af5e-4811-9bb5-d9513cc2ba54']",29,,,,,,,,,,,,,,,,,,Algeria,4898,00:00:29.549,Pass,True
,,,,,,,,,,,,,,,,,,,,5.623338,,,,,,,,,,,,301500c4-d082-4677-bdac-786ac9b20ee3,41,,,"[6.0, 43.7]",3920415,1,,True,,,0.48166367,,Right Foot,,,"[63.2, 73.6]",High Pass,,64.543396,,,Souleymane Anne,49763.0,,,,,,Goal Kick,1,From Goal Kick,Babacar Niasse,36951.0,Goalkeeper,3,Mauritania,4932,['fe817cd6-a6f1-46c9-9477-ebad435f4928'],3,,,,,,,,,,,,,,,,,,Mauritania,4932,00:01:03.639,Pass,
,,,,,,,,,,,,,,,,,,,,2.301427,,,,,,,,,,,,d93048ed-5c0f-4209-b028-b66e70ecdc8e,51,,,"[66.1, 3.0]",3920415,1,,True,,,2.9573426,,Right Foot,,,"[44.1, 7.1]",Ground Pass,,22.378784,,,Mohamed Amine Tougai,160943.0,,,,,,Free Kick,1,From Free Kick,Rayan Aït Nouri,12111.0,Left Back,5,Algeria,4898,['471ef2e5-193a-49ae-a1ea-24f47c3fa361'],22,,,,,,,,,,,,,,,,,,Algeria,4898,00:01:22.150,Pass,
,,,,,,,,,,,,,,,,,,,,2.052275,,,,,,,,,,,,80f1db79-f6b7-48e0-807a-8a21f451ae25,53,,,"[44.8, 11.9]",3920415,1,,,,,1.5924648,,Left Foot,,,"[44.1, 44.2]",Ground Pass,,32.307583,,,Aïssa Mandi,6648.0,,,,,,,1,From Free Kick,Mohamed Amine Tougai,160943.0,Left Center Back,5,Algeria,4898,['e780398e-d56a-49e2-aeff-f8275860c0b3'],24,,,,,,,,,,,,,,,,,,Algeria,4898,00:01:24.924,Pass,
