50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.79682,,,,,,,,,,,,,6818492d-b423-456f-951a-0ca674a6a155,17,,"[23.7, 56.4]",3920401,0,,,,,-0.032597147,,Head,,,"[32.9, 56.1]",,High Pass,,9.20489,,,,Noah Sonko-Sundberg,26825.0,,,,,,Recovery,1,From Counter,James Gomez,35689.0,Right Center Back,3,Gambia,4934,"['582195f8-2ba9-4784-b638-dfa017ad8a99', 'd6316d3d-ceb8-4f64-824e-f69b0b628d91']",10,,,,,,,,,,,,,,,,,Gambia,4934,00:00:10.955,Pass,
,,,,,,,,,,,,,,,,,,2.173966,,,,,,,,,,,,,3cafabbe-a4e3-4c97-bcaa-b4de3dbe298b,19,,"[32.9, 56.1]",3920401,0,,,,,-0.26409224,,Right Foot,,,"[52.5, 50.8]",,High Pass,,20.30394,,,,Musa Barrow,6988.0,,,,,,,1,From Counter,Noah Sonko-Sundberg,26825.0,Right Defensive Midfield,3,Gambia,4934,['598dcc2b-b5e1-45c4-8aed-fd20be7e0b52'],11,,,,,,,,,,,,,,,,,Gambia,4934,00:00:11.752,Pass,
,,,,,,,,,,,,,,,,,,0.164297,,,,,,,,,,,,,6e55e0ff-450a-4be4-ba6f-3275ecc9cd62,21,,"[50.6, 50.0]",3920401,0,,,,,-1.5707964,,Right Foot,,,"[50.6, 48.4]",,Low Pass,,1.6,,Incomplete,,Noah Sonko-Sundberg,26825.0,,,,,,,1,From Counter,Musa Barrow,6988.0,Center Forward,3,Gambia,4934,"['ba338f5e-12cf-4d89-80ea-4d8a8ec77247', '0b2c062a-d68c-414b-a39d-f2836b85f753']",13,,,,,,,,,,,,,,,,,Gambia,4934,00:00:13.825,Pass,
,,,,,,,,,,,,,,,,,,1.117689,,,,,,,,,,,,,76e25f68-d577-4be3-b801-c3a4295a061f,24,,"[63.8, 20.6]",3920401,0,,,,,-1.9379702,,Right Foot,,,"[60.8, 12.8]",,Ground Pass,,8.357033,,,,Issiaga Sylla,4352.0,,,,,,Recovery,1,Regular Play,Moriba Kourouma Kourouma,39073.0,Left Defensive Midfield,4,Guinea,4892,['de9a5256-1e53-4766-828a-92c772e69d28'],15,,,,,,,,,,,,,,,,,Guinea,4892,00:00:15.690,Pass,
,,,,,,,,,,,,,,,,,,1.590677,,,,,,,,,,,,,508a76fd-2ac7-4056-aa82-e2d0fc1189f2,27,,"[60.2, 13.1]",3920401,0,,,,,2.9346533,,Left Foot,,,"[42.1, 16.9]",,Ground Pass,,18.494595,,,,Julian Jeanvier,7360.0,,,,,,,1,Regular Play,Issiaga Sylla,4352.0,Left Back,4,Guinea,4892,['5403f265-c539-4ab2-b5f1-55314a497d44'],16,,,,,,,,,,,,,,,,,Guinea,4892,00:00:16.932,Pass,
,,,,,,,,,,,,,,,,,,2.085804,,,,,,,,,,,,,6ee40274-2a2d-4ff8-8bd7-fee773b85029,30,,"[42.1, 22.9]",3920401,0,,,,,1.5335795,,Right Foot,,,"[43.5, 60.5]",,Ground Pass,,37.626057,,,,Mouctar Diakhaby,4267.0,,,,,,,1,Regular Play,Julian Jeanvier,7360.0,Left Center Back,4,Guinea,4892,['d712dc8a-1a62-47ca-bed4-e241a1a5c162'],20,,,,,,,,,,,,,,,,,Guinea,4892,00:00:20.415,Pass,
,,,,,,,,,,,,,,,,,,1.641017,,,,,,,,,,,,,dbef7020-00c3-4607-a366-59080287fc0f,33,,"[46.1, 62.5]",3920401,0,,,,,0.7396784,,Right Foot,,,"[62.1, 77.1]",,Ground Pass,,21.6601,,,,Ibrahim Diakité,176683.0,,,,,,,1,Regular Play,Mouctar Diakhaby,4267.0,Right Center Back,4,Guinea,4892,['b41cbbf4-c361-424f-8e15-053bc908d793'],23,,,,,,,,,,,,,,,,,Guinea,4892,00:00:23.746,Pass,
,,,,,,,,,,,,,,,,,,1.757154,,,,,,,,,,,,,17f9216e-36b9-4f77-9633-750c9f5ea744,39,,"[60.5, 77.2]",3920401,0,,,,,-2.6076727,,Right Foot,,,"[44.6, 67.8]",,Ground Pass,,18.470787,,,,Mouctar Diakhaby,4267.0,,,,,,Free Kick,1,From Free Kick,Ibrahim Diakité,176683.0,Right Back,5,Guinea,4892,['bde8bc92-7944-486a-b349-3d08d2193328'],30,,,,,,,,,,,,,,,,,Guinea,4892,00:00:30.861,Pass,
,,,,,,,,,,,,,,,,,,2.047793,,,,,,,,,,,,,93739ff2-f8f7-4b00-b1cf-f7fe082a6cea,42,,"[44.0, 64.0]",3920401,0,,,,,-1.7934178,,Right Foot,,,"[33.7, 18.5]",,Ground Pass,,46.65126,,,,Julian Jeanvier,7360.0,,,True,,,,1,From Free Kick,Mouctar Diakhaby,4267.0,Right Center Back,5,Guinea,4892,['1f54a5f6-4c50-46ba-ab53-5beae64288ad'],35,,,,,,,,,,,,,,,,,Guinea,4892,00:00:35.297,Pass,
,,,,,,,,,,,,,,,,,,1.336406,,,,,,,,,,,,,ec4f23e5-ceaf-42b4-a276-1e447e9af82d,45,,"[33.7, 18.5]",3920401,0,,,,,-0.10362746,,Right Foot,,,"[46.2, 17.2]",,Ground Pass,,12.567418,,,,Moriba Kourouma Kourouma,39073.0,,,,,,,1,From Free Kick,Julian Jeanvier,7360.0,Left Center Back,5,Guinea,4892,['41567483-d852-4adc-b687-9537ffc751cf'],41,,,,,,,,,,,,,,,,,Guinea,4892,00:00:41.487,Pass,
