50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.353941,,,,,,,,,,,,,f6ad34e0-7083-475b-b004-c39b16c68db7,17,,,"[48.5, 8.4]",3922239,0,,,,2.9332771,,Left Foot,,"[23.9, 13.6]",,Ground Pass,,25.143587,,,Julian Jeanvier,7360.0,,,,,,1,From Kick Off,Issiaga Sylla,4352.0,Left Back,2,Guinea,4892,['81c23352-dc32-4bbc-a43a-ebf10aa9ff37'],8,,,,,,,,,,,,,,,,,,Guinea,4892,00:00:08.379,Pass,
,,,,,,,,,,,,,,,,,,2.125875,,,,,,,,,,,,,d2fd022c-a6c6-4720-b3a8-501208b386ed,20,,,"[21.0, 23.6]",3922239,0,,,,1.580897,,Right Foot,,"[20.7, 53.3]",,Ground Pass,,29.701515,,,Mouctar Diakhaby,4267.0,,,,,,1,From Kick Off,Julian Jeanvier,7360.0,Left Center Back,2,Guinea,4892,['0f7d3269-f192-4b11-9e8e-917f5956edd0'],11,,,,,,,,,,,,,,,,,,Guinea,4892,00:00:11.460,Pass,
,,,,,,,,,,,,,,,,,,2.88427,,,,,,,,,,,,,3f9a9d61-fcfc-4caf-87c0-d74e79ab359d,23,,,"[23.9, 56.2]",3922239,0,,,,0.0728394,,Right Foot,,"[84.2, 60.6]",,High Pass,,60.460316,Incomplete,,Aguibou Camara,39559.0,,,,,,1,From Kick Off,Mouctar Diakhaby,4267.0,Right Center Back,2,Guinea,4892,"['b031ce7e-48aa-431d-bd56-48aed757a1e9', '271a8df0-06d9-4504-a8dc-d1ba43f33295']",17,,,,,,,,,,,,,,,,,,Guinea,4892,00:00:17.708,Pass,
,,,,,,,,,,,,,,,,,,0.896786,,,,,,,,,,,,,5a17b991-5344-4d2a-be26-a720ad806d0b,26,,,"[77.6, 80.0]",3922239,0,,,,-0.8812573,,,,"[82.3, 74.3]",,Low Pass,,7.387828,,,Aguibou Camara,39559.0,,,,,Throw-in,1,From Throw In,Ibrahim Diakité,176683.0,Right Back,3,Guinea,4892,['9d86ecdc-095f-4548-844e-3c51b1a08c23'],30,,,,,,,,,,,,,,,,,,Guinea,4892,00:00:30.632,Pass,
,,,,,,,,,,,,,,,,,,0.781542,,,,,,,,,,,,,6d651c54-2757-4d3b-96ac-a13a6b218010,29,,,"[82.3, 74.3]",3922239,0,,,,2.4921918,,Right Foot,,"[76.9, 78.4]",,Ground Pass,,6.780118,,,Ibrahim Diakité,176683.0,,,,,,1,From Throw In,Aguibou Camara,39559.0,Left Center Forward,3,Guinea,4892,['67338196-2d04-4780-bc10-988513debf17'],31,,,,,,,,,,,,,,,,,,Guinea,4892,00:00:31.547,Pass,
,,,,,,,,,,,,,,,,,,0.968664,,,,,,,,,,,,,6d3838f7-9912-4c31-b9a0-da12e618e6d5,33,,,"[72.4, 77.7]",3922239,0,,,,-0.8777275,,Right Foot,,"[77.3, 71.8]",,Ground Pass,,7.66942,,,Aguibou Camara,39559.0,,,,,,1,From Throw In,Ibrahim Diakité,176683.0,Right Back,3,Guinea,4892,"['f0e6a71e-64b2-4af7-9023-a01112c43a98', 'aab091dc-59a5-4e9a-8b2d-f8beb439f6e1']",34,,,,,,,,,,,,,,,,,,Guinea,4892,00:00:34.069,Pass,True
,,,,,,,,,,,,,,,,,,0.727416,,,,,,,,,,,,,ff8bc2ca-93e0-4a37-88df-656eb9a2f8d7,37,,,"[72.6, 66.5]",3922239,0,,,,3.1093457,,Right Foot,,"[66.4, 66.7]",,Ground Pass,,6.203225,,,Mory Konaté,35285.0,,,,,,1,From Throw In,Aguibou Camara,39559.0,Left Center Forward,3,Guinea,4892,"['d324f755-0294-49d5-bf6a-a86503b89327', 'f5ebef16-7713-4d9f-983b-ed3d483c5b87']",36,,,,,,,,,,,,,,,,,,Guinea,4892,00:00:36.328,Pass,True
,,,,,,,,,,,,,,,,,,2.692348,,,,,,,,,,,,,f2704b35-d06b-4d45-ad0e-6cbc056ba509,40,,,"[66.4, 66.9]",3922239,0,,,,-1.7592425,,Right Foot,,"[58.6, 26.0]",,High Pass,,41.637123,,,Issiaga Sylla,4352.0,,True,,,,1,From Throw In,Mory Konaté,35285.0,Right Defensive Midfield,3,Guinea,4892,['877ee12e-f11b-45f7-98e5-024a0a1daac2'],37,,,,,,,,,,,,,,,,,,Guinea,4892,00:00:37.096,Pass,
,,,,,,,,,,,,,,,,,,0.856589,,,,,,,,,,,,,c2d52df2-c594-4e8c-a52a-a6c9bd7616d1,43,,,"[64.1, 23.0]",3922239,0,,,,0.09065989,,Left Foot,,"[76.2, 24.1]",,Ground Pass,,12.149898,,,Aguibou Camara,39559.0,,,,,,1,From Throw In,Issiaga Sylla,4352.0,Left Back,3,Guinea,4892,['569dd36d-a228-45be-8a4d-20e8f53c0532'],41,,,,,,,,,,,,,,,,,,Guinea,4892,00:00:41.371,Pass,
,,,,,,,,,,,,,,,,,,1.567072,,,,,,,,,,,,,2e42fc06-439c-433b-8d0a-566e79b85aa3,46,,,"[75.9, 23.8]",3922239,0,,,,2.3641944,,Right Foot,,"[69.6, 30.0]",,Ground Pass,,8.839118,,,Amadou Diawara,8284.0,,,,,,1,From Throw In,Aguibou Camara,39559.0,Left Center Forward,3,Guinea,4892,['1596925b-23ff-4e4e-a413-3c11e4fd7770'],42,,,,,,,,,,,,,,,,,,Guinea,4892,00:00:42.296,Pass,
